Year,UNIT_MEASURE,Teritory,Пол,Витална статистика,Value
2013,Број,Соколац,Ж,four_children,206
2013,Број,Србац,Ж,four_children,306
2013,Број,Сребреница,Ж,four_children,358
2013,Број,Теслић,Ж,four_children,1010
2013,Број,Град Требиње,Ж,four_children,463
2013,Број,Трново,Ж,four_children,45
2013,Број,Угљевик,Ж,four_children,264
2013,Број,Фоча,Ж,four_children,348
2013,Број,Хан Пијесак,Ж,four_children,75
2013,Број,Чајниче,Ж,four_children,140
2013,Број,Челинац,Ж,four_children,385
2013,Број,Шамац,Ж,four_children,235
2013,Број,Шековићи,Ж,four_children,193
2013,Број,Шипово,Ж,four_children,275
2013,Број,Република Српска,Ж,5+,17275
2013,Број,Град Бања Лука,Ж,5+,1552
2013,Број,Берковићи,Ж,5+,37
2013,Број,Град Бијељина,Ж,5+,882
2013,Број,Билећа,Ж,5+,169
2013,Број,Братунац,Ж,5+,489
2013,Број,Брод,Ж,5+,224
2013,Број,Вишеград,Ж,5+,123
2013,Број,Власеница,Ж,5+,254
2013,Број,Вукосавље,Ж,5+,140
2013,Број,Гацко,Ж,5+,133
2013,Број,Град Градишка,Ж,5+,677
2013,Број,Град Дервента,Ж,5+,372
2013,Број,Град Добој,Ж,5+,1006
2013,Број,Доњи Жабар,Ж,5+,50
2013,Број,Град Зворник,Ж,5+,1008
2013,Број,Источна Илиџа,Ж,5+,54
2013,Број,Источни Дрвар,Ж,5+,0
2013,Број,Источни Мостар,Ж,5+,7
2013,Број,Источни Стари Град,Ж,5+,7
2013,Број,Источно Ново Сарајево,Ж,5+,30
2013,Број,Језеро,Ж,5+,26
2013,Број,Калиновик,Ж,5+,43
2013,Број,Кнежево,Ж,5+,365
2013,Број,Козарска Дубица,Ж,5+,165
2013,Број,Костајница,Ж,5+,47
2013,Број,Котор Варош,Ж,5+,617
2013,Број,Крупа на Уни,Ж,5+,65
2013,Број,Купрес,Ж,5+,10
2013,Број,Лакташи,Ж,5+,306
2013,Број,Лопаре,Ж,5+,209
2013,Број,Љубиње,Ж,5+,41
2013,Број,Милићи,Ж,5+,239
2013,Број,Модрича,Ж,5+,366
2013,Број,Мркоњић Град,Ж,5+,295
2013,Број,Невесиње,Ж,5+,204
2013,Број,Нови Град,Ж,5+,543
2013,Број,Ново Горажде,Ж,5+,42
2013,Број,Осмаци,Ж,5+,175
2013,Број,Оштра Лука,Ж,5+,102
2013,Број,Пале,Ж,5+,95
2013,Број,Пелагићево,Ж,5+,109
2013,Број,Петровац,Ж,5+,0
2013,Број,Петрово,Ж,5+,65
2013,Број,Град Приједор,Ж,5+,1535
2013,Број,Прњавор,Ж,5+,610
2013,Број,Рибник,Ж,5+,162
2013,Број,Рогатица,Ж,5+,143
2013,Број,Рудо,Ж,5+,92
2013,Број,Соколац,Ж,5+,104
2013,Број,Србац,Ж,5+,217
2013,Број,Сребреница,Ж,5+,362
2013,Број,Теслић,Ж,5+,1100
2013,Број,Град Требиње,Ж,5+,145
2013,Број,Трново,Ж,5+,22
2013,Број,Угљевик,Ж,5+,161
2013,Број,Фоча,Ж,5+,218
2013,Број,Хан Пијесак,Ж,5+,47
2013,Број,Чајниче,Ж,5+,72
2013,Број,Челинац,Ж,5+,311
2013,Број,Шамац,Ж,5+,151
2013,Број,Шековићи,Ж,5+,174
2013,Број,Шипово,Ж,5+,306
