Year,UNIT_MEASURE,Административно подручје,Пол,Literacy,Value
2013,Број,VUKOSAVLJE,M,illiterates_percentage,1.57
2013,Број,VUKOSAVLJE,Ж,illiterates_percentage,8.35
2013,Број,GACKO,Оба пола,illiterates_percentage,1.4
2013,Број,GACKO,M,illiterates_percentage,0.25
2013,Број,GACKO,Ж,illiterates_percentage,2.58
2013,Број,GRADISKA,Оба пола,illiterates_percentage,3.39
2013,Број,GRADISKA,M,illiterates_percentage,0.94
2013,Број,GRADISKA,Ж,illiterates_percentage,5.71
2013,Број,DERVENTA,Оба пола,illiterates_percentage,3.44
2013,Број,DERVENTA,M,illiterates_percentage,1.05
2013,Број,DERVENTA,Ж,illiterates_percentage,5.69
2013,Број,DOBOJ,Оба пола,illiterates_percentage,3.19
2013,Број,DOBOJ,M,illiterates_percentage,0.9
2013,Број,DOBOJ,Ж,illiterates_percentage,5.33
2013,Број,DONJI ZABAR,Оба пола,illiterates_percentage,3.82
2013,Број,DONJI ZABAR,M,illiterates_percentage,1.54
2013,Број,DONJI ZABAR,Ж,illiterates_percentage,6.12
2013,Број,ZVORNIK,Оба пола,illiterates_percentage,4.23
2013,Број,ZVORNIK,M,illiterates_percentage,1.03
2013,Број,ZVORNIK,Ж,illiterates_percentage,7.32
2013,Број,ISTOCNA ILIDZA,Оба пола,illiterates_percentage,1.3
2013,Број,ISTOCNA ILIDZA,M,illiterates_percentage,0.35
2013,Број,ISTOCNA ILIDZA,Ж,illiterates_percentage,2.17
2013,Број,ISTOCNI DRVAR,Оба пола,illiterates_percentage,3.08
2013,Број,ISTOCNI DRVAR,M,illiterates_percentage,0.0
2013,Број,ISTOCNI DRVAR,Ж,illiterates_percentage,9.09
2013,Број,ISTOCNI MOSTAR,Оба пола,illiterates_percentage,8.41
2013,Број,ISTOCNI MOSTAR,M,illiterates_percentage,0.78
2013,Број,ISTOCNI MOSTAR,Ж,illiterates_percentage,18.37
2013,Број,ISTOCNI STARI GRAD,Оба пола,illiterates_percentage,3.87
2013,Број,ISTOCNI STARI GRAD,M,illiterates_percentage,0.59
2013,Број,ISTOCNI STARI GRAD,Ж,illiterates_percentage,7.01
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,illiterates_percentage,0.86
2013,Број,ISTOCNO NOVO SARAJEVO,M,illiterates_percentage,0.32
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,illiterates_percentage,1.35
2013,Број,JEZERO,Оба пола,illiterates_percentage,4.52
2013,Број,JEZERO,M,illiterates_percentage,1.42
