Year,UNIT_MEASURE,ADMIN_AREA,NO_OF_CHILDREN,Value
2013,Број,visegrad,four_children,194
2013,Број,vlasenica,four_children,266
2013,Број,vukosavlje,four_children,148
2013,Број,gacko,four_children,273
2013,Број,grad_gradiska,four_children,817
2013,Број,grad_derventa,four_children,506
2013,Број,grad_doboj,four_children,1337
2013,Број,donji_zabar,four_children,69
2013,Број,grad_zvornik,four_children,1267
2013,Број,istocna_ilidza,four_children,111
2013,Број,istocni_drvar,four_children,0
2013,Број,istocni_mostar,four_children,5
2013,Број,istocni_stari_grad,four_children,23
2013,Број,istocno_novo_sarajevo,four_children,82
2013,Број,jezero,four_children,34
2013,Број,kalinovik,four_children,53
2013,Број,knezevo,four_children,317
2013,Број,kozarska_dubica,four_children,294
2013,Број,kostajnica,four_children,70
2013,Број,kotor_varos,four_children,635
2013,Број,krupa_na_uni,four_children,61
2013,Број,kupres,four_children,13
2013,Број,laktasi,four_children,549
2013,Број,lopare,four_children,301
2013,Број,ljubinje,four_children,74
2013,Број,milici,four_children,277
2013,Број,modrica,four_children,548
2013,Број,mrkonjic_grad,four_children,393
2013,Број,nevesinje,four_children,395
2013,Број,novi_grad,four_children,583
2013,Број,novo_gorazde,four_children,55
2013,Број,osmaci,four_children,171
2013,Број,ostra_luka,four_children,105
2013,Број,pale,four_children,235
2013,Број,pelagicevo,four_children,133
2013,Број,petrovac,four_children,2
2013,Број,petrovo,four_children,91
2013,Број,grad_prijedor,four_children,1761
2013,Број,prnjavor,four_children,769
2013,Број,ribnik,four_children,198
2013,Број,rogatica,four_children,259
2013,Број,rudo,four_children,201
2013,Број,sokolac,four_children,206
2013,Број,srbac,four_children,306
2013,Број,srebrenica,four_children,358
2013,Број,teslic,four_children,1010
2013,Број,grad_trebinje,four_children,463
2013,Број,trnovo,four_children,45
2013,Број,ugljevik,four_children,264
2013,Број,foca,four_children,348
2013,Број,han_pijesak,four_children,75
2013,Број,cajnice,four_children,140
2013,Број,celinac,four_children,385
2013,Број,samac,four_children,235
2013,Број,sekovici,four_children,193
2013,Број,sipovo,four_children,275
2013,Број,republika_srpska,5+_children,17275
2013,Број,grad_banja_luka,5+_children,1552
2013,Број,berkovici,5+_children,37
2013,Број,grad_bijeljina,5+_children,882
2013,Број,bileca,5+_children,169
2013,Број,bratunac,5+_children,489
2013,Број,brod,5+_children,224
2013,Број,visegrad,5+_children,123
2013,Број,vlasenica,5+_children,254
2013,Број,vukosavlje,5+_children,140
2013,Број,gacko,5+_children,133
2013,Број,grad_gradiska,5+_children,677
2013,Број,grad_derventa,5+_children,372
2013,Број,grad_doboj,5+_children,1006
2013,Број,donji_zabar,5+_children,50
2013,Број,grad_zvornik,5+_children,1008
2013,Број,istocna_ilidza,5+_children,54
2013,Број,istocni_drvar,5+_children,0
2013,Број,istocni_mostar,5+_children,7
2013,Број,istocni_stari_grad,5+_children,7
2013,Број,istocno_novo_sarajevo,5+_children,30
2013,Број,jezero,5+_children,26
2013,Број,kalinovik,5+_children,43
2013,Број,knezevo,5+_children,365
2013,Број,kozarska_dubica,5+_children,165
2013,Број,kostajnica,5+_children,47
2013,Број,kotor_varos,5+_children,617
2013,Број,krupa_na_uni,5+_children,65
2013,Број,kupres,5+_children,10
2013,Број,laktasi,5+_children,306
2013,Број,lopare,5+_children,209
2013,Број,ljubinje,5+_children,41
2013,Број,milici,5+_children,239
2013,Број,modrica,5+_children,366
2013,Број,mrkonjic_grad,5+_children,295
2013,Број,nevesinje,5+_children,204
2013,Број,novi_grad,5+_children,543
2013,Број,novo_gorazde,5+_children,42
2013,Број,osmaci,5+_children,175
2013,Број,ostra_luka,5+_children,102
2013,Број,pale,5+_children,95
2013,Број,pelagicevo,5+_children,109
2013,Број,petrovac,5+_children,0
2013,Број,petrovo,5+_children,65
2013,Број,grad_prijedor,5+_children,1535
2013,Број,prnjavor,5+_children,610
2013,Број,ribnik,5+_children,162
2013,Број,rogatica,5+_children,143
2013,Број,rudo,5+_children,92
2013,Број,sokolac,5+_children,104
2013,Број,srbac,5+_children,217
2013,Број,srebrenica,5+_children,362
2013,Број,teslic,5+_children,1100
2013,Број,grad_trebinje,5+_children,145
2013,Број,trnovo,5+_children,22
2013,Број,ugljevik,5+_children,161
2013,Број,foca,5+_children,218
2013,Број,han_pijesak,5+_children,47
2013,Број,cajnice,5+_children,72
2013,Број,celinac,5+_children,311
2013,Број,samac,5+_children,151
2013,Број,sekovici,5+_children,174
2013,Број,sipovo,5+_children,306
