Year,UNIT_MEASURE,Oblast obrazovanja,Pol,Value
2019,Broj,"Prirodne nauke, matematika i statistika",M,9
2019,Broj,Usluge,M,1
2019,Broj,Zdravstvo i socijalna zaštita,M,36
2019,Broj,Ukupno,Ž,278
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,83
2019,Broj,Umjetnost i humanističke nauke,Ž,38
2019,Broj,Informacione i komunikacione tehnologije,Ž,4
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,18
2019,Broj,Obrazovanje,Ž,36
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,7
2019,Broj,"Poslovanje, administracija i pravo",Ž,13
2019,Broj,"Prirodne nauke, matematika i statistika",Ž,15
2019,Broj,Usluge,Ž,0
2019,Broj,Zdravstvo i socijalna zaštita,Ž,64
2020,Broj,Ukupno,Ukupno,384
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,86
2020,Broj,Umjetnost i humanističke nauke,Ukupno,65
2020,Broj,Informacione i komunikacione tehnologije,Ukupno,11
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,30
2020,Broj,Obrazovanje,Ukupno,29
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,20
2020,Broj,"Poslovanje, administracija i pravo",Ukupno,28
2020,Broj,"Prirodne nauke, matematika i statistika",Ukupno,20
2020,Broj,Usluge,Ukupno,0
2020,Broj,Zdravstvo i socijalna zaštita,Ukupno,95
2020,Broj,Ukupno,M,156
2020,Broj,"Društvene nauke, novinarstvo i informisanje",M,41
2020,Broj,Umjetnost i humanističke nauke,M,20
2020,Broj,Informacione i komunikacione tehnologije,M,9
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,15
2020,Broj,Obrazovanje,M,7
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,13
2020,Broj,"Poslovanje, administracija i pravo",M,13
2020,Broj,"Prirodne nauke, matematika i statistika",M,6
2020,Broj,Usluge,M,0
2020,Broj,Zdravstvo i socijalna zaštita,M,32
2020,Broj,Ukupno,Ž,228
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,45
2020,Broj,Umjetnost i humanističke nauke,Ž,45
2020,Broj,Informacione i komunikacione tehnologije,Ž,2
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,15
2020,Broj,Obrazovanje,Ž,22
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,7
2020,Broj,"Poslovanje, administracija i pravo",Ž,15
2020,Broj,"Prirodne nauke, matematika i statistika",Ž,14
2020,Broj,Usluge,Ž,0
2020,Broj,Zdravstvo i socijalna zaštita,Ž,63
2021,Broj,Ukupno,Ukupno,435
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,117
2021,Broj,Umjetnost i humanističke nauke,Ukupno,64
2021,Broj,Informacione i komunikacione tehnologije,Ukupno,9
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,37
2021,Broj,Obrazovanje,Ukupno,46
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,28
2021,Broj,"Poslovanje, administracija i pravo",Ukupno,28
2021,Broj,"Prirodne nauke, matematika i statistika",Ukupno,20
2021,Broj,Usluge,Ukupno,4
2021,Broj,Zdravstvo i socijalna zaštita,Ukupno,82
2021,Broj,Ukupno,M,181
2021,Broj,"Društvene nauke, novinarstvo i informisanje",M,46
2021,Broj,Umjetnost i humanističke nauke,M,32
2021,Broj,Informacione i komunikacione tehnologije,M,5
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,19
2021,Broj,Obrazovanje,M,13
2021,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,11
2021,Broj,"Poslovanje, administracija i pravo",M,18
2021,Broj,"Prirodne nauke, matematika i statistika",M,2
2021,Broj,Usluge,M,2
2021,Broj,Zdravstvo i socijalna zaštita,M,33
2021,Broj,Ukupno,Ž,254
2021,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,71
2021,Broj,Umjetnost i humanističke nauke,Ž,32
2021,Broj,Informacione i komunikacione tehnologije,Ž,4
2021,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,18
