Year,UNIT_MEASURE,Административно подручје,Пол,Величина домаћинства,Value
2013,Број,Теслић,M,4 члана,2147.0
2013,Број,Град Требиње,Ж,4 члана,1765.0
2013,Број,Трново,Оба пола,4 члана,110.0
2013,Број,Угљевик,M,4 члана,932.0
2013,Број,Фоча,Ж,4 члана,1115.0
2013,Број,Хан Пијесак,Оба пола,4 члана,194.0
2013,Број,Чајниче,M,4 члана,278.0
2013,Број,Челинац,Ж,4 члана,964.0
2013,Број,Шамац,Оба пола,4 члана,823.0
2013,Број,Шековићи,M,4 члана,379.0
2013,Број,Шипово,Ж,4 члана,620.0
2013,Број,Република Српска,Оба пола,5 и више чланова,58469.0
2013,Број,Град Бања Лука,M,5 и више чланова,6564.0
2013,Број,Берковићи,Ж,5 и више чланова,165.0
2013,Број,Град Бијељина,Оба пола,5 и више чланова,6090.0
2013,Број,Билећа,M,5 и више чланова,723.0
2013,Број,Братунац,Ж,5 и више чланова,1147.0
2013,Број,Брод,Оба пола,5 и више чланова,765.0
2013,Број,Вишеград,M,5 и више чланова,356.0
2013,Број,Власеница,Ж,5 и више чланова,509.0
2013,Број,Вукосавље,Оба пола,5 и више чланова,235.0
2013,Број,Гацко,M,5 и више чланова,581.0
2013,Број,Град Градишка,Ж,5 и више чланова,2701.0
2013,Број,Град Дервента,Оба пола,5 и више чланова,1269.0
2013,Број,Град Добој,M,5 и више чланова,2871.0
2013,Број,Доњи Жабар,Ж,5 и више чланова,268.0
2013,Број,Град Зворник,Оба пола,5 и више чланова,3231.0
2013,Број,Источна Илиџа,M,5 и више чланова,613.0
2013,Број,Источни Дрвар,Ж,5 и више чланова,1.0
2013,Број,Источни Мостар,Оба пола,5 и више чланова,17.0
2013,Број,Источни Стари Град,M,5 и више чланова,51.0
2013,Број,Источно Ново Сарајево,Ж,5 и више чланова,389.0
2013,Број,Језеро,Оба пола,5 и више чланова,57.0
2013,Број,Калиновик,M,5 и више чланова,80.0
2013,Број,Кнежево,Ж,5 и више чланова,515.0
2013,Број,Козарска Дубица,Оба пола,5 и више чланова,1047.0
2013,Број,Костајница,M,5 и више чланова,340.0
2013,Број,Котор Варош,Ж,5 и више чланова,1131.0
2013,Број,Крупа на Уни,Оба пола,5 и више чланова,100.0
2013,Број,Купрес,M,5 и више чланова,14.0
2013,Број,Лакташи,Ж,5 и више чланова,1846.0
2013,Број,Лопаре,Оба пола,5 и више чланова,851.0
2013,Број,Љубиње,M,5 и више чланова,199.0
2013,Број,Милићи,Ж,5 и више чланова,508.0
2013,Број,Модрича,Оба пола,5 и више чланова,1249.0
2013,Број,Мркоњић Град,M,5 и више чланова,603.0
2013,Број,Невесиње,Ж,5 и више чланова,843.0
2013,Број,Нови Град,Оба пола,5 и више чланова,1346.0
2013,Број,Ново Горажде,M,5 и више чланова,123.0
2013,Број,Осмаци,Ж,5 и више чланова,374.0
2013,Број,Оштра Лука,Оба пола,5 и више чланова,169.0
2013,Број,Пале,M,5 и више чланова,897.0
2013,Број,Пелагићево,Ж,5 и више чланова,215.0
2013,Број,Петровац,Оба пола,5 и више чланова,20.0
2013,Број,Петрово,M,5 и више чланова,228.0
2013,Број,Град Приједор,Ж,5 и више чланова,4200.0
2013,Број,Прњавор,Оба пола,5 и више чланова,1834.0
2013,Број,Рибник,M,5 и више чланова,273.0
2013,Број,Рогатица,Ж,5 и више чланова,426.0
2013,Број,Рудо,Оба пола,5 и више чланова,310.0
2013,Број,Соколац,M,5 и више чланова,491.0
2013,Број,Србац,Ж,5 и више чланова,804.0
2013,Број,Сребреница,Оба пола,5 и више чланова,752.0
2013,Број,Теслић,M,5 и више чланова,1887.0
2013,Број,Град Требиње,Ж,5 и више чланова,1593.0
2013,Број,Трново,Оба пола,5 и више чланова,74.0
2013,Број,Угљевик,M,5 и више чланова,977.0
2013,Број,Фоча,Ж,5 и више чланова,654.0
2013,Број,Хан Пијесак,Оба пола,5 и више чланова,119.0
2013,Број,Чајниче,M,5 и више чланова,244.0
2013,Број,Челинац,Ж,5 и више чланова,849.0
