Year,UNIT_MEASURE,Administrativna oblast,Pol,Pismenost,Value
2013,% od ukupno,Čajniče,Ukupno,Nepismen,3.26
2013,% od ukupno,Čajniče,M,Nepismen,1.02
2013,% od ukupno,Čajniče,Ž,Nepismen,5.55
2013,% od ukupno,Čelinac,Ukupno,Nepismen,3.46
2013,% od ukupno,Čelinac,M,Nepismen,0.83
2013,% od ukupno,Čelinac,Ž,Nepismen,6.01
2013,% od ukupno,Šamac,Ukupno,Nepismen,1.99
2013,% od ukupno,Šamac,M,Nepismen,0.76
2013,% od ukupno,Šamac,Ž,Nepismen,3.14
2013,% od ukupno,Šekovići,Ukupno,Nepismen,7.34
2013,% od ukupno,Šekovići,M,Nepismen,2.89
2013,% od ukupno,Šekovići,Ž,Nepismen,11.67
2013,% od ukupno,Šipovo,Ukupno,Nepismen,4.74
2013,% od ukupno,Šipovo,M,Nepismen,1.07
2013,% od ukupno,Šipovo,Ž,Nepismen,8.46
2013,Broj,Republika Srpska,Ukupno,Nepoznata pismenost,10476.0
2013,Broj,Republika Srpska,M,Nepoznata pismenost,3675.0
2013,Broj,Republika Srpska,Ž,Nepoznata pismenost,6801.0
2013,Broj,Grad Banja Luka,Ukupno,Nepoznata pismenost,1192.0
2013,Broj,Grad Banja Luka,M,Nepoznata pismenost,413.0
2013,Broj,Grad Banja Luka,Ž,Nepoznata pismenost,779.0
2013,Broj,Berkovići,Ukupno,Nepoznata pismenost,27.0
2013,Broj,Berkovići,M,Nepoznata pismenost,10.0
2013,Broj,Berkovići,Ž,Nepoznata pismenost,17.0
2013,Broj,Grad Bijeljina,Ukupno,Nepoznata pismenost,916.0
2013,Broj,Grad Bijeljina,M,Nepoznata pismenost,302.0
2013,Broj,Grad Bijeljina,Ž,Nepoznata pismenost,614.0
2013,Broj,Bileća,Ukupno,Nepoznata pismenost,83.0
2013,Broj,Bileća,M,Nepoznata pismenost,27.0
2013,Broj,Bileća,Ž,Nepoznata pismenost,56.0
2013,Broj,Bratunac,Ukupno,Nepoznata pismenost,239.0
2013,Broj,Bratunac,M,Nepoznata pismenost,80.0
2013,Broj,Bratunac,Ž,Nepoznata pismenost,159.0
2013,Broj,Brod,Ukupno,Nepoznata pismenost,178.0
2013,Broj,Brod,M,Nepoznata pismenost,59.0
2013,Broj,Brod,Ž,Nepoznata pismenost,119.0
2013,Broj,Višegrad,Ukupno,Nepoznata pismenost,91.0
2013,Broj,Višegrad,M,Nepoznata pismenost,32.0
2013,Broj,Višegrad,Ž,Nepoznata pismenost,59.0
2013,Broj,Vlasenica,Ukupno,Nepoznata pismenost,185.0
2013,Broj,Vlasenica,M,Nepoznata pismenost,65.0
2013,Broj,Vlasenica,Ž,Nepoznata pismenost,120.0
2013,Broj,Vukosavlje,Ukupno,Nepoznata pismenost,76.0
2013,Broj,Vukosavlje,M,Nepoznata pismenost,29.0
2013,Broj,Vukosavlje,Ž,Nepoznata pismenost,47.0
2013,Broj,Gacko,Ukupno,Nepoznata pismenost,71.0
2013,Broj,Gacko,M,Nepoznata pismenost,24.0
2013,Broj,Gacko,Ž,Nepoznata pismenost,47.0
2013,Broj,Grad Gradiška,Ukupno,Nepoznata pismenost,423.0
2013,Broj,Grad Gradiška,M,Nepoznata pismenost,163.0
2013,Broj,Grad Gradiška,Ž,Nepoznata pismenost,260.0
2013,Broj,Grad Derventa,Ukupno,Nepoznata pismenost,368.0
2013,Broj,Grad Derventa,M,Nepoznata pismenost,135.0
2013,Broj,Grad Derventa,Ž,Nepoznata pismenost,233.0
2013,Broj,Grad Doboj,Ukupno,Nepoznata pismenost,481.0
2013,Broj,Grad Doboj,M,Nepoznata pismenost,166.0
2013,Broj,Grad Doboj,Ž,Nepoznata pismenost,315.0
2013,Broj,Donji Žabar,Ukupno,Nepoznata pismenost,81.0
2013,Broj,Donji Žabar,M,Nepoznata pismenost,33.0
2013,Broj,Donji Žabar,Ž,Nepoznata pismenost,48.0
2013,Broj,Grad Zvornik,Ukupno,Nepoznata pismenost,666.0
2013,Broj,Grad Zvornik,M,Nepoznata pismenost,204.0
2013,Broj,Grad Zvornik,Ž,Nepoznata pismenost,462.0
2013,Broj,Istočna Ilidža,Ukupno,Nepoznata pismenost,67.0
2013,Broj,Istočna Ilidža,M,Nepoznata pismenost,21.0
2013,Broj,Istočna Ilidža,Ž,Nepoznata pismenost,46.0
2013,Broj,Istočni Drvar,Ukupno,Nepoznata pismenost,0.0
2013,Broj,Istočni Drvar,M,Nepoznata pismenost,0.0
2013,Broj,Istočni Drvar,Ž,Nepoznata pismenost,0.0
2013,Broj,Istočni Mostar,Ukupno,Nepoznata pismenost,0.0
2013,Broj,Istočni Mostar,M,Nepoznata pismenost,0.0
2013,Broj,Istočni Mostar,Ž,Nepoznata pismenost,0.0
2013,Broj,Istočni Stari Grad,Ukupno,Nepoznata pismenost,6.0
2013,Broj,Istočni Stari Grad,M,Nepoznata pismenost,2.0
2013,Broj,Istočni Stari Grad,Ž,Nepoznata pismenost,4.0
2013,Broj,Istočno Novo Sarajevo,Ukupno,Nepoznata pismenost,36.0
2013,Broj,Istočno Novo Sarajevo,M,Nepoznata pismenost,12.0
2013,Broj,Istočno Novo Sarajevo,Ž,Nepoznata pismenost,24.0
2013,Broj,Jezero,Ukupno,Nepoznata pismenost,6.0
2013,Broj,Jezero,M,Nepoznata pismenost,2.0
2013,Broj,Jezero,Ž,Nepoznata pismenost,4.0
2013,Broj,Kalinovik,Ukupno,Nepoznata pismenost,12.0
2013,Broj,Kalinovik,M,Nepoznata pismenost,5.0
2013,Broj,Kalinovik,Ž,Nepoznata pismenost,7.0
2013,Broj,Kneževo,Ukupno,Nepoznata pismenost,78.0
2013,Broj,Kneževo,M,Nepoznata pismenost,32.0
2013,Broj,Kneževo,Ž,Nepoznata pismenost,46.0
2013,Broj,Kozarska Dubica,Ukupno,Nepoznata pismenost,124.0
2013,Broj,Kozarska Dubica,M,Nepoznata pismenost,48.0
2013,Broj,Kozarska Dubica,Ž,Nepoznata pismenost,76.0
2013,Broj,Kostajnica,Ukupno,Nepoznata pismenost,34.0
2013,Broj,Kostajnica,M,Nepoznata pismenost,15.0
2013,Broj,Kostajnica,Ž,Nepoznata pismenost,19.0
