Year,UNIT_MEASURE,Pol,Starosna dob,Value
2030,Broj,Ž,119,0
2030,Broj,Ž,120+,0
2035,Broj,Ž,Ukupno,534009
2035,Broj,Ž,0,3755
2035,Broj,Ž,1,3801
2035,Broj,Ž,2,3850
2035,Broj,Ž,3,3898
2035,Broj,Ž,4,3945
2035,Broj,Ž,5,3993
2035,Broj,Ž,6,4041
2035,Broj,Ž,7,4090
2035,Broj,Ž,8,4137
2035,Broj,Ž,9,4186
2035,Broj,Ž,10,4235
2035,Broj,Ž,11,4286
2035,Broj,Ž,12,4337
2035,Broj,Ž,13,4390
2035,Broj,Ž,14,4444
2035,Broj,Ž,15,4497
2035,Broj,Ž,16,4550
2035,Broj,Ž,17,4567
2035,Broj,Ž,18,4447
2035,Broj,Ž,19,4510
2035,Broj,Ž,20,4505
2035,Broj,Ž,21,4518
2035,Broj,Ž,22,4640
2035,Broj,Ž,23,5182
2035,Broj,Ž,24,5065
2035,Broj,Ž,25,5405
2035,Broj,Ž,26,5422
2035,Broj,Ž,27,5370
2035,Broj,Ž,28,5280
2035,Broj,Ž,29,5245
2035,Broj,Ž,30,5246
2035,Broj,Ž,31,5236
2035,Broj,Ž,32,5329
2035,Broj,Ž,33,5344
2035,Broj,Ž,34,5557
2035,Broj,Ž,35,5771
2035,Broj,Ž,36,5721
2035,Broj,Ž,37,6204
2035,Broj,Ž,38,6932
2035,Broj,Ž,39,6901
2035,Broj,Ž,40,7153
2035,Broj,Ž,41,6696
2035,Broj,Ž,42,5448
2035,Broj,Ž,43,5627
2035,Broj,Ž,44,6635
2035,Broj,Ž,45,6532
2035,Broj,Ž,46,6779
2035,Broj,Ž,47,7112
2035,Broj,Ž,48,7267
2035,Broj,Ž,49,7442
2035,Broj,Ž,50,7403
2035,Broj,Ž,51,7651
2035,Broj,Ž,52,7807
2035,Broj,Ž,53,7827
2035,Broj,Ž,54,7748
2035,Broj,Ž,55,7786
2035,Broj,Ž,56,7665
2035,Broj,Ž,57,7523
2035,Broj,Ž,58,7668
2035,Broj,Ž,59,7899
2035,Broj,Ž,60,7573
2035,Broj,Ž,61,7185
2035,Broj,Ž,62,7239
2035,Broj,Ž,63,7259
2035,Broj,Ž,64,7073
2035,Broj,Ž,65,6590
2035,Broj,Ž,66,6814
2035,Broj,Ž,67,7108
2035,Broj,Ž,68,7314
2035,Broj,Ž,69,7555
2035,Broj,Ž,70,7808
2035,Broj,Ž,71,7431
2035,Broj,Ž,72,7614
2035,Broj,Ž,73,7885
2035,Broj,Ž,74,7694
2035,Broj,Ž,75,7668
2035,Broj,Ž,76,7547
2035,Broj,Ž,77,7524
2035,Broj,Ž,78,6599
2035,Broj,Ž,79,6975
2035,Broj,Ž,80,6509
2035,Broj,Ž,81,6614
2035,Broj,Ž,82,5793
2035,Broj,Ž,83,5732
2035,Broj,Ž,84,4203
2035,Broj,Ž,85,4266
