Year,Value,UNIT_MEASURE
2022	NUMBER	lopare	M	45-49	394,,
2022	NUMBER	lopare	F	45-49	417,,
2022	NUMBER	milici	_T	45-49	800,,
2022	NUMBER	milici	M	45-49	374,,
2022	NUMBER	milici	F	45-49	426,,
2022	NUMBER	modrica	_T	45-49	1567,,
2022	NUMBER	modrica	M	45-49	809,,
2022	NUMBER	modrica	F	45-49	758,,
2022	NUMBER	mrkonjic_grad	_T	45-49	972,,
2022	NUMBER	mrkonjic_grad	M	45-49	468,,
2022	NUMBER	mrkonjic_grad	F	45-49	504,,
2022	NUMBER	nevesinje	_T	45-49	852,,
2022	NUMBER	nevesinje	M	45-49	371,,
2022	NUMBER	nevesinje	F	45-49	481,,
2022	NUMBER	novi_grad	_T	45-49	1502,,
2022	NUMBER	novi_grad	M	45-49	728,,
2022	NUMBER	novi_grad	F	45-49	774,,
2022	NUMBER	novo_gorazde	_T	45-49	163,,
2022	NUMBER	novo_gorazde	M	45-49	70,,
2022	NUMBER	novo_gorazde	F	45-49	93,,
2022	NUMBER	osmaci	_T	45-49	391,,
2022	NUMBER	osmaci	M	45-49	180,,
2022	NUMBER	osmaci	F	45-49	211,,
2022	NUMBER	ostra_luka	_T	45-49	169,,
2022	NUMBER	ostra_luka	M	45-49	79,,
2022	NUMBER	ostra_luka	F	45-49	90,,
2022	NUMBER	pale	_T	45-49	1227,,
2022	NUMBER	pale	M	45-49	600,,
2022	NUMBER	pale	F	45-49	627,,
2022	NUMBER	pelagicevo	_T	45-49	297,,
2022	NUMBER	pelagicevo	M	45-49	148,,
2022	NUMBER	pelagicevo	F	45-49	149,,
2022	NUMBER	petrovac	_T	45-49	32,,
2022	NUMBER	petrovac	M	45-49	4,,
2022	NUMBER	petrovac	F	45-49	28,,
2022	NUMBER	petrovo	_T	45-49	281,,
2022	NUMBER	petrovo	M	45-49	141,,
2022	NUMBER	petrovo	F	45-49	140,,
2022	NUMBER	prnjavor	_T	45-49	2351,,
2022	NUMBER	prnjavor	M	45-49	1167,,
2022	NUMBER	prnjavor	F	45-49	1184,,
2022	NUMBER	republika_srpska	_T	45-49	78709,,
2022	NUMBER	republika_srpska	M	45-49	38461,,
2022	NUMBER	republika_srpska	F	45-49	40248,,
2022	NUMBER	ribnik	_T	45-49	335,,
2022	NUMBER	ribnik	M	45-49	150,,
2022	NUMBER	ribnik	F	45-49	185,,
2022	NUMBER	rogatica	_T	45-49	600,,
2022	NUMBER	rogatica	M	45-49	289,,
2022	NUMBER	rogatica	F	45-49	311,,
2022	NUMBER	rudo	_T	45-49	444,,
2022	NUMBER	rudo	M	45-49	215,,
2022	NUMBER	rudo	F	45-49	229,,
2022	NUMBER	samac	_T	45-49	1013,,
2022	NUMBER	samac	M	45-49	511,,
2022	NUMBER	samac	F	45-49	502,,
2022	NUMBER	sekovici	_T	45-49	370,,
2022	NUMBER	sekovici	M	45-49	175,,
2022	NUMBER	sekovici	F	45-49	195,,
2022	NUMBER	sipovo	_T	45-49	584,,
2022	NUMBER	sipovo	M	45-49	270,,
2022	NUMBER	sipovo	F	45-49	314,,
2022	NUMBER	sokolac	_T	45-49	618,,
2022	NUMBER	sokolac	M	45-49	278,,
2022	NUMBER	sokolac	F	45-49	340,,
2022	NUMBER	srbac	_T	45-49	1104,,
2022	NUMBER	srbac	M	45-49	537,,
2022	NUMBER	srbac	F	45-49	567,,
2022	NUMBER	srebrenica	_T	45-49	977,,
2022	NUMBER	srebrenica	M	45-49	447,,
2022	NUMBER	srebrenica	F	45-49	530,,
2022	NUMBER	stanari	_T	45-49	417,,
2022	NUMBER	stanari	M	45-49	174,,
2022	NUMBER	stanari	F	45-49	243,,
2022	NUMBER	teslic	_T	45-49	2426,,
2022	NUMBER	teslic	M	45-49	1258,,
2022	NUMBER	teslic	F	45-49	1168,,
2022	NUMBER	trnovo	_T	45-49	90,,
2022	NUMBER	trnovo	M	45-49	42,,
2022	NUMBER	trnovo	F	45-49	48,,
2022	NUMBER	ugljevik	_T	45-49	911,,
2022	NUMBER	ugljevik	M	45-49	456,,
2022	NUMBER	ugljevik	F	45-49	455,,
2022	NUMBER	visegrad	_T	45-49	548,,
2022	NUMBER	visegrad	M	45-49	268,,
2022	NUMBER	visegrad	F	45-49	280,,
2022	NUMBER	vlasenica	_T	45-49	780,,
2022	NUMBER	vlasenica	M	45-49	367,,
2022	NUMBER	vlasenica	F	45-49	413,,
2022	NUMBER	vukosavlje	_T	45-49	292,,
2022	NUMBER	vukosavlje	M	45-49	148,,
2022	NUMBER	vukosavlje	F	45-49	144,,
2022	NUMBER	berkovici	_T	50-54	133,,
2022	NUMBER	berkovici	M	50-54	47,,
2022	NUMBER	berkovici	F	50-54	86,,
2022	NUMBER	bileca	_T	50-54	673,,
2022	NUMBER	bileca	M	50-54	313,,
2022	NUMBER	bileca	F	50-54	360,,
2022	NUMBER	bratunac	_T	50-54	1229,,
2022	NUMBER	bratunac	M	50-54	638,,
2022	NUMBER	bratunac	F	50-54	591,,
2022	NUMBER	brod	_T	50-54	997,,
2022	NUMBER	brod	M	50-54	498,,
2022	NUMBER	brod	F	50-54	499,,
2022	NUMBER	cajnice	_T	50-54	292,,
2022	NUMBER	cajnice	M	50-54	124,,
2022	NUMBER	cajnice	F	50-54	168,,
2022	NUMBER	celinac	_T	50-54	999,,
2022	NUMBER	celinac	M	50-54	473,,
2022	NUMBER	celinac	F	50-54	526,,
2022	NUMBER	donji_zabar	_T	50-54	276,,
2022	NUMBER	donji_zabar	M	50-54	126,,
2022	NUMBER	donji_zabar	F	50-54	150,,
2022	NUMBER	foca	_T	50-54	991,,
2022	NUMBER	foca	M	50-54	480,,
2022	NUMBER	foca	F	50-54	511,,
2022	NUMBER	gacko	_T	50-54	542,,
2022	NUMBER	gacko	M	50-54	262,,
2022	NUMBER	gacko	F	50-54	280,,
2022	NUMBER	grad_banja_luka	_T	50-54	11485,,
2022	NUMBER	grad_banja_luka	M	50-54	5747,,
2022	NUMBER	grad_banja_luka	F	50-54	5738,,
2022	NUMBER	grad_bijeljina	_T	50-54	6777,,
2022	NUMBER	grad_bijeljina	M	50-54	3467,,
2022	NUMBER	grad_bijeljina	F	50-54	3310,,
2022	NUMBER	grad_derventa	_T	50-54	1704,,
2022	NUMBER	grad_derventa	M	50-54	844,,
2022	NUMBER	grad_derventa	F	50-54	860,,
2022	NUMBER	grad_doboj	_T	50-54	3909,,
2022	NUMBER	grad_doboj	M	50-54	1956,,
2022	NUMBER	grad_doboj	F	50-54	1953,,
2022	NUMBER	grad_gradiska	_T	50-54	3058,,
2022	NUMBER	grad_gradiska	M	50-54	1527,,
2022	NUMBER	grad_gradiska	F	50-54	1531,,
2022	NUMBER	grad_prijedor	_T	50-54	5393,,
2022	NUMBER	grad_prijedor	M	50-54	2720,,
2022	NUMBER	grad_prijedor	F	50-54	2673,,
2022	NUMBER	grad_trebinje	_T	50-54	1744,,
2022	NUMBER	grad_trebinje	M	50-54	895,,
2022	NUMBER	grad_trebinje	F	50-54	849,,
2022	NUMBER	grad_zvornik	_T	50-54	3481,,
2022	NUMBER	grad_zvornik	M	50-54	1693,,
2022	NUMBER	grad_zvornik	F	50-54	1788,,
2022	NUMBER	han_pijesak	_T	50-54	199,,
2022	NUMBER	han_pijesak	M	50-54	96,,
2022	NUMBER	han_pijesak	F	50-54	103,,
2022	NUMBER	istocna_ilidza	_T	50-54	832,,
2022	NUMBER	istocna_ilidza	M	50-54	402,,
2022	NUMBER	istocna_ilidza	F	50-54	430,,
2022	NUMBER	istocni_drvar	_T	50-54	5,,
2022	NUMBER	istocni_drvar	M	50-54	0,,
2022	NUMBER	istocni_drvar	F	50-54	5,,
2022	NUMBER	istocni_mostar	_T	50-54	24,,
2022	NUMBER	istocni_mostar	M	50-54	8,,
2022	NUMBER	istocni_mostar	F	50-54	16,,
2022	NUMBER	istocni_stari_grad	_T	50-54	47,,
2022	NUMBER	istocni_stari_grad	M	50-54	19,,
2022	NUMBER	istocni_stari_grad	F	50-54	28,,
2022	NUMBER	istocno_novo_sarajevo	_T	50-54	710,,
2022	NUMBER	istocno_novo_sarajevo	M	50-54	317,,
2022	NUMBER	istocno_novo_sarajevo	F	50-54	393,,
2022	NUMBER	jezero	_T	50-54	68,,
2022	NUMBER	jezero	M	50-54	27,,
2022	NUMBER	jezero	F	50-54	41,,
2022	NUMBER	kalinovik	_T	50-54	87,,
2022	NUMBER	kalinovik	M	50-54	39,,
2022	NUMBER	kalinovik	F	50-54	48,,
2022	NUMBER	knezevo	_T	50-54	598,,
2022	NUMBER	knezevo	M	50-54	278,,
2022	NUMBER	knezevo	F	50-54	320,,
2022	NUMBER	kostajnica	_T	50-54	391,,
2022	NUMBER	kostajnica	M	50-54	199,,
2022	NUMBER	kostajnica	F	50-54	192,,
2022	NUMBER	kotor_varos	_T	50-54	1275,,
2022	NUMBER	kotor_varos	M	50-54	673,,
2022	NUMBER	kotor_varos	F	50-54	602,,
2022	NUMBER	kozarska_dubica	_T	50-54	1246,,
2022	NUMBER	kozarska_dubica	M	50-54	614,,
2022	NUMBER	kozarska_dubica	F	50-54	632,,
2022	NUMBER	krupa_na_uni	_T	50-54	115,,
2022	NUMBER	krupa_na_uni	M	50-54	46,,
2022	NUMBER	krupa_na_uni	F	50-54	69,,
2022	NUMBER	kupres	_T	50-54	17,,
2022	NUMBER	kupres	M	50-54	7,,
2022	NUMBER	kupres	F	50-54	10,,
2022	NUMBER	laktasi	_T	50-54	2319,,
2022	NUMBER	laktasi	M	50-54	1144,,
2022	NUMBER	laktasi	F	50-54	1175,,
2022	NUMBER	ljubinje	_T	50-54	203,,
2022	NUMBER	ljubinje	M	50-54	90,,
2022	NUMBER	ljubinje	F	50-54	113,,
2022	NUMBER	lopare	_T	50-54	939,,
2022	NUMBER	lopare	M	50-54	453,,
2022	NUMBER	lopare	F	50-54	486,,
2022	NUMBER	milici	_T	50-54	652,,
2022	NUMBER	milici	M	50-54	302,,
2022	NUMBER	milici	F	50-54	350,,
2022	NUMBER	modrica	_T	50-54	1627,,
2022	NUMBER	modrica	M	50-54	785,,
2022	NUMBER	modrica	F	50-54	842,,
2022	NUMBER	mrkonjic_grad	_T	50-54	885,,
2022	NUMBER	mrkonjic_grad	M	50-54	449,,
2022	NUMBER	mrkonjic_grad	F	50-54	436,,
2022	NUMBER	nevesinje	_T	50-54	834,,
2022	NUMBER	nevesinje	M	50-54	387,,
2022	NUMBER	nevesinje	F	50-54	447,,
2022	NUMBER	novi_grad	_T	50-54	1753,,
2022	NUMBER	novi_grad	M	50-54	864,,
2022	NUMBER	novi_grad	F	50-54	889,,
2022	NUMBER	novo_gorazde	_T	50-54	140,,
2022	NUMBER	novo_gorazde	M	50-54	64,,
2022	NUMBER	novo_gorazde	F	50-54	76,,
2022	NUMBER	osmaci	_T	50-54	377,,
2022	NUMBER	osmaci	M	50-54	188,,
2022	NUMBER	osmaci	F	50-54	189,,
2022	NUMBER	ostra_luka	_T	50-54	144,,
2022	NUMBER	ostra_luka	M	50-54	57,,
2022	NUMBER	ostra_luka	F	50-54	87,,
2022	NUMBER	pale	_T	50-54	1082,,
2022	NUMBER	pale	M	50-54	551,,
2022	NUMBER	pale	F	50-54	531,,
2022	NUMBER	pelagicevo	_T	50-54	314,,
2022	NUMBER	pelagicevo	M	50-54	123,,
2022	NUMBER	pelagicevo	F	50-54	191,,
2022	NUMBER	petrovac	_T	50-54	40,,
2022	NUMBER	petrovac	M	50-54	14,,
2022	NUMBER	petrovac	F	50-54	26,,
2022	NUMBER	petrovo	_T	50-54	341,,
2022	NUMBER	petrovo	M	50-54	180,,
2022	NUMBER	petrovo	F	50-54	161,,
2022	NUMBER	prnjavor	_T	50-54	2088,,
2022	NUMBER	prnjavor	M	50-54	1061,,
2022	NUMBER	prnjavor	F	50-54	1027,,
2022	NUMBER	republika_srpska	_T	50-54	74238,,
2022	NUMBER	republika_srpska	M	50-54	36686,,
2022	NUMBER	republika_srpska	F	50-54	37552,,
2022	NUMBER	ribnik	_T	50-54	358,,
2022	NUMBER	ribnik	M	50-54	153,,
2022	NUMBER	ribnik	F	50-54	205,,
2022	NUMBER	rogatica	_T	50-54	570,,
2022	NUMBER	rogatica	M	50-54	258,,
2022	NUMBER	rogatica	F	50-54	312,,
2022	NUMBER	rudo	_T	50-54	491,,
2022	NUMBER	rudo	M	50-54	236,,
2022	NUMBER	rudo	F	50-54	255,,
2022	NUMBER	samac	_T	50-54	1055,,
2022	NUMBER	samac	M	50-54	511,,
2022	NUMBER	samac	F	50-54	544,,
2022	NUMBER	sekovici	_T	50-54	374,,
2022	NUMBER	sekovici	M	50-54	169,,
2022	NUMBER	sekovici	F	50-54	205,,
2022	NUMBER	sipovo	_T	50-54	513,,
2022	NUMBER	sipovo	M	50-54	241,,
2022	NUMBER	sipovo	F	50-54	272,,
2022	NUMBER	sokolac	_T	50-54	599,,
2022	NUMBER	sokolac	M	50-54	305,,
2022	NUMBER	sokolac	F	50-54	294,,
2022	NUMBER	srbac	_T	50-54	1028,,
2022	NUMBER	srbac	M	50-54	498,,
2022	NUMBER	srbac	F	50-54	530,,
2022	NUMBER	srebrenica	_T	50-54	866,,
2022	NUMBER	srebrenica	M	50-54	414,,
2022	NUMBER	srebrenica	F	50-54	452,,
2022	NUMBER	stanari	_T	50-54	457,,
2022	NUMBER	stanari	M	50-54	219,,
2022	NUMBER	stanari	F	50-54	238,,
2022	NUMBER	teslic	_T	50-54	2293,,
2022	NUMBER	teslic	M	50-54	1190,,
2022	NUMBER	teslic	F	50-54	1103,,
2022	NUMBER	trnovo	_T	50-54	106,,
2022	NUMBER	trnovo	M	50-54	51,,
2022	NUMBER	trnovo	F	50-54	55,,
2022	NUMBER	ugljevik	_T	50-54	934,,
2022	NUMBER	ugljevik	M	50-54	464,,
2022	NUMBER	ugljevik	F	50-54	470,,
2022	NUMBER	visegrad	_T	50-54	571,,
2022	NUMBER	visegrad	M	50-54	281,,
2022	NUMBER	visegrad	F	50-54	290,,
2022	NUMBER	vlasenica	_T	50-54	693,,
2022	NUMBER	vlasenica	M	50-54	323,,
2022	NUMBER	vlasenica	F	50-54	370,,
2022	NUMBER	vukosavlje	_T	50-54	295,,
2022	NUMBER	vukosavlje	M	50-54	126,,
2022	NUMBER	vukosavlje	F	50-54	169,,
2022	NUMBER	berkovici	_T	55-59	119,,
2022	NUMBER	berkovici	M	55-59	44,,
2022	NUMBER	berkovici	F	55-59	75,,
2022	NUMBER	bileca	_T	55-59	714,,
2022	NUMBER	bileca	M	55-59	359,,
2022	NUMBER	bileca	F	55-59	355,,
2022	NUMBER	bratunac	_T	55-59	1331,,
2022	NUMBER	bratunac	M	55-59	680,,
2022	NUMBER	bratunac	F	55-59	651,,
2022	NUMBER	brod	_T	55-59	1176,,
2022	NUMBER	brod	M	55-59	583,,
2022	NUMBER	brod	F	55-59	593,,
2022	NUMBER	cajnice	_T	55-59	373,,
2022	NUMBER	cajnice	M	55-59	177,,
2022	NUMBER	cajnice	F	55-59	196,,
2022	NUMBER	celinac	_T	55-59	1134,,
2022	NUMBER	celinac	M	55-59	598,,
2022	NUMBER	celinac	F	55-59	536,,
2022	NUMBER	donji_zabar	_T	55-59	290,,
2022	NUMBER	donji_zabar	M	55-59	133,,
2022	NUMBER	donji_zabar	F	55-59	157,,
2022	NUMBER	foca	_T	55-59	1218,,
2022	NUMBER	foca	M	55-59	580,,
2022	NUMBER	foca	F	55-59	638,,
2022	NUMBER	gacko	_T	55-59	660,,
2022	NUMBER	gacko	M	55-59	342,,
2022	NUMBER	gacko	F	55-59	318,,
2022	NUMBER	grad_banja_luka	_T	55-59	11538,,
2022	NUMBER	grad_banja_luka	M	55-59	6111,,
2022	NUMBER	grad_banja_luka	F	55-59	5427,,
2022	NUMBER	grad_bijeljina	_T	55-59	7571,,
2022	NUMBER	grad_bijeljina	M	55-59	3820,,
2022	NUMBER	grad_bijeljina	F	55-59	3751,,
2022	NUMBER	grad_derventa	_T	55-59	1831,,
2022	NUMBER	grad_derventa	M	55-59	955,,
2022	NUMBER	grad_derventa	F	55-59	876,,
2022	NUMBER	grad_doboj	_T	55-59	4392,,
2022	NUMBER	grad_doboj	M	55-59	2320,,
2022	NUMBER	grad_doboj	F	55-59	2072,,
2022	NUMBER	grad_gradiska	_T	55-59	3283,,
2022	NUMBER	grad_gradiska	M	55-59	1713,,
2022	NUMBER	grad_gradiska	F	55-59	1570,,
2022	NUMBER	grad_prijedor	_T	55-59	6072,,
2022	NUMBER	grad_prijedor	M	55-59	3044,,
2022	NUMBER	grad_prijedor	F	55-59	3028,,
2022	NUMBER	grad_trebinje	_T	55-59	1957,,
2022	NUMBER	grad_trebinje	M	55-59	1018,,
2022	NUMBER	grad_trebinje	F	55-59	939,,
2022	NUMBER	grad_zvornik	_T	55-59	3809,,
2022	NUMBER	grad_zvornik	M	55-59	1974,,
2022	NUMBER	grad_zvornik	F	55-59	1835,,
2022	NUMBER	han_pijesak	_T	55-59	265,,
2022	NUMBER	han_pijesak	M	55-59	132,,
2022	NUMBER	han_pijesak	F	55-59	133,,
2022	NUMBER	istocna_ilidza	_T	55-59	962,,
2022	NUMBER	istocna_ilidza	M	55-59	506,,
2022	NUMBER	istocna_ilidza	F	55-59	456,,
2022	NUMBER	istocni_drvar	_T	55-59	8,,
2022	NUMBER	istocni_drvar	M	55-59	0,,
2022	NUMBER	istocni_drvar	F	55-59	8,,
2022	NUMBER	istocni_mostar	_T	55-59	17,,
2022	NUMBER	istocni_mostar	M	55-59	6,,
2022	NUMBER	istocni_mostar	F	55-59	11,,
2022	NUMBER	istocni_stari_grad	_T	55-59	55,,
2022	NUMBER	istocni_stari_grad	M	55-59	19,,
2022	NUMBER	istocni_stari_grad	F	55-59	36,,
2022	NUMBER	istocno_novo_sarajevo	_T	55-59	688,,
2022	NUMBER	istocno_novo_sarajevo	M	55-59	367,,
2022	NUMBER	istocno_novo_sarajevo	F	55-59	321,,
2022	NUMBER	jezero	_T	55-59	77,,
2022	NUMBER	jezero	M	55-59	41,,
2022	NUMBER	jezero	F	55-59	36,,
2022	NUMBER	kalinovik	_T	55-59	114,,
2022	NUMBER	kalinovik	M	55-59	45,,
2022	NUMBER	kalinovik	F	55-59	69,,
2022	NUMBER	knezevo	_T	55-59	633,,
2022	NUMBER	knezevo	M	55-59	329,,
2022	NUMBER	knezevo	F	55-59	304,,
2022	NUMBER	kostajnica	_T	55-59	419,,
2022	NUMBER	kostajnica	M	55-59	227,,
2022	NUMBER	kostajnica	F	55-59	192,,
2022	NUMBER	kotor_varos	_T	55-59	1279,,
2022	NUMBER	kotor_varos	M	55-59	655,,
2022	NUMBER	kotor_varos	F	55-59	624,,
2022	NUMBER	kozarska_dubica	_T	55-59	1586,,
2022	NUMBER	kozarska_dubica	M	55-59	840,,
2022	NUMBER	kozarska_dubica	F	55-59	746,,
2022	NUMBER	krupa_na_uni	_T	55-59	111,,
2022	NUMBER	krupa_na_uni	M	55-59	44,,
2022	NUMBER	krupa_na_uni	F	55-59	67,,
2022	NUMBER	kupres	_T	55-59	12,,
2022	NUMBER	kupres	M	55-59	5,,
2022	NUMBER	kupres	F	55-59	7,,
2022	NUMBER	laktasi	_T	55-59	2468,,
2022	NUMBER	laktasi	M	55-59	1248,,
2022	NUMBER	laktasi	F	55-59	1220,,
2022	NUMBER	ljubinje	_T	55-59	242,,
2022	NUMBER	ljubinje	M	55-59	116,,
2022	NUMBER	ljubinje	F	55-59	126,,
2022	NUMBER	lopare	_T	55-59	1152,,
2022	NUMBER	lopare	M	55-59	527,,
2022	NUMBER	lopare	F	55-59	625,,
2022	NUMBER	milici	_T	55-59	718,,
2022	NUMBER	milici	M	55-59	390,,
2022	NUMBER	milici	F	55-59	328,,
2022	NUMBER	modrica	_T	55-59	1811,,
2022	NUMBER	modrica	M	55-59	915,,
2022	NUMBER	modrica	F	55-59	896,,
2022	NUMBER	mrkonjic_grad	_T	55-59	952,,
2022	NUMBER	mrkonjic_grad	M	55-59	509,,
2022	NUMBER	mrkonjic_grad	F	55-59	443,,
2022	NUMBER	nevesinje	_T	55-59	857,,
2022	NUMBER	nevesinje	M	55-59	385,,
2022	NUMBER	nevesinje	F	55-59	472,,
2022	NUMBER	novi_grad	_T	55-59	1897,,
2022	NUMBER	novi_grad	M	55-59	933,,
2022	NUMBER	novi_grad	F	55-59	964,,
2022	NUMBER	novo_gorazde	_T	55-59	190,,
2022	NUMBER	novo_gorazde	M	55-59	91,,
2022	NUMBER	novo_gorazde	F	55-59	99,,
2022	NUMBER	osmaci	_T	55-59	424,,
2022	NUMBER	osmaci	M	55-59	214,,
2022	NUMBER	osmaci	F	55-59	210,,
2022	NUMBER	ostra_luka	_T	55-59	160,,
2022	NUMBER	ostra_luka	M	55-59	65,,
2022	NUMBER	ostra_luka	F	55-59	95,,
2022	NUMBER	pale	_T	55-59	1368,,
2022	NUMBER	pale	M	55-59	757,,
2022	NUMBER	pale	F	55-59	611,,
2022	NUMBER	pelagicevo	_T	55-59	350,,
2022	NUMBER	pelagicevo	M	55-59	163,,
2022	NUMBER	pelagicevo	F	55-59	187,,
2022	NUMBER	petrovac	_T	55-59	56,,
2022	NUMBER	petrovac	M	55-59	21,,
2022	NUMBER	petrovac	F	55-59	35,,
2022	NUMBER	petrovo	_T	55-59	449,,
2022	NUMBER	petrovo	M	55-59	225,,
2022	NUMBER	petrovo	F	55-59	224,,
2022	NUMBER	prnjavor	_T	55-59	2276,,
2022	NUMBER	prnjavor	M	55-59	1153,,
2022	NUMBER	prnjavor	F	55-59	1123,,
2022	NUMBER	republika_srpska	_T	55-59	81717,,
2022	NUMBER	republika_srpska	M	55-59	41741,,
2022	NUMBER	republika_srpska	F	55-59	39976,,
2022	NUMBER	ribnik	_T	55-59	356,,
2022	NUMBER	ribnik	M	55-59	154,,
2022	NUMBER	ribnik	F	55-59	202,,
2022	NUMBER	rogatica	_T	55-59	628,,
2022	NUMBER	rogatica	M	55-59	301,,
2022	NUMBER	rogatica	F	55-59	327,,
2022	NUMBER	rudo	_T	55-59	631,,
2022	NUMBER	rudo	M	55-59	306,,
2022	NUMBER	rudo	F	55-59	325,,
2022	NUMBER	samac	_T	55-59	1202,,
2022	NUMBER	samac	M	55-59	592,,
2022	NUMBER	samac	F	55-59	610,,
2022	NUMBER	sekovici	_T	55-59	469,,
2022	NUMBER	sekovici	M	55-59	223,,
2022	NUMBER	sekovici	F	55-59	246,,
2022	NUMBER	sipovo	_T	55-59	600,,
2022	NUMBER	sipovo	M	55-59	286,,
2022	NUMBER	sipovo	F	55-59	314,,
2022	NUMBER	sokolac	_T	55-59	782,,
2022	NUMBER	sokolac	M	55-59	396,,
2022	NUMBER	sokolac	F	55-59	386,,
2022	NUMBER	srbac	_T	55-59	1116,,
2022	NUMBER	srbac	M	55-59	555,,
2022	NUMBER	srbac	F	55-59	561,,
2022	NUMBER	srebrenica	_T	55-59	837,,
2022	NUMBER	srebrenica	M	55-59	437,,
2022	NUMBER	srebrenica	F	55-59	400,,
2022	NUMBER	stanari	_T	55-59	500,,
2022	NUMBER	stanari	M	55-59	215,,
2022	NUMBER	stanari	F	55-59	285,,
2022	NUMBER	teslic	_T	55-59	2458,,
2022	NUMBER	teslic	M	55-59	1328,,
2022	NUMBER	teslic	F	55-59	1130,,
2022	NUMBER	trnovo	_T	55-59	169,,
2022	NUMBER	trnovo	M	55-59	83,,
2022	NUMBER	trnovo	F	55-59	86,,
2022	NUMBER	ugljevik	_T	55-59	1113,,
2022	NUMBER	ugljevik	M	55-59	561,,
2022	NUMBER	ugljevik	F	55-59	552,,
2022	NUMBER	visegrad	_T	55-59	683,,
2022	NUMBER	visegrad	M	55-59	356,,
2022	NUMBER	visegrad	F	55-59	327,,
2022	NUMBER	vlasenica	_T	55-59	765,,
2022	NUMBER	vlasenica	M	55-59	405,,
2022	NUMBER	vlasenica	F	55-59	360,,
2022	NUMBER	vukosavlje	_T	55-59	344,,
2022	NUMBER	vukosavlje	M	55-59	164,,
2022	NUMBER	vukosavlje	F	55-59	180,,
2022	NUMBER	berkovici	_T	5-9	79,,
2022	NUMBER	berkovici	M	5-9	36,,
2022	NUMBER	berkovici	F	5-9	43,,
2022	NUMBER	bileca	_T	5-9	454,,
2022	NUMBER	bileca	M	5-9	224,,
2022	NUMBER	bileca	F	5-9	230,,
2022	NUMBER	bratunac	_T	5-9	595,,
2022	NUMBER	bratunac	M	5-9	285,,
2022	NUMBER	bratunac	F	5-9	310,,
2022	NUMBER	brod	_T	5-9	514,,
2022	NUMBER	brod	M	5-9	245,,
2022	NUMBER	brod	F	5-9	269,,
2022	NUMBER	cajnice	_T	5-9	140,,
2022	NUMBER	cajnice	M	5-9	76,,
2022	NUMBER	cajnice	F	5-9	64,,
2022	NUMBER	celinac	_T	5-9	694,,
2022	NUMBER	celinac	M	5-9	334,,
2022	NUMBER	celinac	F	5-9	360,,
2022	NUMBER	donji_zabar	_T	5-9	29,,
2022	NUMBER	donji_zabar	M	5-9	18,,
2022	NUMBER	donji_zabar	F	5-9	11,,
2022	NUMBER	foca	_T	5-9	624,,
2022	NUMBER	foca	M	5-9	285,,
2022	NUMBER	foca	F	5-9	339,,
2022	NUMBER	gacko	_T	5-9	362,,
2022	NUMBER	gacko	M	5-9	177,,
2022	NUMBER	gacko	F	5-9	185,,
2022	NUMBER	grad_banja_luka	_T	5-9	10295,,
2022	NUMBER	grad_banja_luka	M	5-9	4881,,
2022	NUMBER	grad_banja_luka	F	5-9	5414,,
2022	NUMBER	grad_bijeljina	_T	5-9	4730,,
2022	NUMBER	grad_bijeljina	M	5-9	2214,,
2022	NUMBER	grad_bijeljina	F	5-9	2516,,
2022	NUMBER	grad_derventa	_T	5-9	1081,,
2022	NUMBER	grad_derventa	M	5-9	522,,
2022	NUMBER	grad_derventa	F	5-9	559,,
2022	NUMBER	grad_doboj	_T	5-9	2801,,
2022	NUMBER	grad_doboj	M	5-9	1366,,
2022	NUMBER	grad_doboj	F	5-9	1435,,
2022	NUMBER	grad_gradiska	_T	5-9	1882,,
2022	NUMBER	grad_gradiska	M	5-9	909,,
2022	NUMBER	grad_gradiska	F	5-9	973,,
2022	NUMBER	grad_prijedor	_T	5-9	2728,,
2022	NUMBER	grad_prijedor	M	5-9	1267,,
2022	NUMBER	grad_prijedor	F	5-9	1461,,
2022	NUMBER	grad_trebinje	_T	5-9	1386,,
2022	NUMBER	grad_trebinje	M	5-9	691,,
2022	NUMBER	grad_trebinje	F	5-9	695,,
2022	NUMBER	grad_zvornik	_T	5-9	1926,,
2022	NUMBER	grad_zvornik	M	5-9	906,,
2022	NUMBER	grad_zvornik	F	5-9	1020,,
2022	NUMBER	han_pijesak	_T	5-9	122,,
2022	NUMBER	han_pijesak	M	5-9	57,,
2022	NUMBER	han_pijesak	F	5-9	65,,
2022	NUMBER	istocna_ilidza	_T	5-9	566,,
2022	NUMBER	istocna_ilidza	M	5-9	282,,
2022	NUMBER	istocna_ilidza	F	5-9	284,,
2022	NUMBER	istocni_drvar	_T	5-9	1,,
2022	NUMBER	istocni_drvar	M	5-9	0,,
2022	NUMBER	istocni_drvar	F	5-9	1,,
2022	NUMBER	istocni_mostar	_T	5-9	1,,
2022	NUMBER	istocni_mostar	M	5-9	0,,
2022	NUMBER	istocni_mostar	F	5-9	1,,
2022	NUMBER	istocni_stari_grad	_T	5-9	40,,
2022	NUMBER	istocni_stari_grad	M	5-9	18,,
2022	NUMBER	istocni_stari_grad	F	5-9	22,,
2022	NUMBER	istocno_novo_sarajevo	_T	5-9	640,,
2022	NUMBER	istocno_novo_sarajevo	M	5-9	291,,
2022	NUMBER	istocno_novo_sarajevo	F	5-9	349,,
2022	NUMBER	jezero	_T	5-9	30,,
2022	NUMBER	jezero	M	5-9	9,,
