Year,Value,UNIT_MEASURE
2022	NUMBER	prnjavor	F	10-14	801,,
2022	NUMBER	republika_srpska	_T	10-14	54372,,
2022	NUMBER	republika_srpska	M	10-14	26378,,
2022	NUMBER	republika_srpska	F	10-14	27994,,
2022	NUMBER	ribnik	_T	10-14	223,,
2022	NUMBER	ribnik	M	10-14	112,,
2022	NUMBER	ribnik	F	10-14	111,,
2022	NUMBER	rogatica	_T	10-14	498,,
2022	NUMBER	rogatica	M	10-14	237,,
2022	NUMBER	rogatica	F	10-14	261,,
2022	NUMBER	rudo	_T	10-14	293,,
2022	NUMBER	rudo	M	10-14	136,,
2022	NUMBER	rudo	F	10-14	157,,
2022	NUMBER	samac	_T	10-14	608,,
2022	NUMBER	samac	M	10-14	296,,
2022	NUMBER	samac	F	10-14	312,,
2022	NUMBER	sekovici	_T	10-14	235,,
2022	NUMBER	sekovici	M	10-14	120,,
2022	NUMBER	sekovici	F	10-14	115,,
2022	NUMBER	sipovo	_T	10-14	424,,
2022	NUMBER	sipovo	M	10-14	195,,
2022	NUMBER	sipovo	F	10-14	229,,
2022	NUMBER	sokolac	_T	10-14	518,,
2022	NUMBER	sokolac	M	10-14	256,,
2022	NUMBER	sokolac	F	10-14	262,,
2022	NUMBER	srbac	_T	10-14	798,,
2022	NUMBER	srbac	M	10-14	411,,
2022	NUMBER	srbac	F	10-14	387,,
2022	NUMBER	srebrenica	_T	10-14	500,,
2022	NUMBER	srebrenica	M	10-14	250,,
2022	NUMBER	srebrenica	F	10-14	250,,
2022	NUMBER	stanari	_T	10-14	346,,
2022	NUMBER	stanari	M	10-14	166,,
2022	NUMBER	stanari	F	10-14	180,,
2022	NUMBER	teslic	_T	10-14	1981,,
2022	NUMBER	teslic	M	10-14	935,,
2022	NUMBER	teslic	F	10-14	1046,,
2022	NUMBER	trnovo	_T	10-14	68,,
2022	NUMBER	trnovo	M	10-14	39,,
2022	NUMBER	trnovo	F	10-14	29,,
2022	NUMBER	ugljevik	_T	10-14	667,,
2022	NUMBER	ugljevik	M	10-14	302,,
2022	NUMBER	ugljevik	F	10-14	365,,
2022	NUMBER	visegrad	_T	10-14	333,,
