Year,UNIT_MEASURE,Administrative area,Sex,Ethnicity/nationality,Value
2013,Number,Rogatica,Total,Bosniak,1009
2013,Number,Rogatica,M,Bosniak,520
2013,Number,Rogatica,F,Bosniak,489
2013,Number,Rudo,Total,Bosniak,574
2013,Number,Rudo,M,Bosniak,300
2013,Number,Rudo,F,Bosniak,274
2013,Number,Sokolac,Total,Bosniak,629
2013,Number,Sokolac,M,Bosniak,329
2013,Number,Sokolac,F,Bosniak,300
2013,Number,Srbac,Total,Bosniak,394
2013,Number,Srbac,M,Bosniak,184
2013,Number,Srbac,F,Bosniak,210
2013,Number,Srebrenica,Total,Bosniak,6122
2013,Number,Srebrenica,M,Bosniak,2913
2013,Number,Srebrenica,F,Bosniak,3209
2013,Number,Teslic,Total,Bosniak,6887
2013,Number,Teslic,M,Bosniak,3387
2013,Number,Teslic,F,Bosniak,3500
2013,Number,City of Trebinje,Total,Bosniak,863
2013,Number,City of Trebinje,M,Bosniak,426
2013,Number,City of Trebinje,F,Bosniak,437
2013,Number,Trnovo,Total,Bosniak,818
2013,Number,Trnovo,M,Bosniak,405
2013,Number,Trnovo,F,Bosniak,413
2013,Number,Ugljevik,Total,Bosniak,1999
2013,Number,Ugljevik,M,Bosniak,974
2013,Number,Ugljevik,F,Bosniak,1025
2013,Number,Foca,Total,Bosniak,1169
2013,Number,Foca,M,Bosniak,626
2013,Number,Foca,F,Bosniak,543
2013,Number,Han Pijesak,Total,Bosniak,420
2013,Number,Han Pijesak,M,Bosniak,204
2013,Number,Han Pijesak,F,Bosniak,216
2013,Number,Cajnice,Total,Bosniak,835
2013,Number,Cajnice,M,Bosniak,439
2013,Number,Cajnice,F,Bosniak,396
2013,Number,Celinac,Total,Bosniak,395
2013,Number,Celinac,M,Bosniak,197
2013,Number,Celinac,F,Bosniak,198
2013,Number,Samac,Total,Bosniak,1005
2013,Number,Samac,M,Bosniak,486
2013,Number,Samac,F,Bosniak,519
2013,Number,Sekovici,Total,Bosniak,103
2013,Number,Sekovici,M,Bosniak,51
2013,Number,Sekovici,F,Bosniak,52
2013,Number,Sipovo,Total,Bosniak,578
2013,Number,Sipovo,M,Bosniak,294
2013,Number,Sipovo,F,Bosniak,284
2013,Number,Republika Srpska,Total,Croat,26509
2013,Number,Republika Srpska,M,Croat,11005
2013,Number,Republika Srpska,F,Croat,15504
2013,Number,City of Banja Luka,Total,Croat,4887
2013,Number,City of Banja Luka,M,Croat,1761
2013,Number,City of Banja Luka,F,Croat,3126
2013,Number,Berkovici,Total,Croat,11
2013,Number,Berkovici,M,Croat,1
2013,Number,Berkovici,F,Croat,10
2013,Number,City of Bijeljina,Total,Croat,498
2013,Number,City of Bijeljina,M,Croat,140
2013,Number,City of Bijeljina,F,Croat,358
2013,Number,Bileca,Total,Croat,21
2013,Number,Bileca,M,Croat,2
2013,Number,Bileca,F,Croat,19
2013,Number,Bratunac,Total,Croat,30
2013,Number,Bratunac,M,Croat,5
2013,Number,Bratunac,F,Croat,25
2013,Number,Brod,Total,Croat,3021
2013,Number,Brod,M,Croat,1413
2013,Number,Brod,F,Croat,1608
2013,Number,Visegrad,Total,Croat,32
2013,Number,Visegrad,M,Croat,5
2013,Number,Visegrad,F,Croat,27
2013,Number,Vlasenica,Total,Croat,29
2013,Number,Vlasenica,M,Croat,5
2013,Number,Vlasenica,F,Croat,24
2013,Number,Vukosavlje,Total,Croat,698
2013,Number,Vukosavlje,M,Croat,332
2013,Number,Vukosavlje,F,Croat,366
2013,Number,Gacko,Total,Croat,13
2013,Number,Gacko,M,Croat,5
2013,Number,Gacko,F,Croat,8
2013,Number,City of Gradiska,Total,Croat,800
2013,Number,City of Gradiska,M,Croat,276
2013,Number,City of Gradiska,F,Croat,524
2013,Number,City of Derventa,Total,Croat,2181
2013,Number,City of Derventa,M,Croat,1040
2013,Number,City of Derventa,F,Croat,1141
2013,Number,City of Doboj,Total,Croat,1550
2013,Number,City of Doboj,M,Croat,605
2013,Number,City of Doboj,F,Croat,945
2013,Number,Donji Zabar,Total,Croat,991
2013,Number,Donji Zabar,M,Croat,497
2013,Number,Donji Zabar,F,Croat,494
2013,Number,City of Zvornik,Total,Croat,103
2013,Number,City of Zvornik,M,Croat,17
2013,Number,City of Zvornik,F,Croat,86
2013,Number,East Ilidza,Total,Croat,148
2013,Number,East Ilidza,M,Croat,39
2013,Number,East Ilidza,F,Croat,109
2013,Number,East Drvar,Total,Croat,1
2013,Number,East Drvar,M,Croat,0
2013,Number,East Drvar,F,Croat,1
2013,Number,East Mostar,Total,Croat,11
2013,Number,East Mostar,M,Croat,8
2013,Number,East Mostar,F,Croat,3
2013,Number,East Stari Grad,Total,Croat,6
2013,Number,East Stari Grad,M,Croat,2
2013,Number,East Stari Grad,F,Croat,4
2013,Number,East Novo Sarajevo,Total,Croat,102
2013,Number,East Novo Sarajevo,M,Croat,23
2013,Number,East Novo Sarajevo,F,Croat,79
2013,Number,Jezero,Total,Croat,6
2013,Number,Jezero,M,Croat,4
2013,Number,Jezero,F,Croat,2
2013,Number,Kalinovik,Total,Croat,8
2013,Number,Kalinovik,M,Croat,2
2013,Number,Kalinovik,F,Croat,6
2013,Number,Knezevo,Total,Croat,24
2013,Number,Knezevo,M,Croat,5
2013,Number,Knezevo,F,Croat,19
2013,Number,Kozarska Dubica,Total,Croat,261
2013,Number,Kozarska Dubica,M,Croat,79
2013,Number,Kozarska Dubica,F,Croat,182
2013,Number,Kostajnica,Total,Croat,82
2013,Number,Kostajnica,M,Croat,29
2013,Number,Kostajnica,F,Croat,53
2013,Number,Kotor Varos,Total,Croat,852
2013,Number,Kotor Varos,M,Croat,410
2013,Number,Kotor Varos,F,Croat,442
2013,Number,Krupa Na Uni,Total,Croat,2
2013,Number,Krupa Na Uni,M,Croat,0
2013,Number,Krupa Na Uni,F,Croat,2
2013,Number,Kupres,Total,Croat,0
2013,Number,Kupres,M,Croat,0
2013,Number,Kupres,F,Croat,0
2013,Number,Laktasi,Total,Croat,500
2013,Number,Laktasi,M,Croat,175
2013,Number,Laktasi,F,Croat,325
2013,Number,Lopare,Total,Croat,48
2013,Number,Lopare,M,Croat,9
2013,Number,Lopare,F,Croat,39
2013,Number,Ljubinje,Total,Croat,10
2013,Number,Ljubinje,M,Croat,3
2013,Number,Ljubinje,F,Croat,7
2013,Number,Milici,Total,Croat,22
2013,Number,Milici,M,Croat,7
2013,Number,Milici,F,Croat,15
2013,Number,Modrica,Total,Croat,1396
2013,Number,Modrica,M,Croat,662
2013,Number,Modrica,F,Croat,734
2013,Number,Mrkonjic Grad,Total,Croat,148
2013,Number,Mrkonjic Grad,M,Croat,60
2013,Number,Mrkonjic Grad,F,Croat,88
2013,Number,Nevesinje,Total,Croat,27
2013,Number,Nevesinje,M,Croat,9
2013,Number,Nevesinje,F,Croat,18
2013,Number,Novi Grad,Total,Croat,174
2013,Number,Novi Grad,M,Croat,58
2013,Number,Novi Grad,F,Croat,116
2013,Number,Novo Gorazde,Total,Croat,2
2013,Number,Novo Gorazde,M,Croat,1
2013,Number,Novo Gorazde,F,Croat,1
2013,Number,Osmaci,Total,Croat,7
2013,Number,Osmaci,M,Croat,1
2013,Number,Osmaci,F,Croat,6
2013,Number,Ostra Luka,Total,Croat,149
2013,Number,Ostra Luka,M,Croat,74
2013,Number,Ostra Luka,F,Croat,75
2013,Number,Pale,Total,Croat,126
2013,Number,Pale,M,Croat,37
2013,Number,Pale,F,Croat,89
2013,Number,Pelagicevo,Total,Croat,1182
2013,Number,Pelagicevo,M,Croat,580
2013,Number,Pelagicevo,F,Croat,602
2013,Number,Petrovac,Total,Croat,0
2013,Number,Petrovac,M,Croat,0
2013,Number,Petrovac,F,Croat,0
2013,Number,Petrovo,Total,Croat,34
2013,Number,Petrovo,M,Croat,8
2013,Number,Petrovo,F,Croat,26
2013,Number,City of Prijedor,Total,Croat,1666
2013,Number,City of Prijedor,M,Croat,679
2013,Number,City of Prijedor,F,Croat,987
2013,Number,Prnjavor,Total,Croat,423
2013,Number,Prnjavor,M,Croat,150
2013,Number,Prnjavor,F,Croat,273
2013,Number,Ribnik,Total,Croat,11
2013,Number,Ribnik,M,Croat,4
2013,Number,Ribnik,F,Croat,7
2013,Number,Rogatica,Total,Croat,18
2013,Number,Rogatica,M,Croat,2
2013,Number,Rogatica,F,Croat,16
2013,Number,Rudo,Total,Croat,7
2013,Number,Rudo,M,Croat,6
2013,Number,Rudo,F,Croat,1
2013,Number,Sokolac,Total,Croat,28
2013,Number,Sokolac,M,Croat,8
2013,Number,Sokolac,F,Croat,20
2013,Number,Srbac,Total,Croat,128
2013,Number,Srbac,M,Croat,21
2013,Number,Srbac,F,Croat,107
2013,Number,Srebrenica,Total,Croat,14
2013,Number,Srebrenica,M,Croat,6
2013,Number,Srebrenica,F,Croat,8
2013,Number,Teslic,Total,Croat,1346
2013,Number,Teslic,M,Croat,581
2013,Number,Teslic,F,Croat,765
2013,Number,City of Trebinje,Total,Croat,295
2013,Number,City of Trebinje,M,Croat,99
2013,Number,City of Trebinje,F,Croat,196
2013,Number,Trnovo,Total,Croat,15
2013,Number,Trnovo,M,Croat,3
2013,Number,Trnovo,F,Croat,12
2013,Number,Ugljevik,Total,Croat,42
2013,Number,Ugljevik,M,Croat,8
2013,Number,Ugljevik,F,Croat,34
2013,Number,Foca,Total,Croat,52
2013,Number,Foca,M,Croat,16
2013,Number,Foca,F,Croat,36
2013,Number,Han Pijesak,Total,Croat,7
2013,Number,Han Pijesak,M,Croat,1
2013,Number,Han Pijesak,F,Croat,6
2013,Number,Cajnice,Total,Croat,6
2013,Number,Cajnice,M,Croat,1
2013,Number,Cajnice,F,Croat,5
2013,Number,Celinac,Total,Croat,48
2013,Number,Celinac,M,Croat,11
2013,Number,Celinac,F,Croat,37
2013,Number,Samac,Total,Croat,2176
2013,Number,Samac,M,Croat,1011
2013,Number,Samac,F,Croat,1165
2013,Number,Sekovici,Total,Croat,8
2013,Number,Sekovici,M,Croat,2
2013,Number,Sekovici,F,Croat,6
2013,Number,Sipovo,Total,Croat,26
2013,Number,Sipovo,M,Croat,7
2013,Number,Sipovo,F,Croat,19
2013,Number,Republika Srpska,Total,Serb,970857
2013,Number,Republika Srpska,M,Serb,477334
2013,Number,Republika Srpska,F,Serb,493523
2013,Number,City of Banja Luka,Total,Serb,162057
2013,Number,City of Banja Luka,M,Serb,78827
2013,Number,City of Banja Luka,F,Serb,83230
2013,Number,Berkovici,Total,Serb,1873
2013,Number,Berkovici,M,Serb,943
2013,Number,Berkovici,F,Serb,930
2013,Number,City of Bijeljina,Total,Serb,89474
2013,Number,City of Bijeljina,M,Serb,43861
2013,Number,City of Bijeljina,F,Serb,45613
2013,Number,Bileca,Total,Serb,10447
2013,Number,Bileca,M,Serb,5276
2013,Number,Bileca,F,Serb,5171
2013,Number,Bratunac,Total,Serb,11897
2013,Number,Bratunac,M,Serb,5915
2013,Number,Bratunac,F,Serb,5982
2013,Number,Brod,Total,Serb,11065
2013,Number,Brod,M,Serb,5486
2013,Number,Brod,F,Serb,5579
2013,Number,Visegrad,Total,Serb,8942
2013,Number,Visegrad,M,Serb,4337
2013,Number,Visegrad,F,Serb,4605
2013,Number,Vlasenica,Total,Serb,7190
2013,Number,Vlasenica,M,Serb,3505
2013,Number,Vlasenica,F,Serb,3685
2013,Number,Vukosavlje,Total,Serb,1448
2013,Number,Vukosavlje,M,Serb,720
2013,Number,Vukosavlje,F,Serb,728
2013,Number,Gacko,Total,Serb,8316
2013,Number,Gacko,M,Serb,4211
2013,Number,Gacko,F,Serb,4105
2013,Number,City of Gradiska,Total,Serb,40707
2013,Number,City of Gradiska,M,Serb,19960
2013,Number,City of Gradiska,F,Serb,20747
2013,Number,City of Derventa,Total,Serb,21495
2013,Number,City of Derventa,M,Serb,10524
2013,Number,City of Derventa,F,Serb,10971
2013,Number,City of Doboj,Total,Serb,50968
2013,Number,City of Doboj,M,Serb,24968
2013,Number,City of Doboj,F,Serb,26000
2013,Number,Donji Zabar,Total,Serb,2658
2013,Number,Donji Zabar,M,Serb,1352
