Year,UNIT_MEASURE,ADMIN_AREA,SEX,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,NUMBER,sekovici,M,5+_members,229.0
2013,NUMBER,sipovo,F,5+_members,451.0
2013,NUMBER,republika_srpska,_T,average_number_of_hh_members,2.85
2013,NUMBER,grad_banja_luka,M,average_number_of_hh_members,2.76
2013,NUMBER,berkovici,F,average_number_of_hh_members,3.21
2013,NUMBER,grad_bijeljina,_T,average_number_of_hh_members,3.02
2013,NUMBER,bileca,M,average_number_of_hh_members,3.21
2013,NUMBER,bratunac,F,average_number_of_hh_members,3.14
2013,NUMBER,brod,_T,average_number_of_hh_members,2.81
2013,NUMBER,visegrad,M,average_number_of_hh_members,2.51
2013,NUMBER,vlasenica,F,average_number_of_hh_members,2.87
2013,NUMBER,vukosavlje,_T,average_number_of_hh_members,2.84
2013,NUMBER,gacko,M,average_number_of_hh_members,3.15
2013,NUMBER,grad_gradiska,F,average_number_of_hh_members,2.9
2013,NUMBER,grad_derventa,_T,average_number_of_hh_members,2.77
2013,NUMBER,grad_doboj,M,average_number_of_hh_members,2.68
2013,NUMBER,donji_zabar,F,average_number_of_hh_members,3.08
2013,NUMBER,grad_zvornik,_T,average_number_of_hh_members,3.07
2013,NUMBER,istocna_ilidza,M,average_number_of_hh_members,2.86
2013,NUMBER,istocni_drvar,F,average_number_of_hh_members,1.61
2013,NUMBER,istocni_mostar,_T,average_number_of_hh_members,2.94
2013,NUMBER,istocni_stari_grad,M,average_number_of_hh_members,2.55
2013,NUMBER,istocno_novo_sarajevo,F,average_number_of_hh_members,2.71
2013,NUMBER,jezero,_T,average_number_of_hh_members,2.85
2013,NUMBER,kalinovik,M,average_number_of_hh_members,2.5
2013,NUMBER,knezevo,F,average_number_of_hh_members,2.94
2013,NUMBER,kozarska_dubica,_T,average_number_of_hh_members,2.76
2013,NUMBER,kostajnica,M,average_number_of_hh_members,2.98
2013,NUMBER,kotor_varos,F,average_number_of_hh_members,3.13
2013,NUMBER,krupa_na_uni,_T,average_number_of_hh_members,2.87
2013,NUMBER,kupres,M,average_number_of_hh_members,2.29
2013,NUMBER,laktasi,F,average_number_of_hh_members,3.02
2013,NUMBER,lopare,_T,average_number_of_hh_members,2.88
2013,NUMBER,ljubinje,M,average_number_of_hh_members,3.08
2013,NUMBER,milici,F,average_number_of_hh_members,2.92
2013,NUMBER,modrica,_T,average_number_of_hh_members,2.83
2013,NUMBER,mrkonjic_grad,M,average_number_of_hh_members,2.6
2013,NUMBER,nevesinje,F,average_number_of_hh_members,3.15
2013,NUMBER,novi_grad,_T,average_number_of_hh_members,2.87
2013,NUMBER,novo_gorazde,M,average_number_of_hh_members,2.7
2013,NUMBER,osmaci,F,average_number_of_hh_members,3.31
2013,NUMBER,ostra_luka,_T,average_number_of_hh_members,2.79
2013,NUMBER,pale,M,average_number_of_hh_members,2.83
2013,NUMBER,pelagicevo,F,average_number_of_hh_members,2.43
2013,NUMBER,petrovac,_T,average_number_of_hh_members,2.72
2013,NUMBER,petrovo,M,average_number_of_hh_members,2.49
2013,NUMBER,grad_prijedor,F,average_number_of_hh_members,2.88
2013,NUMBER,prnjavor,_T,average_number_of_hh_members,2.82
2013,NUMBER,ribnik,M,average_number_of_hh_members,2.6
2013,NUMBER,rogatica,F,average_number_of_hh_members,2.65
2013,NUMBER,rudo,_T,average_number_of_hh_members,2.66
2013,NUMBER,sokolac,M,average_number_of_hh_members,2.7
2013,NUMBER,srbac,F,average_number_of_hh_members,2.75
2013,NUMBER,srebrenica,_T,average_number_of_hh_members,3.08
2013,NUMBER,teslic,M,average_number_of_hh_members,2.81
2013,NUMBER,grad_trebinje,F,average_number_of_hh_members,2.99
2013,NUMBER,trnovo,_T,average_number_of_hh_members,2.48
2013,NUMBER,ugljevik,M,average_number_of_hh_members,3.11
2013,NUMBER,foca,F,average_number_of_hh_members,2.63
2013,NUMBER,han_pijesak,_T,average_number_of_hh_members,2.48
2013,NUMBER,cajnice,M,average_number_of_hh_members,2.82
2013,NUMBER,celinac,F,average_number_of_hh_members,3.02
2013,NUMBER,samac,_T,average_number_of_hh_members,2.91
2013,NUMBER,sekovici,M,average_number_of_hh_members,2.51
2013,NUMBER,sipovo,F,average_number_of_hh_members,2.72
