Year,UNIT_MEASURE,Teritory,SEX,BIRTHS,Value
2013,NUMBER,sokolac,F,three_children,768
2013,NUMBER,srbac,F,three_children,1137
2013,NUMBER,srebrenica,F,three_children,914
2013,NUMBER,teslic,F,three_children,2955
2013,NUMBER,grad_trebinje,F,three_children,2131
2013,NUMBER,trnovo,F,three_children,136
2013,NUMBER,ugljevik,F,three_children,1018
2013,NUMBER,foca,F,three_children,1283
2013,NUMBER,han_pijesak,F,three_children,282
2013,NUMBER,cajnice,F,three_children,408
2013,NUMBER,celinac,F,three_children,1172
2013,NUMBER,samac,F,three_children,962
2013,NUMBER,sekovici,F,three_children,558
2013,NUMBER,sipovo,F,three_children,787
2013,NUMBER,republika_srpska,F,four_children,22659
2013,NUMBER,grad_banja_luka,F,four_children,2049
2013,NUMBER,berkovici,F,four_children,76
2013,NUMBER,grad_bijeljina,F,four_children,1410
2013,NUMBER,bileca,F,four_children,351
2013,NUMBER,bratunac,F,four_children,492
2013,NUMBER,brod,F,four_children,303
2013,NUMBER,visegrad,F,four_children,194
2013,NUMBER,vlasenica,F,four_children,266
2013,NUMBER,vukosavlje,F,four_children,148
2013,NUMBER,gacko,F,four_children,273
2013,NUMBER,grad_gradiska,F,four_children,817
2013,NUMBER,grad_derventa,F,four_children,506
2013,NUMBER,grad_doboj,F,four_children,1337
2013,NUMBER,donji_zabar,F,four_children,69
2013,NUMBER,grad_zvornik,F,four_children,1267
2013,NUMBER,istocna_ilidza,F,four_children,111
2013,NUMBER,istocni_drvar,F,four_children,0
2013,NUMBER,istocni_mostar,F,four_children,5
2013,NUMBER,istocni_stari_grad,F,four_children,23
2013,NUMBER,istocno_novo_sarajevo,F,four_children,82
2013,NUMBER,jezero,F,four_children,34
2013,NUMBER,kalinovik,F,four_children,53
2013,NUMBER,knezevo,F,four_children,317
2013,NUMBER,kozarska_dubica,F,four_children,294
2013,NUMBER,kostajnica,F,four_children,70
2013,NUMBER,kotor_varos,F,four_children,635
2013,NUMBER,krupa_na_uni,F,four_children,61
2013,NUMBER,kupres,F,four_children,13
2013,NUMBER,laktasi,F,four_children,549
2013,NUMBER,lopare,F,four_children,301
2013,NUMBER,ljubinje,F,four_children,74
