Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,Berkovići,M,illiterate,1.0
2013,Broj,Berkovići,Ž,illiterate,46.0
2013,Broj,Grad Bijeljina,Oba spola,illiterate,2541.0
2013,Broj,Grad Bijeljina,M,illiterate,413.0
2013,Broj,Grad Bijeljina,Ž,illiterate,2128.0
2013,Broj,Bileća,Oba spola,illiterate,144.0
2013,Broj,Bileća,M,illiterate,31.0
2013,Broj,Bileća,Ž,illiterate,113.0
2013,Broj,Bratunac,Oba spola,illiterate,865.0
2013,Broj,Bratunac,M,illiterate,82.0
2013,Broj,Bratunac,Ž,illiterate,783.0
2013,Broj,Brod,Oba spola,illiterate,330.0
2013,Broj,Brod,M,illiterate,53.0
2013,Broj,Brod,Ž,illiterate,277.0
2013,Broj,Višegrad,Oba spola,illiterate,358.0
2013,Broj,Višegrad,M,illiterate,35.0
2013,Broj,Višegrad,Ž,illiterate,323.0
2013,Broj,Vlasenica,Oba spola,illiterate,350.0
2013,Broj,Vlasenica,M,illiterate,49.0
2013,Broj,Vlasenica,Ž,illiterate,301.0
2013,Broj,Vukosavlje,Oba spola,illiterate,196.0
2013,Broj,Vukosavlje,M,illiterate,31.0
2013,Broj,Vukosavlje,Ž,illiterate,165.0
2013,Broj,Gacko,Oba spola,illiterate,110.0
2013,Broj,Gacko,M,illiterate,10.0
2013,Broj,Gacko,Ž,illiterate,100.0
2013,Broj,Grad Gradiška,Oba spola,illiterate,1526.0
2013,Broj,Grad Gradiška,M,illiterate,204.0
2013,Broj,Grad Gradiška,Ž,illiterate,1322.0
2013,Broj,Grad Derventa,Oba spola,illiterate,812.0
2013,Broj,Grad Derventa,M,illiterate,120.0
2013,Broj,Grad Derventa,Ž,illiterate,692.0
2013,Broj,Grad Doboj,Oba spola,illiterate,1979.0
2013,Broj,Grad Doboj,M,illiterate,270.0
2013,Broj,Grad Doboj,Ž,illiterate,1709.0
2013,Broj,Donji Žabar,Oba spola,illiterate,128.0
2013,Broj,Donji Žabar,M,illiterate,26.0
2013,Broj,Donji Žabar,Ž,illiterate,102.0
2013,Broj,Grad Zvornik,Oba spola,illiterate,2055.0
2013,Broj,Grad Zvornik,M,illiterate,245.0
2013,Broj,Grad Zvornik,Ž,illiterate,1810.0
2013,Broj,Istočna Ilidža,Oba spola,illiterate,171.0
2013,Broj,Istočna Ilidža,M,illiterate,22.0
2013,Broj,Istočna Ilidža,Ž,illiterate,149.0
2013,Broj,Istočni Drvar,Oba spola,illiterate,2.0
2013,Broj,Istočni Drvar,M,illiterate,0.0
2013,Broj,Istočni Drvar,Ž,illiterate,2.0
2013,Broj,Istočni Mostar,Oba spola,illiterate,19.0
2013,Broj,Istočni Mostar,M,illiterate,1.0
2013,Broj,Istočni Mostar,Ž,illiterate,18.0
2013,Broj,Istočni Stari Grad,Oba spola,illiterate,40.0
2013,Broj,Istočni Stari Grad,M,illiterate,3.0
2013,Broj,Istočni Stari Grad,Ž,illiterate,37.0
2013,Broj,Istočno Novo Sarajevo,Oba spola,illiterate,80.0
2013,Broj,Istočno Novo Sarajevo,M,illiterate,14.0
2013,Broj,Istočno Novo Sarajevo,Ž,illiterate,66.0
2013,Broj,Jezero,Oba spola,illiterate,43.0
2013,Broj,Jezero,M,illiterate,7.0
2013,Broj,Jezero,Ž,illiterate,36.0
2013,Broj,Kalinovik,Oba spola,illiterate,86.0
2013,Broj,Kalinovik,M,illiterate,5.0
2013,Broj,Kalinovik,Ž,illiterate,81.0
2013,Broj,Kneževo,Oba spola,illiterate,971.0
2013,Broj,Kneževo,M,illiterate,146.0
2013,Broj,Kneževo,Ž,illiterate,825.0
2013,Broj,Kozarska Dubica,Oba spola,illiterate,590.0
2013,Broj,Kozarska Dubica,M,illiterate,77.0
2013,Broj,Kozarska Dubica,Ž,illiterate,513.0
2013,Broj,Kostajnica,Oba spola,illiterate,115.0
2013,Broj,Kostajnica,M,illiterate,14.0
2013,Broj,Kostajnica,Ž,illiterate,101.0
2013,Broj,Kotor Varoš,Oba spola,illiterate,1042.0
2013,Broj,Kotor Varoš,M,illiterate,148.0
2013,Broj,Kotor Varoš,Ž,illiterate,894.0
2013,Broj,Krupa Na Uni,Oba spola,illiterate,145.0
2013,Broj,Krupa Na Uni,M,illiterate,21.0
2013,Broj,Krupa Na Uni,Ž,illiterate,124.0
2013,Broj,Kupres,Oba spola,illiterate,81.0
2013,Broj,Kupres,M,illiterate,27.0
2013,Broj,Kupres,Ž,illiterate,54.0
2013,Broj,Laktaši,Oba spola,illiterate,752.0
2013,Broj,Laktaši,M,illiterate,117.0
2013,Broj,Laktaši,Ž,illiterate,635.0
2013,Broj,Lopare,Oba spola,illiterate,680.0
2013,Broj,Lopare,M,illiterate,123.0
2013,Broj,Lopare,Ž,illiterate,557.0
2013,Broj,Ljubinje,Oba spola,illiterate,49.0
2013,Broj,Ljubinje,M,illiterate,5.0
2013,Broj,Ljubinje,Ž,illiterate,44.0
2013,Broj,Milići,Oba spola,illiterate,399.0
2013,Broj,Milići,M,illiterate,51.0
2013,Broj,Milići,Ž,illiterate,348.0
2013,Broj,Modriča,Oba spola,illiterate,736.0
2013,Broj,Modriča,M,illiterate,119.0
2013,Broj,Modriča,Ž,illiterate,617.0
2013,Broj,Mrkonjić Grad,Oba spola,illiterate,821.0
2013,Broj,Mrkonjić Grad,M,illiterate,95.0
2013,Broj,Mrkonjić Grad,Ž,illiterate,726.0
2013,Broj,Nevesinje,Oba spola,illiterate,305.0
2013,Broj,Nevesinje,M,illiterate,32.0
2013,Broj,Nevesinje,Ž,illiterate,273.0
2013,Broj,Novi Grad,Oba spola,illiterate,666.0
2013,Broj,Novi Grad,M,illiterate,106.0
2013,Broj,Novi Grad,Ž,illiterate,560.0
2013,Broj,Novo Goražde,Oba spola,illiterate,76.0
2013,Broj,Novo Goražde,M,illiterate,5.0
2013,Broj,Novo Goražde,Ž,illiterate,71.0
2013,Broj,Osmaci,Oba spola,illiterate,264.0
2013,Broj,Osmaci,M,illiterate,29.0
2013,Broj,Osmaci,Ž,illiterate,235.0
2013,Broj,Oštra Luka,Oba spola,illiterate,196.0
2013,Broj,Oštra Luka,M,illiterate,32.0
2013,Broj,Oštra Luka,Ž,illiterate,164.0
2013,Broj,Pale,Oba spola,illiterate,293.0
2013,Broj,Pale,M,illiterate,40.0
2013,Broj,Pale,Ž,illiterate,253.0
2013,Broj,Pelagićevo,Oba spola,illiterate,179.0
2013,Broj,Pelagićevo,M,illiterate,29.0
2013,Broj,Pelagićevo,Ž,illiterate,150.0
2013,Broj,Petrovac,Oba spola,illiterate,6.0
2013,Broj,Petrovac,M,illiterate,0.0
2013,Broj,Petrovac,Ž,illiterate,6.0
2013,Broj,Petrovo,Oba spola,illiterate,245.0
2013,Broj,Petrovo,M,illiterate,28.0
2013,Broj,Petrovo,Ž,illiterate,217.0
2013,Broj,Grad Prijedor,Oba spola,illiterate,2172.0
2013,Broj,Grad Prijedor,M,illiterate,422.0
2013,Broj,Grad Prijedor,Ž,illiterate,1750.0
2013,Broj,Prnjavor,Oba spola,illiterate,1408.0
2013,Broj,Prnjavor,M,illiterate,203.0
2013,Broj,Prnjavor,Ž,illiterate,1205.0
2013,Broj,Ribnik,Oba spola,illiterate,456.0
2013,Broj,Ribnik,M,illiterate,69.0
2013,Broj,Ribnik,Ž,illiterate,387.0
2013,Broj,Rogatica,Oba spola,illiterate,351.0
2013,Broj,Rogatica,M,illiterate,38.0
2013,Broj,Rogatica,Ž,illiterate,313.0
2013,Broj,Rudo,Oba spola,illiterate,155.0
2013,Broj,Rudo,M,illiterate,27.0
2013,Broj,Rudo,Ž,illiterate,128.0
2013,Broj,Sokolac,Oba spola,illiterate,231.0
2013,Broj,Sokolac,M,illiterate,25.0
2013,Broj,Sokolac,Ž,illiterate,206.0
2013,Broj,Srbac,Oba spola,illiterate,539.0
2013,Broj,Srbac,M,illiterate,102.0
2013,Broj,Srbac,Ž,illiterate,437.0
2013,Broj,Srebrenica,Oba spola,illiterate,627.0
2013,Broj,Srebrenica,M,illiterate,64.0
2013,Broj,Srebrenica,Ž,illiterate,563.0
2013,Broj,Teslić,Oba spola,illiterate,1980.0
2013,Broj,Teslić,M,illiterate,227.0
2013,Broj,Teslić,Ž,illiterate,1753.0
2013,Broj,Grad Trebinje,Oba spola,illiterate,237.0
2013,Broj,Grad Trebinje,M,illiterate,31.0
2013,Broj,Grad Trebinje,Ž,illiterate,206.0
2013,Broj,Trnovo,Oba spola,illiterate,76.0
2013,Broj,Trnovo,M,illiterate,10.0
2013,Broj,Trnovo,Ž,illiterate,66.0
2013,Broj,Ugljevik,Oba spola,illiterate,451.0
2013,Broj,Ugljevik,M,illiterate,68.0
2013,Broj,Ugljevik,Ž,illiterate,383.0
2013,Broj,Foča,Oba spola,illiterate,391.0
2013,Broj,Foča,M,illiterate,51.0
2013,Broj,Foča,Ž,illiterate,340.0
2013,Broj,Han Pijesak,Oba spola,illiterate,88.0
2013,Broj,Han Pijesak,M,illiterate,10.0
2013,Broj,Han Pijesak,Ž,illiterate,78.0
2013,Broj,Čajniče,Oba spola,illiterate,140.0
2013,Broj,Čajniče,M,illiterate,22.0
2013,Broj,Čajniče,Ž,illiterate,118.0
2013,Broj,Čelinac,Oba spola,illiterate,472.0
2013,Broj,Čelinac,M,illiterate,56.0
2013,Broj,Čelinac,Ž,illiterate,416.0
2013,Broj,Šamac,Oba spola,illiterate,300.0
2013,Broj,Šamac,M,illiterate,55.0
2013,Broj,Šamac,Ž,illiterate,245.0
2013,Broj,Šekovići,Oba spola,illiterate,427.0
2013,Broj,Šekovići,M,illiterate,83.0
2013,Broj,Šekovići,Ž,illiterate,344.0
2013,Broj,Šipovo,Oba spola,illiterate,431.0
2013,Broj,Šipovo,M,illiterate,49.0
2013,Broj,Šipovo,Ž,illiterate,382.0
2013,Broj,Republika Srpska,Oba spola,illiterates_percentage,3.29
2013,Broj,Republika Srpska,M,illiterates_percentage,0.97
2013,Broj,Republika Srpska,Ž,illiterates_percentage,5.48
2013,Broj,Grad Banja Luka,Oba spola,illiterates_percentage,2.16
2013,Broj,Grad Banja Luka,M,illiterates_percentage,0.66
2013,Broj,Grad Banja Luka,Ž,illiterates_percentage,3.53
2013,Broj,Berkovići,Oba spola,illiterates_percentage,2.58
