Year,UNIT_MEASURE,Teritory,Spol,Starosna dob,Value
2013,Broj,VISEGRAD,Ž,10-14,220
2013,Broj,VLASENICA,Oba spola,10-14,519
2013,Broj,VLASENICA,M,10-14,273
2013,Broj,VLASENICA,Ž,10-14,246
2013,Broj,VUKOSAVLJE,Oba spola,10-14,244
2013,Broj,VUKOSAVLJE,M,10-14,122
2013,Broj,VUKOSAVLJE,Ž,10-14,122
2013,Broj,GACKO,Oba spola,10-14,534
2013,Broj,GACKO,M,10-14,299
2013,Broj,GACKO,Ž,10-14,235
2013,Broj,GRAD GRADISKA,Oba spola,10-14,2387
2013,Broj,GRAD GRADISKA,M,10-14,1210
2013,Broj,GRAD GRADISKA,Ž,10-14,1177
2013,Broj,GRAD DERVENTA,Oba spola,10-14,1301
2013,Broj,GRAD DERVENTA,M,10-14,654
2013,Broj,GRAD DERVENTA,Ž,10-14,647
2013,Broj,GRAD DOBOJ,Oba spola,10-14,2970
2013,Broj,GRAD DOBOJ,M,10-14,1599
2013,Broj,GRAD DOBOJ,Ž,10-14,1371
2013,Broj,DONJI ZABAR,Oba spola,10-14,214
2013,Broj,DONJI ZABAR,M,10-14,105
2013,Broj,DONJI ZABAR,Ž,10-14,109
2013,Broj,GRAD ZVORNIK,Oba spola,10-14,2860
2013,Broj,GRAD ZVORNIK,M,10-14,1438
2013,Broj,GRAD ZVORNIK,Ž,10-14,1422
2013,Broj,ISTOCNI DRVAR,Oba spola,10-14,-
2013,Broj,ISTOCNI DRVAR,M,10-14,-
2013,Broj,ISTOCNI DRVAR,Ž,10-14,-
2013,Broj,ISTOCNI MOSTAR,Oba spola,10-14,13
2013,Broj,ISTOCNI MOSTAR,M,10-14,8
2013,Broj,ISTOCNI MOSTAR,Ž,10-14,5
2013,Broj,GRAD ISTOCNO SARAJEVO,Oba spola,10-14,2730
2013,Broj,GRAD ISTOCNO SARAJEVO,M,10-14,1401
2013,Broj,GRAD ISTOCNO SARAJEVO,Ž,10-14,1329
2013,Broj,ISTOCNA ILIDZA,Oba spola,10-14,651
2013,Broj,ISTOCNA ILIDZA,M,10-14,313
2013,Broj,ISTOCNA ILIDZA,Ž,10-14,338
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,10-14,486
2013,Broj,ISTOCNO NOVO SARAJEVO,M,10-14,242
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,10-14,244
2013,Broj,ISTOČNI STARI GRAD,Oba spola,10-14,31
2013,Broj,ISTOČNI STARI GRAD,M,10-14,18
2013,Broj,ISTOČNI STARI GRAD,Ž,10-14,13
2013,Broj,PALE,Oba spola,10-14,954
2013,Broj,PALE,M,10-14,509
2013,Broj,PALE,Ž,10-14,445
2013,Broj,SOKOLAC,Oba spola,10-14,542
2013,Broj,SOKOLAC,M,10-14,282
2013,Broj,SOKOLAC,Ž,10-14,260
2013,Broj,TRNOVO,Oba spola,10-14,66
2013,Broj,TRNOVO,M,10-14,37
2013,Broj,TRNOVO,Ž,10-14,29
2013,Broj,JEZERO,Oba spola,10-14,49
2013,Broj,JEZERO,M,10-14,26
2013,Broj,JEZERO,Ž,10-14,23
2013,Broj,KALINOVIK,Oba spola,10-14,78
2013,Broj,KALINOVIK,M,10-14,25
2013,Broj,KALINOVIK,Ž,10-14,53
2013,Broj,KNEZEVO,Oba spola,10-14,557
2013,Broj,KNEZEVO,M,10-14,283
2013,Broj,KNEZEVO,Ž,10-14,274
2013,Broj,KOSTAJNICA,Oba spola,10-14,235
2013,Broj,KOSTAJNICA,M,10-14,119
2013,Broj,KOSTAJNICA,Ž,10-14,116
2013,Broj,KOTOR VAROS,Oba spola,10-14,1173
2013,Broj,KOTOR VAROS,M,10-14,620
2013,Broj,KOTOR VAROS,Ž,10-14,553
2013,Broj,KOZARSKA DUBICA,Oba spola,10-14,884
2013,Broj,KOZARSKA DUBICA,M,10-14,465
2013,Broj,KOZARSKA DUBICA,Ž,10-14,419
2013,Broj,KRUPA NA UNI,Oba spola,10-14,80
2013,Broj,KRUPA NA UNI,M,10-14,36
2013,Broj,KRUPA NA UNI,Ž,10-14,44
2013,Broj,KUPRES,Oba spola,10-14,14
2013,Broj,KUPRES,M,10-14,8
2013,Broj,KUPRES,Ž,10-14,6
2013,Broj,LAKTASI,Oba spola,10-14,1864
2013,Broj,LAKTASI,M,10-14,969
2013,Broj,LAKTASI,Ž,10-14,895
2013,Broj,LOPARE,Oba spola,10-14,701
2013,Broj,LOPARE,M,10-14,382
2013,Broj,LOPARE,Ž,10-14,319
2013,Broj,LJUBINJE,Oba spola,10-14,150
2013,Broj,LJUBINJE,M,10-14,77
2013,Broj,LJUBINJE,Ž,10-14,73
2013,Broj,MILICI,Oba spola,10-14,498
2013,Broj,MILICI,M,10-14,259
2013,Broj,MILICI,Ž,10-14,239
2013,Broj,MODRICA,Oba spola,10-14,1326
2013,Broj,MODRICA,M,10-14,683
2013,Broj,MODRICA,Ž,10-14,643
