Year,UNIT_MEASURE,Teritory,Spol,Education,Value
2013,Broj,SEKOVICI,Oba spola,Bez obrazovanja,655
2013,Broj,SEKOVICI,M,Bez obrazovanja,120
2013,Broj,SEKOVICI,Ž,Bez obrazovanja,535
2013,Broj,SIPOVO,Oba spola,Bez obrazovanja,732
2013,Broj,SIPOVO,M,Bez obrazovanja,120
2013,Broj,SIPOVO,Ž,Bez obrazovanja,612
2013,Broj,REPUBLIKA SRPSKA,Oba spola,incomplete_elementary,97022
2013,Broj,REPUBLIKA SRPSKA,M,incomplete_elementary,33465
2013,Broj,REPUBLIKA SRPSKA,Ž,incomplete_elementary,63557
2013,Broj,BANJA LUKA,Oba spola,incomplete_elementary,6483
2013,Broj,BANJA LUKA,M,incomplete_elementary,2117
2013,Broj,BANJA LUKA,Ž,incomplete_elementary,4366
2013,Broj,BERKOVICI,Oba spola,incomplete_elementary,229
2013,Broj,BERKOVICI,M,incomplete_elementary,74
2013,Broj,BERKOVICI,Ž,incomplete_elementary,155
2013,Broj,BIJELJINA,Oba spola,incomplete_elementary,10740
2013,Broj,BIJELJINA,M,incomplete_elementary,3999
2013,Broj,BIJELJINA,Ž,incomplete_elementary,6741
2013,Broj,BILECA,Oba spola,incomplete_elementary,747
2013,Broj,BILECA,M,incomplete_elementary,187
2013,Broj,BILECA,Ž,incomplete_elementary,560
2013,Broj,BRATUNAC,Oba spola,incomplete_elementary,1364
2013,Broj,BRATUNAC,M,incomplete_elementary,395
2013,Broj,BRATUNAC,Ž,incomplete_elementary,969
2013,Broj,BROD,Oba spola,incomplete_elementary,1241
2013,Broj,BROD,M,incomplete_elementary,328
2013,Broj,BROD,Ž,incomplete_elementary,913
2013,Broj,VISEGRAD,Oba spola,incomplete_elementary,783
2013,Broj,VISEGRAD,M,incomplete_elementary,203
2013,Broj,VISEGRAD,Ž,incomplete_elementary,580
2013,Broj,VLASENICA,Oba spola,incomplete_elementary,758
2013,Broj,VLASENICA,M,incomplete_elementary,243
2013,Broj,VLASENICA,Ž,incomplete_elementary,515
2013,Broj,VUKOSAVLJE,Oba spola,incomplete_elementary,719
2013,Broj,VUKOSAVLJE,M,incomplete_elementary,300
2013,Broj,VUKOSAVLJE,Ž,incomplete_elementary,419
2013,Broj,GACKO,Oba spola,incomplete_elementary,496
2013,Broj,GACKO,M,incomplete_elementary,135
2013,Broj,GACKO,Ž,incomplete_elementary,361
2013,Broj,GRADISKA,Oba spola,incomplete_elementary,4821
2013,Broj,GRADISKA,M,incomplete_elementary,1832
2013,Broj,GRADISKA,Ž,incomplete_elementary,2989
2013,Broj,DERVENTA,Oba spola,incomplete_elementary,2759
2013,Broj,DERVENTA,M,incomplete_elementary,1030
2013,Broj,DERVENTA,Ž,incomplete_elementary,1729
2013,Broj,DOBOJ,Oba spola,incomplete_elementary,6019
2013,Broj,DOBOJ,M,incomplete_elementary,1823
2013,Broj,DOBOJ,Ž,incomplete_elementary,4196
2013,Broj,DONJI ZABAR,Oba spola,incomplete_elementary,707
2013,Broj,DONJI ZABAR,M,incomplete_elementary,304
2013,Broj,DONJI ZABAR,Ž,incomplete_elementary,403
2013,Broj,ZVORNIK,Oba spola,incomplete_elementary,4702
2013,Broj,ZVORNIK,M,incomplete_elementary,1472
2013,Broj,ZVORNIK,Ž,incomplete_elementary,3230
2013,Broj,ISTOCNA ILIDZA,Oba spola,incomplete_elementary,550
2013,Broj,ISTOCNA ILIDZA,M,incomplete_elementary,65
2013,Broj,ISTOCNA ILIDZA,Ž,incomplete_elementary,485
2013,Broj,ISTOCNI DRVAR,Oba spola,incomplete_elementary,6
2013,Broj,ISTOCNI DRVAR,M,incomplete_elementary,4
2013,Broj,ISTOCNI DRVAR,Ž,incomplete_elementary,2
2013,Broj,ISTOCNI MOSTAR,Oba spola,incomplete_elementary,41
2013,Broj,ISTOCNI MOSTAR,M,incomplete_elementary,21
2013,Broj,ISTOCNI MOSTAR,Ž,incomplete_elementary,20
2013,Broj,ISTOCNI STARI GRAD,Oba spola,incomplete_elementary,133
2013,Broj,ISTOCNI STARI GRAD,M,incomplete_elementary,29
2013,Broj,ISTOCNI STARI GRAD,Ž,incomplete_elementary,104
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,incomplete_elementary,454
2013,Broj,ISTOCNO NOVO SARAJEVO,M,incomplete_elementary,89
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,incomplete_elementary,365
2013,Broj,JEZERO,Oba spola,incomplete_elementary,105
2013,Broj,JEZERO,M,incomplete_elementary,39
2013,Broj,JEZERO,Ž,incomplete_elementary,66
2013,Broj,KALINOVIK,Oba spola,incomplete_elementary,175
2013,Broj,KALINOVIK,M,incomplete_elementary,48
2013,Broj,KALINOVIK,Ž,incomplete_elementary,127
2013,Broj,KNEZEVO,Oba spola,incomplete_elementary,752
2013,Broj,KNEZEVO,M,incomplete_elementary,318
2013,Broj,KNEZEVO,Ž,incomplete_elementary,434
2013,Broj,KOZARSKA DUBICA,Oba spola,incomplete_elementary,1894
2013,Broj,KOZARSKA DUBICA,M,incomplete_elementary,683
2013,Broj,KOZARSKA DUBICA,Ž,incomplete_elementary,1211
2013,Broj,KOSTAJNICA,Oba spola,incomplete_elementary,387
2013,Broj,KOSTAJNICA,M,incomplete_elementary,132
2013,Broj,KOSTAJNICA,Ž,incomplete_elementary,255
2013,Broj,KOTOR VAROS,Oba spola,incomplete_elementary,1183
2013,Broj,KOTOR VAROS,M,incomplete_elementary,391
2013,Broj,KOTOR VAROS,Ž,incomplete_elementary,792
