Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,PETROVAC,Oba spola,three_members,22.0
2013,Broj,PETROVO,M,three_members,448.0
2013,Broj,PRIJEDOR,Ž,three_members,5351.0
2013,Broj,PRNJAVOR,Oba spola,three_members,2183.0
2013,Broj,RIBNIK,M,three_members,356.0
2013,Broj,ROGATICA,Ž,three_members,709.0
2013,Broj,RUDO,Oba spola,three_members,523.0
2013,Broj,SOKOLAC,M,three_members,808.0
2013,Broj,SRBAC,Ž,three_members,1106.0
2013,Broj,SREBRENICA,Oba spola,three_members,656.0
2013,Broj,TESLIC,M,three_members,2559.0
2013,Broj,TREBINJE,Ž,three_members,1871.0
2013,Broj,TRNOVO,Oba spola,three_members,143.0
2013,Broj,UGLJEVIK,M,three_members,821.0
2013,Broj,FOCA,Ž,three_members,1263.0
2013,Broj,HAN PIJESAK,Oba spola,three_members,249.0
2013,Broj,CAJNICE,M,three_members,303.0
2013,Broj,CELINAC,Ž,three_members,985.0
2013,Broj,SAMAC,Oba spola,three_members,971.0
2013,Broj,SEKOVICI,M,three_members,418.0
2013,Broj,SIPOVO,Ž,three_members,696.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,four_members,72771.0
2013,Broj,BANJA LUKA,M,four_members,12952.0
2013,Broj,BERKOVICI,Ž,four_members,84.0
2013,Broj,BIJELJINA,Oba spola,four_members,6377.0
2013,Broj,BILECA,M,four_members,616.0
2013,Broj,BRATUNAC,Ž,four_members,1161.0
2013,Broj,BROD,Oba spola,four_members,928.0
2013,Broj,VISEGRAD,M,four_members,582.0
2013,Broj,VLASENICA,Ž,four_members,687.0
2013,Broj,VUKOSAVLJE,Oba spola,four_members,249.0
2013,Broj,GACKO,M,four_members,480.0
2013,Broj,GRADISKA,Ž,four_members,2878.0
2013,Broj,DERVENTA,Oba spola,four_members,1520.0
2013,Broj,DOBOJ,M,four_members,4148.0
2013,Broj,DONJI ZABAR,Ž,four_members,184.0
2013,Broj,ZVORNIK,Oba spola,four_members,3448.0
2013,Broj,ISTOCNA ILIDZA,M,four_members,1028.0
2013,Broj,ISTOCNI DRVAR,Ž,four_members,0.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,four_members,10.0
2013,Broj,ISTOCNI STARI GRAD,M,four_members,43.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,four_members,702.0
2013,Broj,JEZERO,Oba spola,four_members,58.0
2013,Broj,KALINOVIK,M,four_members,109.0
2013,Broj,KNEZEVO,Ž,four_members,551.0
2013,Broj,KOZARSKA DUBICA,Oba spola,four_members,1175.0
2013,Broj,KOSTAJNICA,M,four_members,311.0
2013,Broj,KOTOR VAROS,Ž,four_members,1206.0
2013,Broj,KRUPA NA UNI,Oba spola,four_members,72.0
2013,Broj,KUPRES,M,four_members,6.0
2013,Broj,LAKTASI,Ž,four_members,2345.0
2013,Broj,LOPARE,Oba spola,four_members,805.0
2013,Broj,LJUBINJE,M,four_members,194.0
2013,Broj,MILICI,Ž,four_members,714.0
2013,Broj,MODRICA,Oba spola,four_members,1422.0
2013,Broj,MRKONJIC GRAD,M,four_members,939.0
2013,Broj,NEVESINJE,Ž,four_members,736.0
2013,Broj,NOVI GRAD,Oba spola,four_members,1422.0
2013,Broj,NOVO GORAZDE,M,four_members,204.0
2013,Broj,OSMACI,Ž,four_members,358.0
2013,Broj,OSTRA LUKA,Oba spola,four_members,131.0
2013,Broj,PALE,M,four_members,1418.0
2013,Broj,PELAGICEVO,Ž,four_members,191.0
2013,Broj,PETROVAC,Oba spola,four_members,19.0
2013,Broj,PETROVO,M,four_members,370.0
2013,Broj,PRIJEDOR,Ž,four_members,4862.0
2013,Broj,PRNJAVOR,Oba spola,four_members,1953.0
2013,Broj,RIBNIK,M,four_members,308.0
2013,Broj,ROGATICA,Ž,four_members,630.0
2013,Broj,RUDO,Oba spola,four_members,467.0
2013,Broj,SOKOLAC,M,four_members,728.0
2013,Broj,SRBAC,Ž,four_members,1011.0
2013,Broj,SREBRENICA,Oba spola,four_members,652.0
2013,Broj,TESLIC,M,four_members,2147.0
2013,Broj,TREBINJE,Ž,four_members,1765.0
2013,Broj,TRNOVO,Oba spola,four_members,110.0
2013,Broj,UGLJEVIK,M,four_members,932.0
2013,Broj,FOCA,Ž,four_members,1115.0
2013,Broj,HAN PIJESAK,Oba spola,four_members,194.0
2013,Broj,CAJNICE,M,four_members,278.0
2013,Broj,CELINAC,Ž,four_members,964.0
2013,Broj,SAMAC,Oba spola,four_members,823.0
2013,Broj,SEKOVICI,M,four_members,379.0
2013,Broj,SIPOVO,Ž,four_members,620.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,5+,58469.0
2013,Broj,BANJA LUKA,M,5+,6564.0
2013,Broj,BERKOVICI,Ž,5+,165.0
2013,Broj,BIJELJINA,Oba spola,5+,6090.0
2013,Broj,BILECA,M,5+,723.0
2013,Broj,BRATUNAC,Ž,5+,1147.0
2013,Broj,BROD,Oba spola,5+,765.0
2013,Broj,VISEGRAD,M,5+,356.0
2013,Broj,VLASENICA,Ž,5+,509.0
2013,Broj,VUKOSAVLJE,Oba spola,5+,235.0
2013,Broj,GACKO,M,5+,581.0
2013,Broj,GRADISKA,Ž,5+,2701.0
2013,Broj,DERVENTA,Oba spola,5+,1269.0
2013,Broj,DOBOJ,M,5+,2871.0
2013,Broj,DONJI ZABAR,Ž,5+,268.0
2013,Broj,ZVORNIK,Oba spola,5+,3231.0
2013,Broj,ISTOCNA ILIDZA,M,5+,613.0
2013,Broj,ISTOCNI DRVAR,Ž,5+,1.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,5+,17.0
2013,Broj,ISTOCNI STARI GRAD,M,5+,51.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,5+,389.0
2013,Broj,JEZERO,Oba spola,5+,57.0
2013,Broj,KALINOVIK,M,5+,80.0
2013,Broj,KNEZEVO,Ž,5+,515.0
2013,Broj,KOZARSKA DUBICA,Oba spola,5+,1047.0
2013,Broj,KOSTAJNICA,M,5+,340.0
2013,Broj,KOTOR VAROS,Ž,5+,1131.0
2013,Broj,KRUPA NA UNI,Oba spola,5+,100.0
2013,Broj,KUPRES,M,5+,14.0
2013,Broj,LAKTASI,Ž,5+,1846.0
2013,Broj,LOPARE,Oba spola,5+,851.0
2013,Broj,LJUBINJE,M,5+,199.0
2013,Broj,MILICI,Ž,5+,508.0
2013,Broj,MODRICA,Oba spola,5+,1249.0
2013,Broj,MRKONJIC GRAD,M,5+,603.0
2013,Broj,NEVESINJE,Ž,5+,843.0
2013,Broj,NOVI GRAD,Oba spola,5+,1346.0
2013,Broj,NOVO GORAZDE,M,5+,123.0
2013,Broj,OSMACI,Ž,5+,374.0
2013,Broj,OSTRA LUKA,Oba spola,5+,169.0
2013,Broj,PALE,M,5+,897.0
2013,Broj,PELAGICEVO,Ž,5+,215.0
2013,Broj,PETROVAC,Oba spola,5+,20.0
2013,Broj,PETROVO,M,5+,228.0
2013,Broj,PRIJEDOR,Ž,5+,4200.0
2013,Broj,PRNJAVOR,Oba spola,5+,1834.0
2013,Broj,RIBNIK,M,5+,273.0
2013,Broj,ROGATICA,Ž,5+,426.0
2013,Broj,RUDO,Oba spola,5+,310.0
2013,Broj,SOKOLAC,M,5+,491.0
2013,Broj,SRBAC,Ž,5+,804.0
2013,Broj,SREBRENICA,Oba spola,5+,752.0
2013,Broj,TESLIC,M,5+,1887.0
2013,Broj,TREBINJE,Ž,5+,1593.0
2013,Broj,TRNOVO,Oba spola,5+,74.0
2013,Broj,UGLJEVIK,M,5+,977.0
2013,Broj,FOCA,Ž,5+,654.0
2013,Broj,HAN PIJESAK,Oba spola,5+,119.0
2013,Broj,CAJNICE,M,5+,244.0
2013,Broj,CELINAC,Ž,5+,849.0
2013,Broj,SAMAC,Oba spola,5+,1001.0
2013,Broj,SEKOVICI,M,5+,229.0
