Year,UNIT_MEASURE,ADMIN_AREA,SEX,Nationality,Value
2013,NUMBER,NOVI GRAD,_T,bosniaks,5214
2013,NUMBER,NOVI GRAD,M,bosniaks,2606
2013,NUMBER,NOVI GRAD,F,bosniaks,2608
2013,NUMBER,NOVO GORAZDE,_T,bosniaks,1317
2013,NUMBER,NOVO GORAZDE,M,bosniaks,662
2013,NUMBER,NOVO GORAZDE,F,bosniaks,655
2013,NUMBER,OSMACI,_T,bosniaks,2673
2013,NUMBER,OSMACI,M,bosniaks,1321
2013,NUMBER,OSMACI,F,bosniaks,1352
2013,NUMBER,OSTRA LUKA,_T,bosniaks,23
2013,NUMBER,OSTRA LUKA,M,bosniaks,7
2013,NUMBER,OSTRA LUKA,F,bosniaks,16
2013,NUMBER,PALE,_T,bosniaks,165
2013,NUMBER,PALE,M,bosniaks,86
2013,NUMBER,PALE,F,bosniaks,79
2013,NUMBER,PELAGICEVO,_T,bosniaks,13
2013,NUMBER,PELAGICEVO,M,bosniaks,2
2013,NUMBER,PELAGICEVO,F,bosniaks,11
2013,NUMBER,PETROVO,_T,bosniaks,6
2013,NUMBER,PETROVO,M,bosniaks,2
2013,NUMBER,PETROVO,F,bosniaks,4
2013,NUMBER,PRIJEDOR,_T,bosniaks,22303
2013,NUMBER,PRIJEDOR,M,bosniaks,10669
2013,NUMBER,PRIJEDOR,F,bosniaks,11634
2013,NUMBER,PRNJAVOR,_T,bosniaks,2749
2013,NUMBER,PRNJAVOR,M,bosniaks,1329
2013,NUMBER,PRNJAVOR,F,bosniaks,1420
2013,NUMBER,ROGATICA,_T,bosniaks,1009
2013,NUMBER,ROGATICA,M,bosniaks,520
2013,NUMBER,ROGATICA,F,bosniaks,489
2013,NUMBER,RUDO,_T,bosniaks,574
2013,NUMBER,RUDO,M,bosniaks,300
2013,NUMBER,RUDO,F,bosniaks,274
2013,NUMBER,SOKOLAC,_T,bosniaks,629
2013,NUMBER,SOKOLAC,M,bosniaks,329
2013,NUMBER,SOKOLAC,F,bosniaks,300
2013,NUMBER,SRBAC,_T,bosniaks,394
2013,NUMBER,SRBAC,M,bosniaks,184
2013,NUMBER,SRBAC,F,bosniaks,210
2013,NUMBER,SREBRENICA,_T,bosniaks,6122
2013,NUMBER,SREBRENICA,M,bosniaks,2913
2013,NUMBER,SREBRENICA,F,bosniaks,3209
2013,NUMBER,TESLIC,_T,bosniaks,6887
2013,NUMBER,TESLIC,M,bosniaks,3387
2013,NUMBER,TESLIC,F,bosniaks,3500
2013,NUMBER,TREBINJE,_T,bosniaks,863
2013,NUMBER,TREBINJE,M,bosniaks,426
2013,NUMBER,TREBINJE,F,bosniaks,437
2013,NUMBER,TRNOVO,_T,bosniaks,818
2013,NUMBER,TRNOVO,M,bosniaks,405
2013,NUMBER,TRNOVO,F,bosniaks,413
2013,NUMBER,UGLJEVIK,_T,bosniaks,1999
2013,NUMBER,UGLJEVIK,M,bosniaks,974
2013,NUMBER,UGLJEVIK,F,bosniaks,1025
2013,NUMBER,FOCA,_T,bosniaks,1169
2013,NUMBER,FOCA,M,bosniaks,626
2013,NUMBER,FOCA,F,bosniaks,543
2013,NUMBER,HAN PIJESAK,_T,bosniaks,420
2013,NUMBER,HAN PIJESAK,M,bosniaks,204
2013,NUMBER,HAN PIJESAK,F,bosniaks,216
2013,NUMBER,CAJNICE,_T,bosniaks,835
2013,NUMBER,CAJNICE,M,bosniaks,439
2013,NUMBER,CAJNICE,F,bosniaks,396
2013,NUMBER,CELINAC,_T,bosniaks,395
2013,NUMBER,CELINAC,M,bosniaks,197
2013,NUMBER,CELINAC,F,bosniaks,198
2013,NUMBER,SAMAC,_T,bosniaks,1005
2013,NUMBER,SAMAC,M,bosniaks,486
2013,NUMBER,SAMAC,F,bosniaks,519
2013,NUMBER,SEKOVICI,_T,bosniaks,103
2013,NUMBER,SEKOVICI,M,bosniaks,51
2013,NUMBER,SEKOVICI,F,bosniaks,52
2013,NUMBER,SIPOVO,_T,bosniaks,578
2013,NUMBER,SIPOVO,M,bosniaks,294
2013,NUMBER,SIPOVO,F,bosniaks,284
2013,NUMBER,REPUBLIKA SRPSKA,_T,croats,26509
2013,NUMBER,REPUBLIKA SRPSKA,M,croats,11005
2013,NUMBER,REPUBLIKA SRPSKA,F,croats,15504
2013,NUMBER,BANJA LUKA,_T,croats,4887
2013,NUMBER,BANJA LUKA,M,croats,1761
2013,NUMBER,BANJA LUKA,F,croats,3126
2013,NUMBER,BERKOVICI,_T,croats,11
2013,NUMBER,BERKOVICI,M,croats,1
2013,NUMBER,BERKOVICI,F,croats,10
2013,NUMBER,BIJELJINA,_T,croats,498
2013,NUMBER,BIJELJINA,M,croats,140
2013,NUMBER,BIJELJINA,F,croats,358
2013,NUMBER,BILECA,_T,croats,21
2013,NUMBER,BILECA,M,croats,2
2013,NUMBER,BILECA,F,croats,19
2013,NUMBER,BRATUNAC,_T,croats,30
2013,NUMBER,BRATUNAC,M,croats,5
2013,NUMBER,BRATUNAC,F,croats,25
2013,NUMBER,BROD,_T,croats,3021
2013,NUMBER,BROD,M,croats,1413
2013,NUMBER,BROD,F,croats,1608
2013,NUMBER,VISEGRAD,_T,croats,32
2013,NUMBER,VISEGRAD,M,croats,5
2013,NUMBER,VISEGRAD,F,croats,27
2013,NUMBER,VLASENICA,_T,croats,29
2013,NUMBER,VLASENICA,M,croats,5
2013,NUMBER,VLASENICA,F,croats,24
2013,NUMBER,VUKOSAVLJE,_T,croats,698
2013,NUMBER,VUKOSAVLJE,M,croats,332
2013,NUMBER,VUKOSAVLJE,F,croats,366
2013,NUMBER,GACKO,_T,croats,13
2013,NUMBER,GACKO,M,croats,5
2013,NUMBER,GACKO,F,croats,8
2013,NUMBER,GRADISKA,_T,croats,800
2013,NUMBER,GRADISKA,M,croats,276
2013,NUMBER,GRADISKA,F,croats,524
2013,NUMBER,DERVENTA,_T,croats,2181
2013,NUMBER,DERVENTA,M,croats,1040
2013,NUMBER,DERVENTA,F,croats,1141
2013,NUMBER,DOBOJ,_T,croats,1550
2013,NUMBER,DOBOJ,M,croats,605
2013,NUMBER,DOBOJ,F,croats,945
2013,NUMBER,DONJI ZABAR,_T,croats,991
2013,NUMBER,DONJI ZABAR,M,croats,497
2013,NUMBER,DONJI ZABAR,F,croats,494
2013,NUMBER,ZVORNIK,_T,croats,103
2013,NUMBER,ZVORNIK,M,croats,17
2013,NUMBER,ZVORNIK,F,croats,86
2013,NUMBER,ISTOCNA ILIDZA,_T,croats,148
2013,NUMBER,ISTOCNA ILIDZA,M,croats,39
2013,NUMBER,ISTOCNA ILIDZA,F,croats,109
2013,NUMBER,ISTOCNI DRVAR,_T,croats,1
2013,NUMBER,ISTOCNI DRVAR,F,croats,1
2013,NUMBER,ISTOCNI MOSTAR,_T,croats,11
2013,NUMBER,ISTOCNI MOSTAR,M,croats,8
2013,NUMBER,ISTOCNI MOSTAR,F,croats,3
2013,NUMBER,ISTOCNI STARI GRAD,_T,croats,6
2013,NUMBER,ISTOCNI STARI GRAD,M,croats,2
2013,NUMBER,ISTOCNI STARI GRAD,F,croats,4
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,croats,102
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,croats,23
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,croats,79
2013,NUMBER,JEZERO,_T,croats,6
2013,NUMBER,JEZERO,M,croats,4
2013,NUMBER,JEZERO,F,croats,2
2013,NUMBER,KALINOVIK,_T,croats,8
2013,NUMBER,KALINOVIK,M,croats,2
2013,NUMBER,KALINOVIK,F,croats,6
2013,NUMBER,KNEZEVO,_T,croats,24
2013,NUMBER,KNEZEVO,M,croats,5
2013,NUMBER,KNEZEVO,F,croats,19
2013,NUMBER,KOZARSKA DUBICA,_T,croats,261
2013,NUMBER,KOZARSKA DUBICA,M,croats,79
2013,NUMBER,KOZARSKA DUBICA,F,croats,182
2013,NUMBER,KOSTAJNICA,_T,croats,82
2013,NUMBER,KOSTAJNICA,M,croats,29
2013,NUMBER,KOSTAJNICA,F,croats,53
2013,NUMBER,KOTOR VAROS,_T,croats,852
2013,NUMBER,KOTOR VAROS,M,croats,410
2013,NUMBER,KOTOR VAROS,F,croats,442
2013,NUMBER,KRUPA NA UNI,_T,croats,2
2013,NUMBER,KRUPA NA UNI,F,croats,2
2013,NUMBER,LAKTASI,_T,croats,500
2013,NUMBER,LAKTASI,M,croats,175
2013,NUMBER,LAKTASI,F,croats,325
2013,NUMBER,LOPARE,_T,croats,48
2013,NUMBER,LOPARE,M,croats,9
2013,NUMBER,LOPARE,F,croats,39
2013,NUMBER,LJUBINJE,_T,croats,10
2013,NUMBER,LJUBINJE,M,croats,3
2013,NUMBER,LJUBINJE,F,croats,7
2013,NUMBER,MILICI,_T,croats,22
2013,NUMBER,MILICI,M,croats,7
2013,NUMBER,MILICI,F,croats,15
2013,NUMBER,MODRICA,_T,croats,1396
2013,NUMBER,MODRICA,M,croats,662
2013,NUMBER,MODRICA,F,croats,734
2013,NUMBER,MRKONJIC GRAD,_T,croats,148
2013,NUMBER,MRKONJIC GRAD,M,croats,60
2013,NUMBER,MRKONJIC GRAD,F,croats,88
2013,NUMBER,NEVESINJE,_T,croats,27
2013,NUMBER,NEVESINJE,M,croats,9
2013,NUMBER,NEVESINJE,F,croats,18
2013,NUMBER,NOVI GRAD,_T,croats,174
2013,NUMBER,NOVI GRAD,M,croats,58
2013,NUMBER,NOVI GRAD,F,croats,116
2013,NUMBER,NOVO GORAZDE,_T,croats,2
2013,NUMBER,NOVO GORAZDE,M,croats,1
2013,NUMBER,NOVO GORAZDE,F,croats,1
2013,NUMBER,OSMACI,_T,croats,7
2013,NUMBER,OSMACI,M,croats,1
