Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,NUMBER,ljubinje,5+_members,199
2013,NUMBER,milici,5+_members,508
2013,NUMBER,modrica,5+_members,1249
2013,NUMBER,mrkonjic_grad,5+_members,603
2013,NUMBER,nevesinje,5+_members,843
2013,NUMBER,novi_grad,5+_members,1346
2013,NUMBER,novo_gorazde,5+_members,123
2013,NUMBER,osmaci,5+_members,374
2013,NUMBER,ostra_luka,5+_members,169
2013,NUMBER,pale,5+_members,897
2013,NUMBER,pelagicevo,5+_members,215
2013,NUMBER,petrovac,5+_members,20
2013,NUMBER,petrovo,5+_members,228
2013,NUMBER,grad_prijedor,5+_members,4200
2013,NUMBER,prnjavor,5+_members,1834
2013,NUMBER,ribnik,5+_members,273
2013,NUMBER,rogatica,5+_members,426
2013,NUMBER,rudo,5+_members,310
2013,NUMBER,sokolac,5+_members,491
2013,NUMBER,srbac,5+_members,804
2013,NUMBER,srebrenica,5+_members,752
2013,NUMBER,teslic,5+_members,1887
2013,NUMBER,grad_trebinje,5+_members,1593
2013,NUMBER,trnovo,5+_members,74
2013,NUMBER,ugljevik,5+_members,977
2013,NUMBER,foca,5+_members,654
2013,NUMBER,han_pijesak,5+_members,119
2013,NUMBER,cajnice,5+_members,244
2013,NUMBER,celinac,5+_members,849
2013,NUMBER,samac,5+_members,1001
2013,NUMBER,sekovici,5+_members,229
2013,NUMBER,sipovo,5+_members,451
