Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,ROGATICA,Ž,illiterate,313.0
2013,Broj,RUDO,Oba spola,illiterate,155.0
2013,Broj,RUDO,M,illiterate,27.0
2013,Broj,RUDO,Ž,illiterate,128.0
2013,Broj,SOKOLAC,Oba spola,illiterate,231.0
2013,Broj,SOKOLAC,M,illiterate,25.0
2013,Broj,SOKOLAC,Ž,illiterate,206.0
2013,Broj,SRBAC,Oba spola,illiterate,539.0
2013,Broj,SRBAC,M,illiterate,102.0
2013,Broj,SRBAC,Ž,illiterate,437.0
2013,Broj,SREBRENICA,Oba spola,illiterate,627.0
2013,Broj,SREBRENICA,M,illiterate,64.0
2013,Broj,SREBRENICA,Ž,illiterate,563.0
2013,Broj,TESLIC,Oba spola,illiterate,1980.0
2013,Broj,TESLIC,M,illiterate,227.0
2013,Broj,TESLIC,Ž,illiterate,1753.0
2013,Broj,TREBINJE,Oba spola,illiterate,237.0
2013,Broj,TREBINJE,M,illiterate,31.0
2013,Broj,TREBINJE,Ž,illiterate,206.0
2013,Broj,TRNOVO,Oba spola,illiterate,76.0
2013,Broj,TRNOVO,M,illiterate,10.0
2013,Broj,TRNOVO,Ž,illiterate,66.0
2013,Broj,UGLJEVIK,Oba spola,illiterate,451.0
2013,Broj,UGLJEVIK,M,illiterate,68.0
2013,Broj,UGLJEVIK,Ž,illiterate,383.0
2013,Broj,FOCA,Oba spola,illiterate,391.0
2013,Broj,FOCA,M,illiterate,51.0
2013,Broj,FOCA,Ž,illiterate,340.0
2013,Broj,HAN PIJESAK,Oba spola,illiterate,88.0
2013,Broj,HAN PIJESAK,M,illiterate,10.0
2013,Broj,HAN PIJESAK,Ž,illiterate,78.0
2013,Broj,CAJNICE,Oba spola,illiterate,140.0
2013,Broj,CAJNICE,M,illiterate,22.0
2013,Broj,CAJNICE,Ž,illiterate,118.0
2013,Broj,CELINAC,Oba spola,illiterate,472.0
2013,Broj,CELINAC,M,illiterate,56.0
2013,Broj,CELINAC,Ž,illiterate,416.0
2013,Broj,SAMAC,Oba spola,illiterate,300.0
2013,Broj,SAMAC,M,illiterate,55.0
2013,Broj,SAMAC,Ž,illiterate,245.0
2013,Broj,SEKOVICI,Oba spola,illiterate,427.0
2013,Broj,SEKOVICI,M,illiterate,83.0
2013,Broj,SEKOVICI,Ž,illiterate,344.0
2013,Broj,SIPOVO,Oba spola,illiterate,431.0
2013,Broj,SIPOVO,M,illiterate,49.0
2013,Broj,SIPOVO,Ž,illiterate,382.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,illiterates_percentage,3.29
2013,Broj,REPUBLIKA SRPSKA,M,illiterates_percentage,0.97
2013,Broj,REPUBLIKA SRPSKA,Ž,illiterates_percentage,5.48
2013,Broj,BANJA LUKA,Oba spola,illiterates_percentage,2.16
2013,Broj,BANJA LUKA,M,illiterates_percentage,0.66
2013,Broj,BANJA LUKA,Ž,illiterates_percentage,3.53
2013,Broj,BERKOVICI,Oba spola,illiterates_percentage,2.58
2013,Broj,BERKOVICI,M,illiterates_percentage,0.11
2013,Broj,BERKOVICI,Ž,illiterates_percentage,5.07
2013,Broj,BIJELJINA,Oba spola,illiterates_percentage,2.7
2013,Broj,BIJELJINA,M,illiterates_percentage,0.9
2013,Broj,BIJELJINA,Ž,illiterates_percentage,4.4
2013,Broj,BILECA,Oba spola,illiterates_percentage,1.49
2013,Broj,BILECA,M,illiterates_percentage,0.64
2013,Broj,BILECA,Ž,illiterates_percentage,2.35
2013,Broj,BRATUNAC,Oba spola,illiterates_percentage,5.16
2013,Broj,BRATUNAC,M,illiterates_percentage,1.0
2013,Broj,BRATUNAC,Ž,illiterates_percentage,9.17
2013,Broj,BROD,Oba spola,illiterates_percentage,2.31
2013,Broj,BROD,M,illiterates_percentage,0.77
2013,Broj,BROD,Ž,illiterates_percentage,3.76
2013,Broj,VISEGRAD,Oba spola,illiterates_percentage,3.82
2013,Broj,VISEGRAD,M,illiterates_percentage,0.78
2013,Broj,VISEGRAD,Ž,illiterates_percentage,6.59
2013,Broj,VLASENICA,Oba spola,illiterates_percentage,3.63
2013,Broj,VLASENICA,M,illiterates_percentage,1.05
2013,Broj,VLASENICA,Ž,illiterates_percentage,6.04
2013,Broj,VUKOSAVLJE,Oba spola,illiterates_percentage,4.96
2013,Broj,VUKOSAVLJE,M,illiterates_percentage,1.57
2013,Broj,VUKOSAVLJE,Ž,illiterates_percentage,8.35
2013,Broj,GACKO,Oba spola,illiterates_percentage,1.4
2013,Broj,GACKO,M,illiterates_percentage,0.25
2013,Broj,GACKO,Ž,illiterates_percentage,2.58
2013,Broj,GRADISKA,Oba spola,illiterates_percentage,3.39
2013,Broj,GRADISKA,M,illiterates_percentage,0.94
2013,Broj,GRADISKA,Ž,illiterates_percentage,5.71
