Year,UNIT_MEASURE,Град/општина,Пол,Писменост,Value
2013,% од укупно,Крупа на Уни,Укупно,Неписмен,9.96
2013,% од укупно,Крупа на Уни,M,Неписмен,2.67
2013,% од укупно,Крупа на Уни,Ж,Неписмен,18.51
2013,% од укупно,Купрес,Укупно,Неписмен,28.93
2013,% од укупно,Купрес,M,Неписмен,18.37
2013,% од укупно,Купрес,Ж,Неписмен,40.6
2013,% од укупно,Лакташи,Укупно,Неписмен,2.45
2013,% од укупно,Лакташи,M,Неписмен,0.77
2013,% од укупно,Лакташи,Ж,Неписмен,4.08
2013,% од укупно,Лопаре,Укупно,Неписмен,5.0
2013,% од укупно,Лопаре,M,Неписмен,1.8
2013,% од укупно,Лопаре,Ж,Неписмен,8.23
2013,% од укупно,Љубиње,Укупно,Неписмен,1.61
2013,% од укупно,Љубиње,M,Неписмен,0.33
2013,% од укупно,Љубиње,Ж,Неписмен,2.85
2013,% од укупно,Милићи,Укупно,Неписмен,4.21
2013,% од укупно,Милићи,M,Неписмен,1.07
2013,% од укупно,Милићи,Ж,Неписмен,7.36
2013,% од укупно,Модрича,Укупно,Неписмен,3.28
2013,% од укупно,Модрича,M,Неписмен,1.09
2013,% од укупно,Модрича,Ж,Неписмен,5.36
2013,% од укупно,Мркоњић Град,Укупно,Неписмен,5.65
2013,% од укупно,Мркоњић Град,M,Неписмен,1.37
2013,% од укупно,Мркоњић Град,Ж,Неписмен,9.56
2013,% од укупно,Невесиње,Укупно,Неписмен,2.69
2013,% од укупно,Невесиње,M,Неписмен,0.57
2013,% од укупно,Невесиње,Ж,Неписмен,4.76
2013,% од укупно,Нови Град,Укупно,Неписмен,2.86
2013,% од укупно,Нови Град,M,Неписмен,0.92
2013,% од укупно,Нови Град,Ж,Неписмен,4.78
2013,% од укупно,Ново Горажде,Укупно,Неписмен,2.8
2013,% од укупно,Ново Горажде,M,Неписмен,0.36
2013,% од укупно,Ново Горажде,Ж,Неписмен,5.42
2013,% од укупно,Осмаци,Укупно,Неписмен,5.26
2013,% од укупно,Осмаци,M,Неписмен,1.16
2013,% од укупно,Осмаци,Ж,Неписмен,9.31
2013,% од укупно,Оштра Лука,Укупно,Неписмен,7.94
2013,% од укупно,Оштра Лука,M,Неписмен,2.53
2013,% од укупно,Оштра Лука,Ж,Неписмен,13.62
2013,% од укупно,Пале,Укупно,Неписмен,1.58
2013,% од укупно,Пале,M,Неписмен,0.45
2013,% од укупно,Пале,Ж,Неписмен,2.59
2013,% од укупно,Пелагићево,Укупно,Неписмен,4.39
2013,% од укупно,Пелагићево,M,Неписмен,1.44
2013,% од укупно,Пелагићево,Ж,Неписмен,7.26
2013,% од укупно,Петровац,Укупно,Неписмен,1.86
2013,% од укупно,Петровац,M,Неписмен,0.0
2013,% од укупно,Петровац,Ж,Неписмен,3.49
2013,% од укупно,Петрово,Укупно,Неписмен,4.2
2013,% од укупно,Петрово,M,Неписмен,1.0
2013,% од укупно,Петрово,Ж,Неписмен,7.14
2013,% од укупно,Град Приједор,Укупно,Неписмен,2.92
2013,% од укупно,Град Приједор,M,Неписмен,1.17
2013,% од укупно,Град Приједор,Ж,Неписмен,4.56
2013,% од укупно,Прњавор,Укупно,Неписмен,4.51
2013,% од укупно,Прњавор,M,Неписмен,1.35
2013,% од укупно,Прњавор,Ж,Неписмен,7.46
2013,% од укупно,Рибник,Укупно,Неписмен,8.5
2013,% од укупно,Рибник,M,Неписмен,2.6
2013,% од укупно,Рибник,Ж,Неписмен,14.25
2013,% од укупно,Рогатица,Укупно,Неписмен,3.76
2013,% од укупно,Рогатица,M,Неписмен,0.83
2013,% од укупно,Рогатица,Ж,Неписмен,6.56
2013,% од укупно,Рудо,Укупно,Неписмен,2.22
2013,% од укупно,Рудо,M,Неписмен,0.77
2013,% од укупно,Рудо,Ж,Неписмен,3.7
2013,% од укупно,Соколац,Укупно,Неписмен,2.18
2013,% од укупно,Соколац,M,Неписмен,0.48
2013,% од укупно,Соколац,Ж,Неписмен,3.82
2013,% од укупно,Србац,Укупно,Неписмен,3.5
2013,% од укупно,Србац,M,Неписмен,1.35
2013,% од укупно,Србац,Ж,Неписмен,5.55
2013,% од укупно,Сребреница,Укупно,Неписмен,5.85
2013,% од укупно,Сребреница,M,Неписмен,1.22
2013,% од укупно,Сребреница,Ж,Неписмен,10.26
2013,% од укупно,Теслић,Укупно,Неписмен,5.93
2013,% од укупно,Теслић,M,Неписмен,1.43
2013,% од укупно,Теслић,Ж,Неписмен,10.0
2013,% од укупно,Град Требиње,Укупно,Неписмен,0.93
2013,% од укупно,Град Требиње,M,Неписмен,0.25
2013,% од укупно,Град Требиње,Ж,Неписмен,1.57
2013,% од укупно,Трново,Укупно,Неписмен,4.1
2013,% од укупно,Трново,M,Неписмен,1.13
2013,% од укупно,Трново,Ж,Неписмен,6.84
2013,% од укупно,Угљевик,Укупно,Неписмен,3.29
2013,% од укупно,Угљевик,M,Неписмен,0.99
2013,% од укупно,Угљевик,Ж,Неписмен,5.61
2013,% од укупно,Фоча,Укупно,Неписмен,2.41
2013,% од укупно,Фоча,M,Неписмен,0.63
2013,% од укупно,Фоча,Ж,Неписмен,4.21
2013,% од укупно,Хан Пијесак,Укупно,Неписмен,2.76
2013,% од укупно,Хан Пијесак,M,Неписмен,0.67
2013,% од укупно,Хан Пијесак,Ж,Неписмен,4.61
2013,% од укупно,Чајниче,Укупно,Неписмен,3.26
2013,% од укупно,Чајниче,M,Неписмен,1.02
2013,% од укупно,Чајниче,Ж,Неписмен,5.55
2013,% од укупно,Челинац,Укупно,Неписмен,3.46
2013,% од укупно,Челинац,M,Неписмен,0.83
2013,% од укупно,Челинац,Ж,Неписмен,6.01
2013,% од укупно,Шамац,Укупно,Неписмен,1.99
2013,% од укупно,Шамац,M,Неписмен,0.76
2013,% од укупно,Шамац,Ж,Неписмен,3.14
2013,% од укупно,Шековићи,Укупно,Неписмен,7.34
2013,% од укупно,Шековићи,M,Неписмен,2.89
2013,% од укупно,Шековићи,Ж,Неписмен,11.67
2013,% од укупно,Шипово,Укупно,Неписмен,4.74
2013,% од укупно,Шипово,M,Неписмен,1.07
2013,% од укупно,Шипово,Ж,Неписмен,8.46
2013,Број,Република Српска,Укупно,Непозната писменост,10476.0
2013,Број,Република Српска,M,Непозната писменост,3675.0
2013,Број,Република Српска,Ж,Непозната писменост,6801.0
2013,Број,Град Бања Лука,Укупно,Непозната писменост,1192.0
2013,Број,Град Бања Лука,M,Непозната писменост,413.0
2013,Број,Град Бања Лука,Ж,Непозната писменост,779.0
2013,Број,Берковићи,Укупно,Непозната писменост,27.0
2013,Број,Берковићи,M,Непозната писменост,10.0
2013,Број,Берковићи,Ж,Непозната писменост,17.0
2013,Број,Град Бијељина,Укупно,Непозната писменост,916.0
2013,Број,Град Бијељина,M,Непозната писменост,302.0
2013,Број,Град Бијељина,Ж,Непозната писменост,614.0
2013,Број,Билећа,Укупно,Непозната писменост,83.0
2013,Број,Билећа,M,Непозната писменост,27.0
2013,Број,Билећа,Ж,Непозната писменост,56.0
2013,Број,Братунац,Укупно,Непозната писменост,239.0
2013,Број,Братунац,M,Непозната писменост,80.0
2013,Број,Братунац,Ж,Непозната писменост,159.0
2013,Број,Брод,Укупно,Непозната писменост,178.0
2013,Број,Брод,M,Непозната писменост,59.0
2013,Број,Брод,Ж,Непозната писменост,119.0
2013,Број,Вишеград,Укупно,Непозната писменост,91.0
2013,Број,Вишеград,M,Непозната писменост,32.0
2013,Број,Вишеград,Ж,Непозната писменост,59.0
2013,Број,Власеница,Укупно,Непозната писменост,185.0
2013,Број,Власеница,M,Непозната писменост,65.0
2013,Број,Власеница,Ж,Непозната писменост,120.0
2013,Број,Вукосавље,Укупно,Непозната писменост,76.0
2013,Број,Вукосавље,M,Непозната писменост,29.0
2013,Број,Вукосавље,Ж,Непозната писменост,47.0
2013,Број,Гацко,Укупно,Непозната писменост,71.0
2013,Број,Гацко,M,Непозната писменост,24.0
2013,Број,Гацко,Ж,Непозната писменост,47.0
2013,Број,Град Градишка,Укупно,Непозната писменост,423.0
2013,Број,Град Градишка,M,Непозната писменост,163.0
2013,Број,Град Градишка,Ж,Непозната писменост,260.0
2013,Број,Град Дервента,Укупно,Непозната писменост,368.0
2013,Број,Град Дервента,M,Непозната писменост,135.0
2013,Број,Град Дервента,Ж,Непозната писменост,233.0
2013,Број,Град Добој,Укупно,Непозната писменост,481.0
2013,Број,Град Добој,M,Непозната писменост,166.0
2013,Број,Град Добој,Ж,Непозната писменост,315.0
2013,Број,Доњи Жабар,Укупно,Непозната писменост,81.0
2013,Број,Доњи Жабар,M,Непозната писменост,33.0
2013,Број,Доњи Жабар,Ж,Непозната писменост,48.0
2013,Број,Град Зворник,Укупно,Непозната писменост,666.0
2013,Број,Град Зворник,M,Непозната писменост,204.0
2013,Број,Град Зворник,Ж,Непозната писменост,462.0
2013,Број,Источна Илиџа,Укупно,Непозната писменост,67.0
2013,Број,Источна Илиџа,M,Непозната писменост,21.0
2013,Број,Источна Илиџа,Ж,Непозната писменост,46.0
2013,Број,Источни Дрвар,Укупно,Непозната писменост,0.0
2013,Број,Источни Дрвар,M,Непозната писменост,0.0
2013,Број,Источни Дрвар,Ж,Непозната писменост,0.0
2013,Број,Источни Мостар,Укупно,Непозната писменост,0.0
2013,Број,Источни Мостар,M,Непозната писменост,0.0
2013,Број,Источни Мостар,Ж,Непозната писменост,0.0
2013,Број,Источни Стари Град,Укупно,Непозната писменост,6.0
2013,Број,Источни Стари Град,M,Непозната писменост,2.0
2013,Број,Источни Стари Град,Ж,Непозната писменост,4.0
2013,Број,Источно Ново Сарајево,Укупно,Непозната писменост,36.0
2013,Број,Источно Ново Сарајево,M,Непозната писменост,12.0
2013,Број,Источно Ново Сарајево,Ж,Непозната писменост,24.0
2013,Број,Језеро,Укупно,Непозната писменост,6.0
2013,Број,Језеро,M,Непозната писменост,2.0
2013,Број,Језеро,Ж,Непозната писменост,4.0
2013,Број,Калиновик,Укупно,Непозната писменост,12.0
2013,Број,Калиновик,M,Непозната писменост,5.0
2013,Број,Калиновик,Ж,Непозната писменост,7.0
2013,Број,Кнежево,Укупно,Непозната писменост,78.0
2013,Број,Кнежево,M,Непозната писменост,32.0
2013,Број,Кнежево,Ж,Непозната писменост,46.0
2013,Број,Козарска Дубица,Укупно,Непозната писменост,124.0
2013,Број,Козарска Дубица,M,Непозната писменост,48.0
2013,Број,Козарска Дубица,Ж,Непозната писменост,76.0
2013,Број,Костајница,Укупно,Непозната писменост,34.0
2013,Број,Костајница,M,Непозната писменост,15.0
2013,Број,Костајница,Ж,Непозната писменост,19.0
2013,Број,Котор Варош,Укупно,Непозната писменост,216.0
2013,Број,Котор Варош,M,Непозната писменост,73.0
2013,Број,Котор Варош,Ж,Непозната писменост,143.0
2013,Број,Крупа на Уни,Укупно,Непозната писменост,4.0
2013,Број,Крупа на Уни,M,Непозната писменост,1.0
2013,Број,Крупа на Уни,Ж,Непозната писменост,3.0
2013,Број,Купрес,Укупно,Непозната писменост,1.0
2013,Број,Купрес,M,Непозната писменост,0.0
2013,Број,Купрес,Ж,Непозната писменост,1.0
2013,Број,Лакташи,Укупно,Непозната писменост,314.0
2013,Број,Лакташи,M,Непозната писменост,117.0
2013,Број,Лакташи,Ж,Непозната писменост,197.0
2013,Број,Лопаре,Укупно,Непозната писменост,156.0
2013,Број,Лопаре,M,Непозната писменост,62.0
2013,Број,Лопаре,Ж,Непозната писменост,94.0
2013,Број,Љубиње,Укупно,Непозната писменост,22.0
2013,Број,Љубиње,M,Непозната писменост,7.0
2013,Број,Љубиње,Ж,Непозната писменост,15.0
2013,Број,Милићи,Укупно,Непозната писменост,157.0
2013,Број,Милићи,M,Непозната писменост,42.0
2013,Број,Милићи,Ж,Непозната писменост,115.0
2013,Број,Модрича,Укупно,Непозната писменост,346.0
2013,Број,Модрича,M,Непозната писменост,128.0
2013,Број,Модрича,Ж,Непозната писменост,218.0
2013,Број,Мркоњић Град,Укупно,Непозната писменост,177.0
2013,Број,Мркоњић Град,M,Непозната писменост,65.0
2013,Број,Мркоњић Град,Ж,Непозната писменост,112.0
2013,Број,Невесиње,Укупно,Непозната писменост,95.0
2013,Број,Невесиње,M,Непозната писменост,40.0
2013,Број,Невесиње,Ж,Непозната писменост,55.0
2013,Број,Нови Град,Укупно,Непозната писменост,265.0
2013,Број,Нови Град,M,Непозната писменост,96.0
2013,Број,Нови Град,Ж,Непозната писменост,169.0
2013,Број,Ново Горажде,Укупно,Непозната писменост,16.0
2013,Број,Ново Горажде,M,Непозната писменост,3.0
2013,Број,Ново Горажде,Ж,Непозната писменост,13.0
2013,Број,Осмаци,Укупно,Непозната писменост,41.0
2013,Број,Осмаци,M,Непозната писменост,15.0
2013,Број,Осмаци,Ж,Непозната писменост,26.0
2013,Број,Оштра Лука,Укупно,Непозната писменост,19.0
2013,Број,Оштра Лука,M,Непозната писменост,10.0
2013,Број,Оштра Лука,Ж,Непозната писменост,9.0
2013,Број,Пале,Укупно,Непозната писменост,99.0
