Year,UNIT_MEASURE,ADMIN_AREA,Spol,Literacy,Value
2013,_%,laktasi,M,illiterate,0.77
2013,_%,laktasi,Ž,illiterate,4.08
2013,_%,lopare,Oba spola,illiterate,5.0
2013,_%,lopare,M,illiterate,1.8
2013,_%,lopare,Ž,illiterate,8.23
2013,_%,ljubinje,Oba spola,illiterate,1.61
2013,_%,ljubinje,M,illiterate,0.33
2013,_%,ljubinje,Ž,illiterate,2.85
2013,_%,milici,Oba spola,illiterate,4.21
2013,_%,milici,M,illiterate,1.07
2013,_%,milici,Ž,illiterate,7.36
2013,_%,modrica,Oba spola,illiterate,3.28
2013,_%,modrica,M,illiterate,1.09
2013,_%,modrica,Ž,illiterate,5.36
2013,_%,mrkonjic_grad,Oba spola,illiterate,5.65
2013,_%,mrkonjic_grad,M,illiterate,1.37
2013,_%,mrkonjic_grad,Ž,illiterate,9.56
2013,_%,nevesinje,Oba spola,illiterate,2.69
2013,_%,nevesinje,M,illiterate,0.57
2013,_%,nevesinje,Ž,illiterate,4.76
2013,_%,novi_grad,Oba spola,illiterate,2.86
2013,_%,novi_grad,M,illiterate,0.92
2013,_%,novi_grad,Ž,illiterate,4.78
2013,_%,novo_gorazde,Oba spola,illiterate,2.8
2013,_%,novo_gorazde,M,illiterate,0.36
2013,_%,novo_gorazde,Ž,illiterate,5.42
2013,_%,osmaci,Oba spola,illiterate,5.26
2013,_%,osmaci,M,illiterate,1.16
2013,_%,osmaci,Ž,illiterate,9.31
2013,_%,ostra_luka,Oba spola,illiterate,7.94
2013,_%,ostra_luka,M,illiterate,2.53
2013,_%,ostra_luka,Ž,illiterate,13.62
2013,_%,pale,Oba spola,illiterate,1.58
2013,_%,pale,M,illiterate,0.45
2013,_%,pale,Ž,illiterate,2.59
2013,_%,pelagicevo,Oba spola,illiterate,4.39
2013,_%,pelagicevo,M,illiterate,1.44
2013,_%,pelagicevo,Ž,illiterate,7.26
2013,_%,petrovac,Oba spola,illiterate,1.86
2013,_%,petrovac,M,illiterate,0.0
2013,_%,petrovac,Ž,illiterate,3.49
2013,_%,petrovo,Oba spola,illiterate,4.2
2013,_%,petrovo,M,illiterate,1.0
2013,_%,petrovo,Ž,illiterate,7.14
2013,_%,grad_prijedor,Oba spola,illiterate,2.92
2013,_%,grad_prijedor,M,illiterate,1.17
2013,_%,grad_prijedor,Ž,illiterate,4.56
2013,_%,prnjavor,Oba spola,illiterate,4.51
2013,_%,prnjavor,M,illiterate,1.35
2013,_%,prnjavor,Ž,illiterate,7.46
2013,_%,ribnik,Oba spola,illiterate,8.5
2013,_%,ribnik,M,illiterate,2.6
2013,_%,ribnik,Ž,illiterate,14.25
2013,_%,rogatica,Oba spola,illiterate,3.76
2013,_%,rogatica,M,illiterate,0.83
2013,_%,rogatica,Ž,illiterate,6.56
2013,_%,rudo,Oba spola,illiterate,2.22
2013,_%,rudo,M,illiterate,0.77
2013,_%,rudo,Ž,illiterate,3.7
2013,_%,sokolac,Oba spola,illiterate,2.18
2013,_%,sokolac,M,illiterate,0.48
2013,_%,sokolac,Ž,illiterate,3.82
2013,_%,srbac,Oba spola,illiterate,3.5
2013,_%,srbac,M,illiterate,1.35
2013,_%,srbac,Ž,illiterate,5.55
2013,_%,srebrenica,Oba spola,illiterate,5.85
2013,_%,srebrenica,M,illiterate,1.22
2013,_%,srebrenica,Ž,illiterate,10.26
2013,_%,teslic,Oba spola,illiterate,5.93
2013,_%,teslic,M,illiterate,1.43
2013,_%,teslic,Ž,illiterate,10.0
2013,_%,grad_trebinje,Oba spola,illiterate,0.93
2013,_%,grad_trebinje,M,illiterate,0.25
2013,_%,grad_trebinje,Ž,illiterate,1.57
2013,_%,trnovo,Oba spola,illiterate,4.1
2013,_%,trnovo,M,illiterate,1.13
2013,_%,trnovo,Ž,illiterate,6.84
2013,_%,ugljevik,Oba spola,illiterate,3.29
2013,_%,ugljevik,M,illiterate,0.99
2013,_%,ugljevik,Ž,illiterate,5.61
2013,_%,foca,Oba spola,illiterate,2.41
2013,_%,foca,M,illiterate,0.63
2013,_%,foca,Ž,illiterate,4.21
2013,_%,han_pijesak,Oba spola,illiterate,2.76
2013,_%,han_pijesak,M,illiterate,0.67
2013,_%,han_pijesak,Ž,illiterate,4.61
2013,_%,cajnice,Oba spola,illiterate,3.26
2013,_%,cajnice,M,illiterate,1.02
2013,_%,cajnice,Ž,illiterate,5.55
2013,_%,celinac,Oba spola,illiterate,3.46
2013,_%,celinac,M,illiterate,0.83
2013,_%,celinac,Ž,illiterate,6.01
2013,_%,samac,Oba spola,illiterate,1.99
2013,_%,samac,M,illiterate,0.76
2013,_%,samac,Ž,illiterate,3.14
2013,_%,sekovici,Oba spola,illiterate,7.34
2013,_%,sekovici,M,illiterate,2.89
2013,_%,sekovici,Ž,illiterate,11.67
2013,_%,sipovo,Oba spola,illiterate,4.74
2013,_%,sipovo,M,illiterate,1.07
2013,_%,sipovo,Ž,illiterate,8.46
2013,Broj,republika_srpska,Oba spola,unknown_literacy,10476.0
2013,Broj,republika_srpska,M,unknown_literacy,3675.0
2013,Broj,republika_srpska,Ž,unknown_literacy,6801.0
2013,Broj,grad_banja_luka,Oba spola,unknown_literacy,1192.0
2013,Broj,grad_banja_luka,M,unknown_literacy,413.0
2013,Broj,grad_banja_luka,Ž,unknown_literacy,779.0
2013,Broj,berkovici,Oba spola,unknown_literacy,27.0
2013,Broj,berkovici,M,unknown_literacy,10.0
2013,Broj,berkovici,Ž,unknown_literacy,17.0
2013,Broj,grad_bijeljina,Oba spola,unknown_literacy,916.0
2013,Broj,grad_bijeljina,M,unknown_literacy,302.0
2013,Broj,grad_bijeljina,Ž,unknown_literacy,614.0
2013,Broj,bileca,Oba spola,unknown_literacy,83.0
2013,Broj,bileca,M,unknown_literacy,27.0
2013,Broj,bileca,Ž,unknown_literacy,56.0
2013,Broj,bratunac,Oba spola,unknown_literacy,239.0
2013,Broj,bratunac,M,unknown_literacy,80.0
2013,Broj,bratunac,Ž,unknown_literacy,159.0
2013,Broj,brod,Oba spola,unknown_literacy,178.0
2013,Broj,brod,M,unknown_literacy,59.0
2013,Broj,brod,Ž,unknown_literacy,119.0
2013,Broj,visegrad,Oba spola,unknown_literacy,91.0
2013,Broj,visegrad,M,unknown_literacy,32.0
2013,Broj,visegrad,Ž,unknown_literacy,59.0
2013,Broj,vlasenica,Oba spola,unknown_literacy,185.0
2013,Broj,vlasenica,M,unknown_literacy,65.0
2013,Broj,vlasenica,Ž,unknown_literacy,120.0
2013,Broj,vukosavlje,Oba spola,unknown_literacy,76.0
2013,Broj,vukosavlje,M,unknown_literacy,29.0
2013,Broj,vukosavlje,Ž,unknown_literacy,47.0
2013,Broj,gacko,Oba spola,unknown_literacy,71.0
2013,Broj,gacko,M,unknown_literacy,24.0
2013,Broj,gacko,Ž,unknown_literacy,47.0
2013,Broj,grad_gradiska,Oba spola,unknown_literacy,423.0
