Year,UNIT_MEASURE,Grad/opština,Pol,Etnička/nacionalna pripadnost,Value
2013,Broj,Ljubinje,Ž,Bošnjaci,4
2013,Broj,Milići,Ukupno,Bošnjaci,3532
2013,Broj,Milići,M,Bošnjaci,1746
2013,Broj,Milići,Ž,Bošnjaci,1786
2013,Broj,Modriča,Ukupno,Bošnjaci,2880
2013,Broj,Modriča,M,Bošnjaci,1364
2013,Broj,Modriča,Ž,Bošnjaci,1516
2013,Broj,Mrkonjić Grad,Ukupno,Bošnjaci,354
2013,Broj,Mrkonjić Grad,M,Bošnjaci,170
2013,Broj,Mrkonjić Grad,Ž,Bošnjaci,184
2013,Broj,Nevesinje,Ukupno,Bošnjaci,508
2013,Broj,Nevesinje,M,Bošnjaci,261
2013,Broj,Nevesinje,Ž,Bošnjaci,247
2013,Broj,Novi Grad,Ukupno,Bošnjaci,5214
2013,Broj,Novi Grad,M,Bošnjaci,2606
2013,Broj,Novi Grad,Ž,Bošnjaci,2608
2013,Broj,Novo Goražde,Ukupno,Bošnjaci,1317
2013,Broj,Novo Goražde,M,Bošnjaci,662
2013,Broj,Novo Goražde,Ž,Bošnjaci,655
2013,Broj,Osmaci,Ukupno,Bošnjaci,2673
2013,Broj,Osmaci,M,Bošnjaci,1321
2013,Broj,Osmaci,Ž,Bošnjaci,1352
2013,Broj,Oštra Luka,Ukupno,Bošnjaci,23
2013,Broj,Oštra Luka,M,Bošnjaci,7
2013,Broj,Oštra Luka,Ž,Bošnjaci,16
2013,Broj,Pale,Ukupno,Bošnjaci,165
2013,Broj,Pale,M,Bošnjaci,86
2013,Broj,Pale,Ž,Bošnjaci,79
2013,Broj,Pelagićevo,Ukupno,Bošnjaci,13
2013,Broj,Pelagićevo,M,Bošnjaci,2
2013,Broj,Pelagićevo,Ž,Bošnjaci,11
2013,Broj,Petrovac,Ukupno,Bošnjaci,0
2013,Broj,Petrovac,M,Bošnjaci,0
2013,Broj,Petrovac,Ž,Bošnjaci,0
2013,Broj,Petrovo,Ukupno,Bošnjaci,6
2013,Broj,Petrovo,M,Bošnjaci,2
2013,Broj,Petrovo,Ž,Bošnjaci,4
2013,Broj,Grad Prijedor,Ukupno,Bošnjaci,22303
2013,Broj,Grad Prijedor,M,Bošnjaci,10669
2013,Broj,Grad Prijedor,Ž,Bošnjaci,11634
2013,Broj,Prnjavor,Ukupno,Bošnjaci,2749
2013,Broj,Prnjavor,M,Bošnjaci,1329
2013,Broj,Prnjavor,Ž,Bošnjaci,1420
2013,Broj,Ribnik,Ukupno,Bošnjaci,0
2013,Broj,Ribnik,M,Bošnjaci,0
2013,Broj,Ribnik,Ž,Bošnjaci,0
2013,Broj,Rogatica,Ukupno,Bošnjaci,1009
2013,Broj,Rogatica,M,Bošnjaci,520
2013,Broj,Rogatica,Ž,Bošnjaci,489
2013,Broj,Rudo,Ukupno,Bošnjaci,574
2013,Broj,Rudo,M,Bošnjaci,300
2013,Broj,Rudo,Ž,Bošnjaci,274
2013,Broj,Sokolac,Ukupno,Bošnjaci,629
2013,Broj,Sokolac,M,Bošnjaci,329
