Year,UNIT_MEASURE,Teritory,Spol,Vitalna statistika,Value
2013,Broj,ROGATICA,Ž,two_children,1710
2013,Broj,RUDO,Ž,two_children,1350
2013,Broj,SOKOLAC,Ž,two_children,2140
2013,Broj,SRBAC,Ž,two_children,3026
2013,Broj,SREBRENICA,Ž,two_children,1722
2013,Broj,TESLIC,Ž,two_children,5747
2013,Broj,TREBINJE,Ž,two_children,4888
2013,Broj,TRNOVO,Ž,two_children,376
2013,Broj,UGLJEVIK,Ž,two_children,2613
2013,Broj,FOCA,Ž,two_children,2985
2013,Broj,HAN PIJESAK,Ž,two_children,636
2013,Broj,CAJNICE,Ž,two_children,677
2013,Broj,CELINAC,Ž,two_children,2447
2013,Broj,SAMAC,Ž,two_children,3141
2013,Broj,SEKOVICI,Ž,two_children,982
2013,Broj,SIPOVO,Ž,two_children,1538
2013,Broj,REPUBLIKA SRPSKA,Ž,three_children,75481
2013,Broj,BANJA LUKA,Ž,three_children,8070
2013,Broj,BERKOVICI,Ž,three_children,217
2013,Broj,BIJELJINA,Ž,three_children,5831
2013,Broj,BILECA,Ž,three_children,977
2013,Broj,BRATUNAC,Ž,three_children,1431
2013,Broj,BROD,Ž,three_children,1080
2013,Broj,VISEGRAD,Ž,three_children,712
2013,Broj,VLASENICA,Ž,three_children,713
2013,Broj,VUKOSAVLJE,Ž,three_children,347
2013,Broj,GACKO,Ž,three_children,776
2013,Broj,GRADISKA,Ž,three_children,3006
2013,Broj,DERVENTA,Ž,three_children,1724
2013,Broj,DOBOJ,Ž,three_children,4326
2013,Broj,DONJI ZABAR,Ž,three_children,250
2013,Broj,ZVORNIK,Ž,three_children,4031
2013,Broj,ISTOCNA ILIDZA,Ž,three_children,680
2013,Broj,ISTOCNI DRVAR,Ž,three_children,3
2013,Broj,ISTOCNI MOSTAR,Ž,three_children,15
2013,Broj,ISTOCNI STARI GRAD,Ž,three_children,83
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,three_children,443
2013,Broj,JEZERO,Ž,three_children,77
2013,Broj,KALINOVIK,Ž,three_children,171
2013,Broj,KNEZEVO,Ž,three_children,808
2013,Broj,KOZARSKA DUBICA,Ž,three_children,1200
2013,Broj,KOSTAJNICA,Ž,three_children,277
2013,Broj,KOTOR VAROS,Ž,three_children,1502
2013,Broj,KRUPA NA UNI,Ž,three_children,142
2013,Broj,KUPRES,Ž,three_children,27
2013,Broj,LAKTASI,Ž,three_children,2018
2013,Broj,LOPARE,Ž,three_children,1040
2013,Broj,LJUBINJE,Ž,three_children,328
2013,Broj,MILICI,Ž,three_children,838
2013,Broj,MODRICA,Ž,three_children,1652
2013,Broj,MRKONJIC GRAD,Ž,three_children,1314
2013,Broj,NEVESINJE,Ž,three_children,1064
2013,Broj,NOVI GRAD,Ž,three_children,1483
2013,Broj,NOVO GORAZDE,Ž,three_children,192
2013,Broj,OSMACI,Ž,three_children,427
2013,Broj,OSTRA LUKA,Ž,three_children,266
2013,Broj,PALE,Ž,three_children,1048
2013,Broj,PELAGICEVO,Ž,three_children,364
2013,Broj,PETROVAC,Ž,three_children,19
2013,Broj,PETROVO,Ž,three_children,379
2013,Broj,PRIJEDOR,Ž,three_children,5168
2013,Broj,PRNJAVOR,Ž,three_children,2451
2013,Broj,RIBNIK,Ž,three_children,572
2013,Broj,ROGATICA,Ž,three_children,824
2013,Broj,RUDO,Ž,three_children,604
2013,Broj,SOKOLAC,Ž,three_children,768
2013,Broj,SRBAC,Ž,three_children,1137
2013,Broj,SREBRENICA,Ž,three_children,914
2013,Broj,TESLIC,Ž,three_children,2955
2013,Broj,TREBINJE,Ž,three_children,2131
2013,Broj,TRNOVO,Ž,three_children,136
2013,Broj,UGLJEVIK,Ž,three_children,1018
2013,Broj,FOCA,Ž,three_children,1283
2013,Broj,HAN PIJESAK,Ž,three_children,282
2013,Broj,CAJNICE,Ž,three_children,408
2013,Broj,CELINAC,Ž,three_children,1172
2013,Broj,SAMAC,Ž,three_children,962
2013,Broj,SEKOVICI,Ž,three_children,558
2013,Broj,SIPOVO,Ž,three_children,787
2013,Broj,REPUBLIKA SRPSKA,Ž,four_children,22659
2013,Broj,BANJA LUKA,Ž,four_children,2049
2013,Broj,BERKOVICI,Ž,four_children,76
2013,Broj,BIJELJINA,Ž,four_children,1410
2013,Broj,BILECA,Ž,four_children,351
2013,Broj,BRATUNAC,Ž,four_children,492
2013,Broj,BROD,Ž,four_children,303
2013,Broj,VISEGRAD,Ž,four_children,194
2013,Broj,VLASENICA,Ž,four_children,266
2013,Broj,VUKOSAVLJE,Ž,four_children,148
2013,Broj,GACKO,Ž,four_children,273
2013,Broj,GRADISKA,Ž,four_children,817
2013,Broj,DERVENTA,Ž,four_children,506
2013,Broj,DOBOJ,Ž,four_children,1337
2013,Broj,DONJI ZABAR,Ž,four_children,69
2013,Broj,ZVORNIK,Ž,four_children,1267
2013,Broj,ISTOCNA ILIDZA,Ž,four_children,111
2013,Broj,ISTOCNI DRVAR,Ž,four_children,0
2013,Broj,ISTOCNI MOSTAR,Ž,four_children,5
2013,Broj,ISTOCNI STARI GRAD,Ž,four_children,23
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,four_children,82
2013,Broj,JEZERO,Ž,four_children,34
2013,Broj,KALINOVIK,Ž,four_children,53
2013,Broj,KNEZEVO,Ž,four_children,317
2013,Broj,KOZARSKA DUBICA,Ž,four_children,294
2013,Broj,KOSTAJNICA,Ž,four_children,70
2013,Broj,KOTOR VAROS,Ž,four_children,635
2013,Broj,KRUPA NA UNI,Ž,four_children,61
2013,Broj,KUPRES,Ž,four_children,13
2013,Broj,LAKTASI,Ž,four_children,549
2013,Broj,LOPARE,Ž,four_children,301
2013,Broj,LJUBINJE,Ž,four_children,74
2013,Broj,MILICI,Ž,four_children,277
2013,Broj,MODRICA,Ž,four_children,548
2013,Broj,MRKONJIC GRAD,Ž,four_children,393
2013,Broj,NEVESINJE,Ž,four_children,395
2013,Broj,NOVI GRAD,Ž,four_children,583
2013,Broj,NOVO GORAZDE,Ž,four_children,55
2013,Broj,OSMACI,Ž,four_children,171
2013,Broj,OSTRA LUKA,Ž,four_children,105
2013,Broj,PALE,Ž,four_children,235
2013,Broj,PELAGICEVO,Ž,four_children,133
