Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Број,teslic,5+_members,1887
2013,Број,grad_trebinje,5+_members,1593
2013,Број,trnovo,5+_members,74
2013,Број,ugljevik,5+_members,977
2013,Број,foca,5+_members,654
2013,Број,han_pijesak,5+_members,119
2013,Број,cajnice,5+_members,244
2013,Број,celinac,5+_members,849
2013,Број,samac,5+_members,1001
2013,Број,sekovici,5+_members,229
2013,Број,sipovo,5+_members,451
