Year,UNIT_MEASURE,ADMIN_AREA,Пол,Literacy,Value
2013,Број,kozarska_dubica,M,unknown_literacy,48.0
2013,Број,kozarska_dubica,Ж,unknown_literacy,76.0
2013,Број,kostajnica,Укупно,unknown_literacy,34.0
2013,Број,kostajnica,M,unknown_literacy,15.0
2013,Број,kostajnica,Ж,unknown_literacy,19.0
2013,Број,kotor_varos,Укупно,unknown_literacy,216.0
2013,Број,kotor_varos,M,unknown_literacy,73.0
2013,Број,kotor_varos,Ж,unknown_literacy,143.0
2013,Број,krupa_na_uni,Укупно,unknown_literacy,4.0
2013,Број,krupa_na_uni,M,unknown_literacy,1.0
2013,Број,krupa_na_uni,Ж,unknown_literacy,3.0
2013,Број,kupres,Укупно,unknown_literacy,1.0
2013,Број,kupres,M,unknown_literacy,0.0
2013,Број,kupres,Ж,unknown_literacy,1.0
2013,Број,laktasi,Укупно,unknown_literacy,314.0
2013,Број,laktasi,M,unknown_literacy,117.0
2013,Број,laktasi,Ж,unknown_literacy,197.0
2013,Број,lopare,Укупно,unknown_literacy,156.0
2013,Број,lopare,M,unknown_literacy,62.0
2013,Број,lopare,Ж,unknown_literacy,94.0
2013,Број,ljubinje,Укупно,unknown_literacy,22.0
2013,Број,ljubinje,M,unknown_literacy,7.0
2013,Број,ljubinje,Ж,unknown_literacy,15.0
2013,Број,milici,Укупно,unknown_literacy,157.0
2013,Број,milici,M,unknown_literacy,42.0
2013,Број,milici,Ж,unknown_literacy,115.0
2013,Број,modrica,Укупно,unknown_literacy,346.0
2013,Број,modrica,M,unknown_literacy,128.0
2013,Број,modrica,Ж,unknown_literacy,218.0
2013,Број,mrkonjic_grad,Укупно,unknown_literacy,177.0
2013,Број,mrkonjic_grad,M,unknown_literacy,65.0
2013,Број,mrkonjic_grad,Ж,unknown_literacy,112.0
2013,Број,nevesinje,Укупно,unknown_literacy,95.0
2013,Број,nevesinje,M,unknown_literacy,40.0
2013,Број,nevesinje,Ж,unknown_literacy,55.0
2013,Број,novi_grad,Укупно,unknown_literacy,265.0
2013,Број,novi_grad,M,unknown_literacy,96.0
2013,Број,novi_grad,Ж,unknown_literacy,169.0
2013,Број,novo_gorazde,Укупно,unknown_literacy,16.0
2013,Број,novo_gorazde,M,unknown_literacy,3.0
2013,Број,novo_gorazde,Ж,unknown_literacy,13.0
2013,Број,osmaci,Укупно,unknown_literacy,41.0
2013,Број,osmaci,M,unknown_literacy,15.0
2013,Број,osmaci,Ж,unknown_literacy,26.0
2013,Број,ostra_luka,Укупно,unknown_literacy,19.0
2013,Број,ostra_luka,M,unknown_literacy,10.0
2013,Број,ostra_luka,Ж,unknown_literacy,9.0
2013,Број,pale,Укупно,unknown_literacy,99.0
2013,Број,pale,M,unknown_literacy,31.0
2013,Број,pale,Ж,unknown_literacy,68.0
2013,Број,pelagicevo,Укупно,unknown_literacy,132.0
2013,Број,pelagicevo,M,unknown_literacy,59.0
2013,Број,pelagicevo,Ж,unknown_literacy,73.0
2013,Број,petrovac,Укупно,unknown_literacy,1.0
2013,Број,petrovac,M,unknown_literacy,1.0
2013,Број,petrovac,Ж,unknown_literacy,0.0
2013,Број,petrovo,Укупно,unknown_literacy,35.0
2013,Број,petrovo,M,unknown_literacy,13.0
2013,Број,petrovo,Ж,unknown_literacy,22.0
2013,Број,grad_prijedor,Укупно,unknown_literacy,816.0
2013,Број,grad_prijedor,M,unknown_literacy,283.0
2013,Број,grad_prijedor,Ж,unknown_literacy,533.0
2013,Број,prnjavor,Укупно,unknown_literacy,223.0
2013,Број,prnjavor,M,unknown_literacy,90.0
2013,Број,prnjavor,Ж,unknown_literacy,133.0
2013,Број,ribnik,Укупно,unknown_literacy,41.0
2013,Број,ribnik,M,unknown_literacy,13.0
2013,Број,ribnik,Ж,unknown_literacy,28.0
2013,Број,rogatica,Укупно,unknown_literacy,110.0
2013,Број,rogatica,M,unknown_literacy,24.0
2013,Број,rogatica,Ж,unknown_literacy,86.0
2013,Број,rudo,Укупно,unknown_literacy,40.0
2013,Број,rudo,M,unknown_literacy,16.0
2013,Број,rudo,Ж,unknown_literacy,24.0
2013,Број,sokolac,Укупно,unknown_literacy,69.0
2013,Број,sokolac,M,unknown_literacy,29.0
