Year,UNIT_MEASURE,Пол,AGE,Value
2025,Број,M,80-84,10422
2025,Број,M,85-89,7180
2025,Број,M,90-94,2129
2025,Број,M,95-99,366
2025,Број,M,100-104,22
2025,Број,M,105-109,1
2025,Број,M,110-114,0
2025,Број,M,115-119,0
2025,Број,M,120+,0
2030,Број,M,_T,525886
2030,Број,M,0,4233
2030,Број,M,1-4,17432
2030,Број,M,5-9,23011
2030,Број,M,10-14,24392
2030,Број,M,15-19,25308
2030,Број,M,20-24,27914
2030,Број,M,25-29,28321
2030,Број,M,30-34,33209
2030,Број,M,35-39,34161
2030,Број,M,40-44,36508
2030,Број,M,45-49,39891
2030,Број,M,50-54,39442
2030,Број,M,55-59,37239
2030,Број,M,60-64,34464
2030,Број,M,65-69,35384
2030,Број,M,70-74,32609
2030,Број,M,75-79,26915
2030,Број,M,80-84,15743
2030,Број,M,85-89,5961
2030,Број,M,90-94,3067
2030,Број,M,95-99,616
2030,Број,M,100-104,64
2030,Број,M,105-109,2
2030,Број,M,110-114,0
2030,Број,M,115-119,0
2030,Број,M,120+,0
2035,Број,M,_T,509696
2035,Број,M,0,3985
2035,Број,M,1-4,16443
2035,Број,M,5-9,21700
2035,Број,M,10-14,23019
2035,Број,M,15-19,24366
2035,Број,M,20-24,25247
2035,Број,M,25-29,27957
2035,Број,M,30-34,28418
2035,Број,M,35-39,33202
2035,Број,M,40-44,34028
2035,Број,M,45-49,36123
2035,Број,M,50-54,39087
2035,Број,M,55-59,38163
2035,Број,M,60-64,35362
2035,Број,M,65-69,31866
2035,Број,M,70-74,31320
2035,Број,M,75-79,26676
2035,Број,M,80-84,19459
2035,Број,M,85-89,9478
2035,Број,M,90-94,2705
2035,Број,M,95-99,966
2035,Број,M,100-104,120
2035,Број,M,105-109,7
2035,Број,M,110-114,0
2035,Број,M,115-119,0
2035,Број,M,120+,0
2040,Број,M,_T,492220
2040,Број,M,0,3772
2040,Број,M,1-4,15506
2040,Број,M,5-9,20469
2040,Број,M,10-14,21714
2040,Број,M,15-19,23001
2040,Број,M,20-24,24322
2040,Број,M,25-29,25331
2040,Број,M,30-34,28056
2040,Број,M,35-39,28489
2040,Број,M,40-44,33090
2040,Број,M,45-49,33726
2040,Број,M,50-54,35477
2040,Број,M,55-59,37914
2040,Број,M,60-64,36362
2040,Број,M,65-69,32899
2040,Број,M,70-74,28496
2040,Број,M,75-79,26010
2040,Број,M,80-84,19738
2040,Број,M,85-89,12124
2040,Број,M,90-94,4596
2040,Број,M,95-99,909
2040,Број,M,100-104,204
2040,Број,M,105-109,14
2040,Број,M,110-114,0
2040,Број,M,115-119,0
2040,Број,M,120+,0
2045,Број,M,_T,474085
2045,Број,M,0,3574
2045,Број,M,1-4,14702
2045,Број,M,5-9,19325
2045,Број,M,10-14,20489
2045,Број,M,15-19,21704
2045,Број,M,20-24,22980
2045,Број,M,25-29,24417
2045,Број,M,30-34,25466
2045,Број,M,35-39,28129
2045,Број,M,40-44,28465
2045,Број,M,45-49,32819
2045,Број,M,50-54,33195
2045,Број,M,55-59,34517
2045,Број,M,60-64,36253
2045,Број,M,65-69,33984
2045,Број,M,70-74,29674
2045,Број,M,75-79,23985
2045,Број,M,80-84,19658
2045,Број,M,85-89,12691
2045,Број,M,90-94,6152
2045,Број,M,95-99,1676
2045,Број,M,100-104,205
2045,Број,M,105-109,25
2045,Број,M,110-114,1
2045,Број,M,115-119,0
2045,Број,M,120+,0
2050,Број,M,_T,455913
2050,Број,M,0,3405
2050,Број,M,1-4,13957
2050,Број,M,5-9,18324
2050,Број,M,10-14,19348
2050,Број,M,15-19,20486
2050,Број,M,20-24,21702
2050,Број,M,25-29,23088
2050,Број,M,30-34,24557
2050,Број,M,35-39,25570
2050,Број,M,40-44,28111
2050,Број,M,45-49,28303
2050,Број,M,50-54,32331
2050,Број,M,55-59,32387
2050,Број,M,60-64,33135
2050,Број,M,65-69,34039
2050,Број,M,70-74,30853
2050,Број,M,75-79,25311
2050,Број,M,80-84,18475
2050,Број,M,85-89,13012
2050,Број,M,90-94,6712
2050,Број,M,95-99,2369
2050,Број,M,100-104,412
2050,Број,M,105-109,27
2050,Број,M,110-114,1
2050,Број,M,115-119,0
2050,Број,M,120+,0
2055,Број,M,_T,438059
2055,Број,M,0,3258
2055,Број,M,1-4,13336
2055,Број,M,5-9,17412
2055,Број,M,10-14,18349
2055,Број,M,15-19,19349
2055,Број,M,20-24,20495
2055,Број,M,25-29,21817
2055,Број,M,30-34,23233
2055,Број,M,35-39,24664
2055,Број,M,40-44,25586
2055,Број,M,45-49,27959
2055,Број,M,50-54,27957
2055,Број,M,55-59,31581
2055,Број,M,60-64,31201
2055,Број,M,65-69,31266
2055,Број,M,70-74,31099
2055,Број,M,75-79,26572
2055,Број,M,80-84,19861
2055,Број,M,85-89,12541
2055,Број,M,90-94,7138
2055,Број,M,95-99,2711
2055,Број,M,100-104,615
2055,Број,M,105-109,58
2055,Број,M,110-114,2
2055,Број,M,115-119,0
2055,Број,M,120+,0
2060,Број,M,_T,420437
2060,Број,M,0,3113
2060,Број,M,1-4,12759
2060,Број,M,5-9,16643
2060,Број,M,10-14,17436
2060,Број,M,15-19,18352
2060,Број,M,20-24,19367
2060,Број,M,25-29,20614
2060,Број,M,30-34,21965
2060,Број,M,35-39,23345
2060,Број,M,40-44,24686
2060,Број,M,45-49,25478
2060,Број,M,50-54,27634
2060,Број,M,55-59,27394
2060,Број,M,60-64,30474
2060,Број,M,65-69,29571
2060,Број,M,70-74,28731
2060,Број,M,75-79,27024
2060,Број,M,80-84,21120
2060,Број,M,85-89,13811
2060,Број,M,90-94,7089
2060,Број,M,95-99,3001
2060,Број,M,100-104,736
2060,Број,M,105-109,90
2060,Број,M,110-114,4
2060,Број,M,115-119,0
2060,Број,M,120+,0
2065,Број,M,_T,403010
