Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,Istočno Novo Sarajevo,Ž,three_members,813.0
2013,Broj,Jezero,Oba spola,three_members,75.0
2013,Broj,Kalinovik,M,three_members,136.0
2013,Broj,Kneževo,Ž,three_members,554.0
2013,Broj,Kozarska Dubica,Oba spola,three_members,1351.0
2013,Broj,Kostajnica,M,three_members,384.0
2013,Broj,Kotor Varoš,Ž,three_members,1079.0
2013,Broj,Krupa Na Uni,Oba spola,three_members,84.0
2013,Broj,Kupres,M,three_members,16.0
2013,Broj,Laktaši,Ž,three_members,2241.0
2013,Broj,Lopare,Oba spola,three_members,908.0
2013,Broj,Ljubinje,M,three_members,234.0
2013,Broj,Milići,Ž,three_members,709.0
2013,Broj,Modriča,Oba spola,three_members,1567.0
2013,Broj,Mrkonjić Grad,M,three_members,1218.0
2013,Broj,Nevesinje,Ž,three_members,701.0
2013,Broj,Novi Grad,Oba spola,three_members,1669.0
2013,Broj,Novo Goražde,M,three_members,193.0
2013,Broj,Osmaci,Ž,three_members,317.0
2013,Broj,Oštra Luka,Oba spola,three_members,151.0
2013,Broj,Pale,M,three_members,1438.0
2013,Broj,Pelagićevo,Ž,three_members,225.0
2013,Broj,Petrovac,Oba spola,three_members,22.0
2013,Broj,Petrovo,M,three_members,448.0
2013,Broj,Grad Prijedor,Ž,three_members,5351.0
2013,Broj,Prnjavor,Oba spola,three_members,2183.0
2013,Broj,Ribnik,M,three_members,356.0
2013,Broj,Rogatica,Ž,three_members,709.0
2013,Broj,Rudo,Oba spola,three_members,523.0
2013,Broj,Sokolac,M,three_members,808.0
2013,Broj,Srbac,Ž,three_members,1106.0
2013,Broj,Srebrenica,Oba spola,three_members,656.0
2013,Broj,Teslić,M,three_members,2559.0
2013,Broj,Grad Trebinje,Ž,three_members,1871.0
2013,Broj,Trnovo,Oba spola,three_members,143.0
2013,Broj,Ugljevik,M,three_members,821.0
2013,Broj,Foča,Ž,three_members,1263.0
2013,Broj,Han Pijesak,Oba spola,three_members,249.0
2013,Broj,Čajniče,M,three_members,303.0
2013,Broj,Čelinac,Ž,three_members,985.0
2013,Broj,Šamac,Oba spola,three_members,971.0
2013,Broj,Šekovići,M,three_members,418.0
2013,Broj,Šipovo,Ž,three_members,696.0
2013,Broj,Republika Srpska,Oba spola,four_members,72771.0
2013,Broj,Grad Banja Luka,M,four_members,12952.0
2013,Broj,Berkovići,Ž,four_members,84.0
2013,Broj,Grad Bijeljina,Oba spola,four_members,6377.0
2013,Broj,Bileća,M,four_members,616.0
2013,Broj,Bratunac,Ž,four_members,1161.0
2013,Broj,Brod,Oba spola,four_members,928.0
2013,Broj,Višegrad,M,four_members,582.0
2013,Broj,Vlasenica,Ž,four_members,687.0
2013,Broj,Vukosavlje,Oba spola,four_members,249.0
2013,Broj,Gacko,M,four_members,480.0
2013,Broj,Grad Gradiška,Ž,four_members,2878.0
2013,Broj,Grad Derventa,Oba spola,four_members,1520.0
2013,Broj,Grad Doboj,M,four_members,4148.0
2013,Broj,Donji Žabar,Ž,four_members,184.0
2013,Broj,Grad Zvornik,Oba spola,four_members,3448.0
2013,Broj,Istočna Ilidža,M,four_members,1028.0
2013,Broj,Istočni Drvar,Ž,four_members,0.0
2013,Broj,Istočni Mostar,Oba spola,four_members,10.0
2013,Broj,Istočni Stari Grad,M,four_members,43.0
2013,Broj,Istočno Novo Sarajevo,Ž,four_members,702.0
2013,Broj,Jezero,Oba spola,four_members,58.0
2013,Broj,Kalinovik,M,four_members,109.0
2013,Broj,Kneževo,Ž,four_members,551.0
2013,Broj,Kozarska Dubica,Oba spola,four_members,1175.0
2013,Broj,Kostajnica,M,four_members,311.0
2013,Broj,Kotor Varoš,Ž,four_members,1206.0
2013,Broj,Krupa Na Uni,Oba spola,four_members,72.0
2013,Broj,Kupres,M,four_members,6.0
2013,Broj,Laktaši,Ž,four_members,2345.0
2013,Broj,Lopare,Oba spola,four_members,805.0
2013,Broj,Ljubinje,M,four_members,194.0
2013,Broj,Milići,Ž,four_members,714.0
2013,Broj,Modriča,Oba spola,four_members,1422.0
2013,Broj,Mrkonjić Grad,M,four_members,939.0
2013,Broj,Nevesinje,Ž,four_members,736.0
2013,Broj,Novi Grad,Oba spola,four_members,1422.0
2013,Broj,Novo Goražde,M,four_members,204.0
2013,Broj,Osmaci,Ž,four_members,358.0
2013,Broj,Oštra Luka,Oba spola,four_members,131.0
2013,Broj,Pale,M,four_members,1418.0
2013,Broj,Pelagićevo,Ž,four_members,191.0
2013,Broj,Petrovac,Oba spola,four_members,19.0
2013,Broj,Petrovo,M,four_members,370.0
2013,Broj,Grad Prijedor,Ž,four_members,4862.0
2013,Broj,Prnjavor,Oba spola,four_members,1953.0
2013,Broj,Ribnik,M,four_members,308.0
2013,Broj,Rogatica,Ž,four_members,630.0
2013,Broj,Rudo,Oba spola,four_members,467.0
2013,Broj,Sokolac,M,four_members,728.0
2013,Broj,Srbac,Ž,four_members,1011.0
2013,Broj,Srebrenica,Oba spola,four_members,652.0
2013,Broj,Teslić,M,four_members,2147.0
2013,Broj,Grad Trebinje,Ž,four_members,1765.0
2013,Broj,Trnovo,Oba spola,four_members,110.0
2013,Broj,Ugljevik,M,four_members,932.0
2013,Broj,Foča,Ž,four_members,1115.0
2013,Broj,Han Pijesak,Oba spola,four_members,194.0
2013,Broj,Čajniče,M,four_members,278.0
2013,Broj,Čelinac,Ž,four_members,964.0
2013,Broj,Šamac,Oba spola,four_members,823.0
2013,Broj,Šekovići,M,four_members,379.0
2013,Broj,Šipovo,Ž,four_members,620.0
2013,Broj,Republika Srpska,Oba spola,5+,58469.0
2013,Broj,Grad Banja Luka,M,5+,6564.0
2013,Broj,Berkovići,Ž,5+,165.0
2013,Broj,Grad Bijeljina,Oba spola,5+,6090.0
2013,Broj,Bileća,M,5+,723.0
2013,Broj,Bratunac,Ž,5+,1147.0
2013,Broj,Brod,Oba spola,5+,765.0
2013,Broj,Višegrad,M,5+,356.0
2013,Broj,Vlasenica,Ž,5+,509.0
2013,Broj,Vukosavlje,Oba spola,5+,235.0
2013,Broj,Gacko,M,5+,581.0
2013,Broj,Grad Gradiška,Ž,5+,2701.0
2013,Broj,Grad Derventa,Oba spola,5+,1269.0
2013,Broj,Grad Doboj,M,5+,2871.0
2013,Broj,Donji Žabar,Ž,5+,268.0
2013,Broj,Grad Zvornik,Oba spola,5+,3231.0
2013,Broj,Istočna Ilidža,M,5+,613.0
2013,Broj,Istočni Drvar,Ž,5+,1.0
2013,Broj,Istočni Mostar,Oba spola,5+,17.0
2013,Broj,Istočni Stari Grad,M,5+,51.0
2013,Broj,Istočno Novo Sarajevo,Ž,5+,389.0
2013,Broj,Jezero,Oba spola,5+,57.0
2013,Broj,Kalinovik,M,5+,80.0
2013,Broj,Kneževo,Ž,5+,515.0
2013,Broj,Kozarska Dubica,Oba spola,5+,1047.0
2013,Broj,Kostajnica,M,5+,340.0
2013,Broj,Kotor Varoš,Ž,5+,1131.0
2013,Broj,Krupa Na Uni,Oba spola,5+,100.0
2013,Broj,Kupres,M,5+,14.0
2013,Broj,Laktaši,Ž,5+,1846.0
2013,Broj,Lopare,Oba spola,5+,851.0
2013,Broj,Ljubinje,M,5+,199.0
2013,Broj,Milići,Ž,5+,508.0
2013,Broj,Modriča,Oba spola,5+,1249.0
2013,Broj,Mrkonjić Grad,M,5+,603.0
2013,Broj,Nevesinje,Ž,5+,843.0
2013,Broj,Novi Grad,Oba spola,5+,1346.0
2013,Broj,Novo Goražde,M,5+,123.0
2013,Broj,Osmaci,Ž,5+,374.0
2013,Broj,Oštra Luka,Oba spola,5+,169.0
2013,Broj,Pale,M,5+,897.0
2013,Broj,Pelagićevo,Ž,5+,215.0
2013,Broj,Petrovac,Oba spola,5+,20.0
2013,Broj,Petrovo,M,5+,228.0
2013,Broj,Grad Prijedor,Ž,5+,4200.0
2013,Broj,Prnjavor,Oba spola,5+,1834.0
2013,Broj,Ribnik,M,5+,273.0
2013,Broj,Rogatica,Ž,5+,426.0
2013,Broj,Rudo,Oba spola,5+,310.0
2013,Broj,Sokolac,M,5+,491.0
