Year,UNIT_MEASURE,Teritory,Sex,Vital statistics,Value
2013,Number,KOTOR VAROS,F,four_children,635
2013,Number,KRUPA NA UNI,F,four_children,61
2013,Number,KUPRES,F,four_children,13
2013,Number,LAKTASI,F,four_children,549
2013,Number,LOPARE,F,four_children,301
2013,Number,LJUBINJE,F,four_children,74
2013,Number,MILICI,F,four_children,277
2013,Number,MODRICA,F,four_children,548
2013,Number,MRKONJIC GRAD,F,four_children,393
2013,Number,NEVESINJE,F,four_children,395
2013,Number,NOVI GRAD,F,four_children,583
2013,Number,NOVO GORAZDE,F,four_children,55
2013,Number,OSMACI,F,four_children,171
2013,Number,OSTRA LUKA,F,four_children,105
2013,Number,PALE,F,four_children,235
2013,Number,PELAGICEVO,F,four_children,133
2013,Number,PETROVAC,F,four_children,2
2013,Number,PETROVO,F,four_children,91
2013,Number,PRIJEDOR,F,four_children,1761
2013,Number,PRNJAVOR,F,four_children,769
2013,Number,RIBNIK,F,four_children,198
2013,Number,ROGATICA,F,four_children,259
2013,Number,RUDO,F,four_children,201
2013,Number,SOKOLAC,F,four_children,206
2013,Number,SRBAC,F,four_children,306
2013,Number,SREBRENICA,F,four_children,358
2013,Number,TESLIC,F,four_children,1010
2013,Number,TREBINJE,F,four_children,463
2013,Number,TRNOVO,F,four_children,45
2013,Number,UGLJEVIK,F,four_children,264
2013,Number,FOCA,F,four_children,348
2013,Number,HAN PIJESAK,F,four_children,75
2013,Number,CAJNICE,F,four_children,140
2013,Number,CELINAC,F,four_children,385
2013,Number,SAMAC,F,four_children,235
2013,Number,SEKOVICI,F,four_children,193
2013,Number,SIPOVO,F,four_children,275
2013,Number,REPUBLIKA SRPSKA,F,5+,17275
2013,Number,BANJA LUKA,F,5+,1552
2013,Number,BERKOVICI,F,5+,37
2013,Number,BIJELJINA,F,5+,882
2013,Number,BILECA,F,5+,169
2013,Number,BRATUNAC,F,5+,489
2013,Number,BROD,F,5+,224
2013,Number,VISEGRAD,F,5+,123
2013,Number,VLASENICA,F,5+,254
2013,Number,VUKOSAVLJE,F,5+,140
2013,Number,GACKO,F,5+,133
2013,Number,GRADISKA,F,5+,677
2013,Number,DERVENTA,F,5+,372
2013,Number,DOBOJ,F,5+,1006
2013,Number,DONJI ZABAR,F,5+,50
2013,Number,ZVORNIK,F,5+,1008
2013,Number,ISTOCNA ILIDZA,F,5+,54
2013,Number,ISTOCNI DRVAR,F,5+,0
2013,Number,ISTOCNI MOSTAR,F,5+,7
2013,Number,ISTOCNI STARI GRAD,F,5+,7
2013,Number,ISTOCNO NOVO SARAJEVO,F,5+,30
2013,Number,JEZERO,F,5+,26
2013,Number,KALINOVIK,F,5+,43
2013,Number,KNEZEVO,F,5+,365
2013,Number,KOZARSKA DUBICA,F,5+,165
2013,Number,KOSTAJNICA,F,5+,47
2013,Number,KOTOR VAROS,F,5+,617
2013,Number,KRUPA NA UNI,F,5+,65
2013,Number,KUPRES,F,5+,10
2013,Number,LAKTASI,F,5+,306
2013,Number,LOPARE,F,5+,209
2013,Number,LJUBINJE,F,5+,41
2013,Number,MILICI,F,5+,239
2013,Number,MODRICA,F,5+,366
2013,Number,MRKONJIC GRAD,F,5+,295
2013,Number,NEVESINJE,F,5+,204
2013,Number,NOVI GRAD,F,5+,543
2013,Number,NOVO GORAZDE,F,5+,42
2013,Number,OSMACI,F,5+,175
2013,Number,OSTRA LUKA,F,5+,102
2013,Number,PALE,F,5+,95
2013,Number,PELAGICEVO,F,5+,109
2013,Number,PETROVAC,F,5+,0
2013,Number,PETROVO,F,5+,65
2013,Number,PRIJEDOR,F,5+,1535
2013,Number,PRNJAVOR,F,5+,610
2013,Number,RIBNIK,F,5+,162
2013,Number,ROGATICA,F,5+,143
2013,Number,RUDO,F,5+,92
2013,Number,SOKOLAC,F,5+,104
2013,Number,SRBAC,F,5+,217
2013,Number,SREBRENICA,F,5+,362
