Year,UNIT_MEASURE,Град/општина,Пол,Највиша завршена школа,Value
2013,Број,Гацко,Укупно,Основна школа,1356
2013,Број,Гацко,M,Основна школа,530
2013,Број,Гацко,Ж,Основна школа,826
2013,Број,Град Градишка,Укупно,Основна школа,9626
2013,Број,Град Градишка,M,Основна школа,4493
2013,Број,Град Градишка,Ж,Основна школа,5133
2013,Број,Град Дервента,Укупно,Основна школа,5260
2013,Број,Град Дервента,M,Основна школа,2463
2013,Број,Град Дервента,Ж,Основна школа,2797
2013,Број,Град Добој,Укупно,Основна школа,13403
2013,Број,Град Добој,M,Основна школа,5750
2013,Број,Град Добој,Ж,Основна школа,7653
2013,Број,Доњи Жабар,Укупно,Основна школа,815
2013,Број,Доњи Жабар,M,Основна школа,408
2013,Број,Доњи Жабар,Ж,Основна школа,407
2013,Број,Град Зворник,Укупно,Основна школа,11440
2013,Број,Град Зворник,M,Основна школа,5163
2013,Број,Град Зворник,Ж,Основна школа,6277
2013,Број,Источна Илиџа,Укупно,Основна школа,1676
2013,Број,Источна Илиџа,M,Основна школа,519
2013,Број,Источна Илиџа,Ж,Основна школа,1157
2013,Број,Источни Дрвар,Укупно,Основна школа,9
2013,Број,Источни Дрвар,M,Основна школа,2
2013,Број,Источни Дрвар,Ж,Основна школа,7
2013,Број,Источни Мостар,Укупно,Основна школа,38
2013,Број,Источни Мостар,M,Основна школа,24
2013,Број,Источни Мостар,Ж,Основна школа,14
2013,Број,Источни Стари Град,Укупно,Основна школа,166
2013,Број,Источни Стари Град,M,Основна школа,75
2013,Број,Источни Стари Град,Ж,Основна школа,91
2013,Број,Источно Ново Сарајево,Укупно,Основна школа,1087
2013,Број,Источно Ново Сарајево,M,Основна школа,356
2013,Број,Источно Ново Сарајево,Ж,Основна школа,731
2013,Број,Језеро,Укупно,Основна школа,236
2013,Број,Језеро,M,Основна школа,109
2013,Број,Језеро,Ж,Основна школа,127
2013,Број,Калиновик,Укупно,Основна школа,334
2013,Број,Калиновик,M,Основна школа,122
2013,Број,Калиновик,Ж,Основна школа,212
2013,Број,Кнежево,Укупно,Основна школа,1918
2013,Број,Кнежево,M,Основна школа,990
2013,Број,Кнежево,Ж,Основна школа,928
2013,Број,Козарска Дубица,Укупно,Основна школа,3921
2013,Број,Козарска Дубица,M,Основна школа,1839
2013,Број,Козарска Дубица,Ж,Основна школа,2082
2013,Број,Костајница,Укупно,Основна школа,1117
2013,Број,Костајница,M,Основна школа,486
2013,Број,Костајница,Ж,Основна школа,631
2013,Број,Котор Варош,Укупно,Основна школа,3809
2013,Број,Котор Варош,M,Основна школа,1797
2013,Број,Котор Варош,Ж,Основна школа,2012
2013,Број,Крупа на Уни,Укупно,Основна школа,524
2013,Број,Крупа на Уни,M,Основна школа,317
2013,Број,Крупа на Уни,Ж,Основна школа,207
2013,Број,Купрес,Укупно,Основна школа,53
2013,Број,Купрес,M,Основна школа,33
2013,Број,Купрес,Ж,Основна школа,20
2013,Број,Лакташи,Укупно,Основна школа,6602
2013,Број,Лакташи,M,Основна школа,3078
2013,Број,Лакташи,Ж,Основна школа,3524
2013,Број,Лопаре,Укупно,Основна школа,3267
2013,Број,Лопаре,M,Основна школа,1670
