Year,UNIT_MEASURE,Grad/opština,Pol,Starost,Value
2013,Broj,Grad Banja Luka,M,10-14,4344
2013,Broj,Grad Banja Luka,Ž,10-14,4143
2013,Broj,Berkovići,Ukupno,10-14,141
2013,Broj,Berkovići,M,10-14,73
2013,Broj,Berkovići,Ž,10-14,68
2013,Broj,Grad Bijeljina,Ukupno,10-14,5341
2013,Broj,Grad Bijeljina,M,10-14,2718
2013,Broj,Grad Bijeljina,Ž,10-14,2623
2013,Broj,Bileća,Ukupno,10-14,633
2013,Broj,Bileća,M,10-14,303
2013,Broj,Bileća,Ž,10-14,330
2013,Broj,Bratunac,Ukupno,10-14,870
2013,Broj,Bratunac,M,10-14,457
2013,Broj,Bratunac,Ž,10-14,413
2013,Broj,Brod,Ukupno,10-14,781
2013,Broj,Brod,M,10-14,407
2013,Broj,Brod,Ž,10-14,374
2013,Broj,Višegrad,Ukupno,10-14,442
2013,Broj,Višegrad,M,10-14,222
2013,Broj,Višegrad,Ž,10-14,220
2013,Broj,Vlasenica,Ukupno,10-14,519
2013,Broj,Vlasenica,M,10-14,273
2013,Broj,Vlasenica,Ž,10-14,246
2013,Broj,Vukosavlje,Ukupno,10-14,244
2013,Broj,Vukosavlje,M,10-14,122
2013,Broj,Vukosavlje,Ž,10-14,122
2013,Broj,Gacko,Ukupno,10-14,534
2013,Broj,Gacko,M,10-14,299
2013,Broj,Gacko,Ž,10-14,235
2013,Broj,Grad Gradiška,Ukupno,10-14,2387
2013,Broj,Grad Gradiška,M,10-14,1210
2013,Broj,Grad Gradiška,Ž,10-14,1177
2013,Broj,Grad Derventa,Ukupno,10-14,1301
2013,Broj,Grad Derventa,M,10-14,654
2013,Broj,Grad Derventa,Ž,10-14,647
2013,Broj,Grad Doboj,Ukupno,10-14,2970
2013,Broj,Grad Doboj,M,10-14,1599
2013,Broj,Grad Doboj,Ž,10-14,1371
2013,Broj,Donji Žabar,Ukupno,10-14,214
2013,Broj,Donji Žabar,M,10-14,105
2013,Broj,Donji Žabar,Ž,10-14,109
2013,Broj,Grad Zvornik,Ukupno,10-14,2860
2013,Broj,Grad Zvornik,M,10-14,1438
